01:00:31:19	01:00:33:00	搭飛機
01:00:34:00	01:00:35:05	搭船
01:00:36:03		搭車
01:00:37:01		都不稀奇
01:00:38:04		但泡在海裡的牛車
01:00:40:03		你搭過嗎
01:00:41:19		終於到了
01:00:43:05	01:00:44:29	小船上來了
01:00:45:23		你們看
01:00:46:26		好漂亮喔
01:00:48:20		這個如夢如幻的湖
01:00:50:03	01:00:51:22	為什麼是奶油色的
01:00:53:14	01:00:55:09	好像牛奶一樣喔
01:00:56:02	01:00:58:16	火鶴鳥又為什麼是紅色的呢
01:01:01:16		今天「下課花路米」
01:01:03:04		歷經千辛萬苦
01:01:04:15		轉換各種交通工具
01:01:06:13		帶你尋找火鶴鳥
01:01:08:17		小兵馬達加斯加大冒險
01:01:10:19		鹽湖覓尋火鶴鳥
01:01:12:13	01:01:14:04	Follow me, Go
01:01:17:05		為了尋找最奇幻的生物
01:01:19:12		最原始的生態
01:01:20:26		花路米團隊
01:01:21:27		第一次踏上非洲的領土
01:01:23:22	01:01:26:16	來到動物的天堂馬達加斯加
01:01:26:29		這裡不僅有
01:01:27:17		可當天然水壺的旅人蕉
01:01:29:20	01:01:31:28	還有獨一無二的可愛狐猴
01:01:32:12		與凌空拔起, 步步驚險的刀山
01:01:35:13		今天就讓我們先來認識
01:01:37:00		鳥界的火焰
01:01:37:28		擁有紅色羽翼的火鶴鳥
01:01:40:00		趕快跟著我們一起獵奇
01:01:41:24	01:01:43:10	馬達加斯加限定
01:01:46:26		花路米探索隊
01:01:48:02		這趟馬達加斯加之行
01:01:49:29		是希望觀眾朋友
01:01:51:14		能夠跟我們一起
01:01:52:13		認識這裡的野生動物
01:01:54:26		不過我想大家一定也很好奇
01:01:57:14		這裡小孩過著什麼樣的生活吧
01:02:00:13		在尋找火鶴鳥之前
01:02:02:05		先讓我們拜訪一下這裡的小學
01:02:04:20	01:02:05:17	走
01:02:22:25		Johnny, 這個是什麼
01:02:24:19		他們在上什麼音樂課嗎
01:02:26:03		還是什麼
01:02:27:02		那個老師教他們活動一點
01:02:29:18		活動一下
01:02:30:19		為了什麼事情
01:02:31:29		因為他們想睡覺啊
01:02:35:00		所以這是上課前對不對
