01:00:33:11	01:00:36:01	世界上最大的變色龍是牠
01:00:37:24	01:00:39:01	還是牠
01:00:42:20		世界上最小的變色龍
01:00:44:21	01:00:45:27	是牠
01:00:46:16	01:00:47:28	還是牠
01:00:51:21		今天「下課花路米」
01:00:52:29		帶你在變色龍的家鄉
01:00:54:18	01:00:57:15	尋找世界最大與最小的變色龍
01:00:57:29	01:01:00:20	到底牠們有什麼樣的防身密技
01:01:02:00	01:01:04:27	又為何讓爬蟲迷為之瘋狂呢
01:01:06:03		馬達加斯加尋龍記
01:01:07:18	01:01:09:12	Follow me, Go
01:01:12:15		為了尋找最奇幻的生物
01:01:14:24		最原始的生態
01:01:16:07		花路米團隊
01:01:17:05		第一次踏上非洲的領土
01:01:19:01	01:01:21:27	來到動物的天堂馬達加斯加
01:01:22:10		這裡不僅有
01:01:22:27		獨一無二的可愛狐猴
01:01:24:25		還有可當天然水壺的旅人蕉
01:01:27:13	01:01:29:26	與粉碎星球的猴麵包樹
01:01:30:15		而今天我們要認識的是
01:01:32:02		變色龍世界中
01:01:33:10	01:01:35:27	最威風的國王變色龍
01:01:36:08		趕快跟著我們一起獵奇
01:01:37:25	01:01:39:20	馬達加斯加限定
01:01:41:09		馬達加斯加
01:01:42:04		有全世界獨一無二的變色龍
01:01:45:09		牠們是蜥蜴的一種
01:01:47:07	01:01:49:24	但雙眼卻可以各自轉動
01:01:50:07		最特別的是
01:01:51:12	01:01:54:06	牠們能瞬間改變身體的顏色
01:01:54:19		在全世界
01:01:55:12		一百八十五種變色龍當中
01:01:58:04		馬達加斯加這個小小的島嶼
01:02:00:10	01:02:02:15	就佔了八十種這麼多
01:02:03:09		既然在馬達加斯加看到變色龍
01:02:05:19	01:02:07:08	是家常便飯
01:02:08:00		那我們就增加難度
01:02:09:15		找尋世界最大
01:02:11:00	01:02:13:05	與最小的變色龍吧
01:02:14:22		崇瑋說
01:02:15:16		馬達加斯加的確有一種
01:02:17:10		全世界最大的變色龍
01:02:19:15		牠不但超大隻
01:02:20:29		而且像貴族一樣神氣
01:02:23:04		對, 牠超神氣
01:02:25:21	01:02:27:26	到底是哪一種變色龍呢
01:02:30:05		來這裡這麼多天
01:02:31:23		看了不少動物
01:02:33:07		讓我來猜猜
01:02:34:14	01:02:36:24	最大的變色龍一定是牠
01:02:40:28	01:02:42:14	小兵...
01:02:43:15	01:02:45:08	慢一點...
01:02:47:24	01:02:49:18	你看, 很大
01:02:50:06		崇瑋曾在二○一二年
01:02:51:23		獨自探索馬達加斯加
01:02:53:23		來馬島有什麼問題
01:02:55:07	01:02:56:29	問他就對啦
01:02:57:29		這隻是奧力士變色龍對不對
01:02:59:23		對... 奧力士變色龍
01:03:01:00		馬達加斯加最長的
01:03:02:10		這隻超大的
01:03:03:09	01:03:04:22	真的很大
01:03:05:10		沒想到這麼容易就找到一隻
01:03:07:15		這麼大的變色龍了
01:03:09:13		牠其實是奧力士變色龍
01:03:11:23		在馬達加斯加
01:03:12:26		西部的乾燥地區很常見
