01:00:31:08	01:00:33:22	體驗蘭嶼傳統製陶耐力大考驗
01:00:35:22	01:00:37:24	採土, 搗土, 捏陶, 燒陶
01:00:42:22	01:00:44:15	達悟族樸實的陶偶文化
01:00:48:00		他們還會為飛魚, 貝類等食材
01:00:50:19	01:00:52:05	製作專用的陶器
01:00:55:22		透過蘭嶼陶藝
01:00:57:00	01:00:59:07	一起瞭解達悟人的生活文化吧
01:01:00:25		「下課花路米」
01:01:01:26	01:01:02:27	Follow me, Go
01:01:06:05		蘭嶼, 我們又來啦
01:01:07:15		是的
01:01:08:13		今天我們特別來到蘭嶼
01:01:10:07		要跟朗島國小的同學們
01:01:11:18		一起上陶土課
01:01:12:26		不是啊, 小兵
01:01:13:19		我們上陶土課
01:01:14:17		為什麼要千里迢迢來到蘭嶼啊
01:01:16:18		你不知道
01:01:17:14		蘭嶼的製陶文化可是很有名的
01:01:19:25		以前達悟族的男人
01:01:21:13		每一個人都要會製陶
01:01:22:23		不然你想想看
01:01:23:10		家裡面那些鍋碗盆盤從哪裡來
01:01:25:29		總要有東西煮食物, 裝食物啊
01:01:28:19		所以製陶對達悟族來說
01:01:30:15		是一個很重要的傳統工藝啊
01:01:32:08		當然, 而且他們還拿這個陶土
01:01:34:20		捏成小玩偶給小朋友玩
01:01:36:13		這可是台灣其他原住民
01:01:38:02		沒有的文化喔
01:01:39:01		小陶偶, 感覺好可愛喔
01:01:40:27		那長什麼樣子啊
01:01:41:28		待會兒就可以看到啦
01:01:43:05		不過我們要先去跟同學們
01:01:45:15		一起採土
01:01:47:01		學習一下這個即將消失的傳統文化
01:01:49:21	01:01:50:16	好... 走...
01:01:55:03		今天我們要跟著
01:01:56:03		朗島國小中年級的同學
01:01:58:07		一起上他們的傳統鄉土課程
01:02:01:02		首先要前往紅頭村的河谷
01:02:03:10		來採集陶土
01:02:04:20		指導老師說
01:02:05:17		選擇這裡是因為小朋友比較容易到達
01:02:08:19		但對我和小兵
01:02:09:27		兩個城市鄉巴佬來說
01:02:12:00		還是要費九牛二虎之力才能到達
01:02:15:10	01:02:16:21	真的好喘喔
01:02:19:19		Kaka...
01:02:21:22		小兵
01:02:23:16		找到了
01:02:24:28	01:02:25:26	在這裡
01:02:26:27		那邊...
01:02:28:11		找到了
01:02:29:20	01:02:32:04	Kaka...
01:02:33:12		我們來了
01:02:34:25		怎麼那麼遠啊在達悟族語裡
01:02:36:15		稱哥哥, 姊姊都叫做kaka
01:02:38:29		大家一起跟我唸三次
01:02:40:25	01:02:42:23	Kaka
01:02:44:13		找到啦這裡
01:02:45:15		這個就是喔
01:02:46:17		對...
01:02:48:02		所以這個土
01:02:48:25		不是隨隨便便到處都有
01:02:50:12		這個要開挖的時候
01:02:51:27		要開始挖的時候
01:02:53:24		會講一些儀式
01:02:56:20		因為這個
01:02:57:11	01:02:59:23	因為他會講一些說...
01:03:01:03		曾經歷過沒有外來器具
01:03:02:27		自己製陶自己用的老人家
01:03:05:01		現在在蘭嶼已經不多了
01:03:07:07		這位夏本．曼阿稻
01:03:08:18		可是阿祖級的製陶人喔
01:03:10:20		我們尊稱他為maran
01:03:12:15		在達悟族語裡
01:03:13:18		是稱呼伯父叔叔或舅舅的意思喔
01:03:17:04		大家一起跟我唸三次吧
01:03:19:00		Maran
01:03:21:06		他就說
01:03:22:27		希望你黏一點
01:03:25:04	01:03:27:12	我們要燒你的時候就不要裂
01:03:28:24		因為我們會利用這些陶土
01:03:31:25		做好了以後
01:03:32:21		請我們的村落
01:03:35:04		還沒有陶甕的, 沒有陶土的
01:03:38:22	01:03:40:23	然後就給他們用這樣子
01:03:42:00		分享
01:03:42:23		就把這個目的
01:03:43:22		先跟這些陶土說一下
01:03:45:24		這個土是很難找得到的嗎
01:03:47:26		為什麼要跑到這麼遠的地方來找
01:03:50:09		你們怎麼知道這邊有
01:03:52:17		注意看它流下來
01:03:53:29		在溪裡面
01:03:56:28		溪裡面...
01:03:58:00		製陶的第一關, 採土
01:04:00:08		就要考驗你的眼力
01:04:01:24		經驗和運氣啦
01:04:03:13		因為蘭嶼特有的黏土
01:04:05:18		通常會藏在河谷的岩層裡面
01:04:08:00		要找到不太容易
01:04:09:22		而且河谷裡面的土
01:04:11:15		可不是通通可以用來製陶的喔
01:04:14:08		Kaka說蘭嶼的黏土
01:04:15:20		大致分成四種顏色
01:04:17:13		有黃, 綠, 藍, 灰
01:04:20:01	01:04:22:12	每種土的特性都不太一樣喔
01:04:25:26		你看, 很細啊
01:04:27:12		怎麼那麼有趣
01:04:29:10		同學們好了, 換你們
01:04:30:14		來, 趕快來體驗一下
01:04:31:26		你們的傳統文化吧
01:04:34:04		來, 誰自告奮勇
01:04:35:19	01:04:36:16	先來挖
01:04:37:20		從那邊
01:04:38:28		對
01:04:39:24		然後用手
01:04:41:11		好
01:04:42:11	01:04:43:17	挖出來這邊
01:04:44:18	01:04:45:26	你要擺在這裡
01:04:47:02		朗島國小的同學挖著土
01:04:49:03		嘗試和傳統製陶
01:04:50:27	01:04:53:04	做第一次黏呼呼的接觸
01:04:56:05		怎麼那麼可愛
01:04:57:00		包成像一個小提包一樣
01:04:59:04		伴手禮
01:05:00:13		送給你
01:05:01:24		好啦, 大家都有了嘛, 對不對
01:05:03:12		大家手上都拿了
01:05:04:21	01:05:05:19	好, 回去囉
01:05:06:19	01:05:07:15	回去
01:05:08:16		大家汗流浹背
01:05:09:18		挖了足夠的土
01:05:10:26		接下來就要回kaka的地下屋前面
01:05:13:04		來製陶了
01:05:14:09		不過現在還沒有要正式捏陶喔
01:05:17:06		因為這些土
01:05:18:07	01:05:20:17	還需要經過很多道的工處理喔
01:05:29:23		那我們剛才那個陶土
01:05:30:27		拿回來之後
01:05:31:19		這樣就可以開始捏了嗎
01:05:33:29		不行, 現在裡面還有一些石粒
01:05:37:25		你要把它撿乾淨
01:05:40:11		小石頭就把它
01:05:42:19		挑出來
01:05:45:04		放在這個
01:05:47:03		荷葉裡面
01:05:48:29		就是用手感
01:05:50:01		用手去抓這樣對
01:05:51:18		那如果不挑出來的話會怎麼樣
01:05:53:15		它就好像是鑲嵌在裡面
01:05:56:01		這樣不是也是一種...
01:05:57:04		造型啊
01:05:57:23		對啊, 藝術感啊
01:05:59:09		不是, 這個石頭太多了
01:06:01:25		你燒起來的話
01:06:03:15		你開始燒的話
01:06:05:07	01:06:06:27	就會裂掉
01:06:08:19		那這個很重要
01:06:09:21		慢慢挑, 對不對
01:06:11:15		所以大家每個人我們來試試看好了
01:06:13:08		一人一坨一人拿一坨
01:06:15:05		一人拿一點
01:06:16:25		在大家同心協力之下
01:06:18:19		我們挑完了大顆的石頭
