01:00:31:16	01:00:33:16	乾枯無水的礁坑會有什麼寶呢
01:00:34:28		這個長得像薑的植物
01:00:36:11		竟然是烹調料理的常用小幫手
01:00:39:04	01:00:39:24	很好吃
01:00:41:06		錫蘭橄欖居然不是橄欖
01:00:43:09		對
01:00:45:02		更酸
01:00:45:23		橄欖山跟荒廢的軍營
01:00:47:13		又有什麼關係呢
01:00:49:14		感覺好陰森
01:00:50:15		很殘破的感覺耶
01:00:52:13		小兵
01:00:54:00		今天來礁坑去尋寶
01:00:55:22		帶你認識台南新化礁坑社區的
01:00:57:29		三大寶藏
01:00:59:02		來一趟農村小旅行
01:01:00:21		「下課花路米」
01:01:01:18	01:01:02:19	Follow me, Go
01:01:07:05		現在我們來到的是
01:01:08:08		台南新化的礁坑社區
01:01:09:25	01:01:11:10	聽說這裡有很多寶喔
01:01:13:05	01:01:14:19	礁坑不是在宜蘭嗎
01:01:15:27	01:01:17:20	在宜蘭那是礁溪
01:01:19:11		搞錯了啦
01:01:20:23		不過礁溪跟礁坑
01:01:23:11	01:01:24:27	聽起來真的很像嘛
01:01:25:28		也是啦, 這不能怪她啦
01:01:27:27		不僅音有點像
01:01:29:06		而且它們兩個還有點相似之處耶
01:01:31:25		怎麼說
01:01:32:18		因為礁的台語礁就是乾的意思
01:01:36:14		那礁溪就是乾涸無水的溪床地
01:01:41:02		礁坑這邊就是乾旱缺水的山谷
01:01:45:27		乾旱缺水的山谷
01:01:47:07		那怎麼會有寶藏啊
01:01:48:27		那就要去問社區發展協會的林大哥囉
01:01:51:14	01:01:52:06	走
01:01:56:14		林大哥原本是在外地經商
01:01:58:19		民國九十二年回到家鄉
01:02:00:24		希望能夠為礁坑社區做一點事
01:02:03:14		目前是礁坑社區發展協會的總幹事
01:02:07:10		林大哥好
01:02:08:05		好...
01:02:09:03		林大哥小兵說礁坑社區這邊有寶藏
01:02:12:06		可是這個地名
01:02:12:28		分明就是乾枯缺水的意思啊
01:02:14:23		哪會有寶啊
01:02:15:20		寶很多
01:02:17:21		對
01:02:18:06		亞里, 那這樣好了
01:02:19:06		我們兩個來比賽
01:02:20:06		看誰先找到寶, 怎麼樣
01:02:21:26		好啊, 來...
01:02:23:02		林大哥, 出題...
01:02:25:02		先找這個
01:02:25:26		這個
01:02:27:17		這是什麼東西啊
01:02:29:12		林大哥, 給點提示吧
01:02:30:23		這是冬末在烹飪的時候
01:02:32:13		都會用到的
01:02:33:07		這個哪裡找
01:02:33:27		這個社區這麼大
01:02:35:01		這個時間大家都有在做
01:02:36:29		還好, 我早有準備
01:02:38:12	01:02:39:25	我帶了小摺來, 小摺
01:02:40:28		看到沒
01:02:41:20		等一下, 這太不公平了吧
01:02:42:17	01:02:44:05	不好意思, 我先出發了
01:02:45:09	01:02:47:21	那這樣子我不是輸在起跑點嗎
01:02:49:14		阿伯...
01:02:51:06		不好意思, 請問一下
01:02:52:11		你是要去哪裡啊
01:02:53:10		可以載我一程嗎
01:02:54:18		我要去挖粉薯
01:02:55:26		粉薯喔
01:02:57:03		粉薯是什麼
01:02:58:01		你拿的那個就是粉薯
01:03:00:02		我拿的這個就是粉薯喔
01:03:01:28		得來全不費工夫耶
01:03:04:02		阿伯, 那你載我去好不好
01:03:06:10		好啊
01:03:07:01	01:03:07:20	好
01:03:08:23	01:03:10:22	小兵, 你輸定了
01:03:21:17		根據線報
01:03:23:03		這個不知名植物的田地
01:03:25:06		就在前方
01:03:26:08		我想亞里現在可能還待在原地
01:03:28:13		不知所措呢
01:03:29:27		她就是沒有我這麼精
01:03:30:23		小兵, 我們來了
01:03:32:28		亞里
01:03:34:08	01:03:36:06	她怎麼騎摩托車比我快
01:03:39:23		沒想到還被你找到了啊
01:03:41:16		粉薯就在我腳下
01:03:44:26		在哪裡啊
01:03:46:05		那個...
01:03:46:26		阿伯說要挖
01:03:47:22		要挖
01:03:49:01		走開... 我來挖
01:03:50:03	01:03:52:10	那個鋤頭是阿伯借我的啦
01:03:53:14		走開...
