01:00:30:15	01:00:32:17	你知道寵物為什麼不能喝酒嗎
01:00:33:18	01:00:35:07	恭喜你們答對了
01:00:37:03		你知道為什麼寵物美容
01:00:38:22		也跟健康有關嗎
01:00:40:02		一個清潔
01:00:41:19		不用擔心你不要...
01:00:42:23		你嚇我, 什麼啦
01:00:45:02	01:00:47:14	今天就來寵物博物館體驗一下
01:00:48:16	01:00:49:09	好
01:00:53:17		尋狗啟事
01:00:55:20		阿宗
01:00:56:23		幫忙找
01:00:57:28		阿宗
01:00:59:08		小兵
01:01:00:05		阿宗
01:01:00:23		你在找誰啊
01:01:02:00		我在找阿宗啊
01:01:03:13		有人的狗走丟了
01:01:05:10		我非常能夠體會
01:01:07:05		把寵物當成家人那種感覺
01:01:08:21		好, 那我來幫你找找看好了
01:01:10:11		那就...
01:01:11:07		「下課花路米」Follow Me, Go
01:01:13:03		阿宗...
01:01:16:20	01:01:17:01	小兵
01:01:18:17		是它嗎
01:01:19:16		米白色
01:01:20:10		是
01:01:20:27		大型黃金獵犬
01:01:22:00		很大喔
01:01:23:04		個性安靜溫馴
01:01:25:07		我想它應該乖乖在這裡
01:01:26:13		不會吵也不會鬧
01:01:27:14		沒錯
01:01:28:02		愛跟人拍照
01:01:29:09		大家看到它都想跟它拍照吧
01:01:31:05	01:01:32:02	真的喔
01:01:34:05		恭喜你們, 找對了
01:01:35:23		它就是阿宗
01:01:36:19		是喔
01:01:37:12		原來阿宗是亞洲動物福利協會的精神象徵
01:01:41:10		而我們現在來到的
01:01:42:20		就是協會所成立的寵物博物館
01:01:45:15		歡迎你們來到
01:01:46:15		AAWA亞洲動物福利協會
01:01:49:14		館長告訴我們
01:01:50:18		想要飼養寵物
01:01:51:22		就要承諾照顧牠們一輩子
01:01:53:25		避免牠們發生危險
01:01:55:17		並且遠離疾病
01:01:57:00	01:01:58:21	保持寵物們的健康
01:02:00:14		而要能照顧牠們一輩子
01:02:02:08		一定要知道什麼才是對寵物最好的
01:02:05:06		例如什麼能吃, 什麼不能吃
01:02:07:15		現在就來進行一項考驗喔
01:02:10:03		好, 那我們請小兵跟湘涵
01:02:13:05	01:02:14:29	好, 我們拍手歡迎他們
01:02:16:00		現在兩隊要來回答
01:02:17:19		九宮格當中的食物
01:02:19:06		到底可不可以給寵物吃呢
01:02:20:24		井字遊戲, 對不對
01:02:22:01		連成一條線那一隊先優先獲勝
01:02:26:02		我先問一下
01:02:27:00		洋蔥你們覺得可不可以吃
01:02:28:23		不行
01:02:29:21		為什麼, 我們討論一下
01:02:30:26	01:02:31:20	你們討論看看
01:02:33:03		洋蔥太刺激了
01:02:33:27		後面兩位請你們過來, 好不好
01:02:36:27		你們覺得洋蔥可以吃嗎
01:02:38:04		不行...
01:02:39:12		太刺激
01:02:40:07		我們答洋蔥是不能吃的
01:02:44:01		不能吃的
01:02:45:02	01:02:47:09	很好, 恭喜你們答對了
01:02:48:16		等一下, 為什麼洋蔥不能吃
01:02:51:01		洋蔥它其實裡面會有一個成分
01:02:53:12		會破壞狗狗貓咪的紅血球
01:02:55:18		會引起牠們上吐下瀉
01:02:58:11		或者是血尿的狀況
01:03:00:04		咖啡
