01:01:15:28	01:01:17:04	小姐
01:01:18:18		你剛剛舞跳得很好
01:01:20:25		我很喜歡
01:01:22:23	01:01:25:09	你再去跳一下好不好
01:01:33:26		音樂都下了
01:01:34:26	01:01:37:04	趕快去跳啊
01:01:38:00		我的腳它累
01:01:39:17	01:01:41:02	不想跳
01:01:46:02	01:01:47:13	你幹嘛
01:01:48:16		想摸我胸部是不是
01:01:50:00		力香, 你在幹嘛那麼靠近是怎樣啊你
01:01:51:24		走了啦
01:01:53:24		快點
01:01:54:26	01:01:56:06	走了
01:01:56:08		不要拉我
01:01:57:02	01:01:58:22	走了啦
01:02:24:24		你沒拉我
01:02:25:29	01:02:27:28	我飛踢
01:02:31:01	01:02:32:01	我接個電話
01:02:33:00	01:02:34:01	好...
01:02:34:19		喂
01:02:35:09		我媽媽啦
01:02:36:22		你爸他出事了
01:02:39:16	01:02:41:23	你現在人在哪裡呢
01:02:46:04		你若是一直想要離開
01:02:47:14		沒關係
01:02:49:01		不過你一定要讓我看見以後你有成功
01:02:52:08	01:02:54:26	否則你就永遠別再回來
01:03:00:24	01:03:02:15	吳榆安, 這個送給你好不好
01:03:06:16		不要理她
01:03:07:06		他們家是跳脫衣舞的
01:03:08:27	01:03:10:08	走啦...
01:03:54:27		元帥爺在上
01:03:56:25		弟子杜秋元
01:03:59:08		筱芸霞歌舞團後天要演出
01:04:04:05		希望元帥爺保佑
01:04:06:24		演出順利成功
01:04:09:12	01:04:11:15	賞金滿滿
01:04:13:16	01:04:16:08	力香, 換你了
01:04:24:09		元帥爺, 我力香啦
01:04:27:02	01:04:29:15	我回來了
01:04:29:27		現在我是美國紐約瑪莎葛蘭姆的正式團員
01:04:33:12		希望你能夠保佑
01:04:35:11		我們全世界巡迴演出
01:04:37:06	01:04:39:01	順利, 成功
01:04:51:12	01:04:53:00	來啦
01:05:04:12		元仔
01:05:05:23		我們女兒很厲害
01:05:07:16		瑪莎葛蘭姆
01:05:09:00	01:05:11:04	世界第一等的舞團呢
01:05:12:02		幸好元帥爺有保佑
01:05:14:14		讓力香去台北
01:05:15:28		不然留在東港多可惜啊
01:05:19:01	01:05:20:07	對吧
01:05:21:22		元帥爺是我們台灣的神
01:05:23:16	01:05:26:04	怎麼可能去保佑外國人的舞團
01:05:27:07		你喔
01:05:28:09		死鴨子嘴硬
01:05:30:18	01:05:32:05	實在是...
01:05:33:18		力香, 別理他
01:05:35:11	01:05:37:05	他就是這樣
01:05:37:21		媽
01:05:39:00		你為什麼騙我說爸生病
01:05:40:10	01:05:42:08	他快不行了
01:05:45:02		我要是不這麼說
01:05:47:03	01:05:49:12	你怎麼會回來
01:05:51:09	01:05:53:17	你都五年沒有回來了
01:06:08:17		你女兒回來了
01:06:09:24		怎麼沒有在家吃飯
01:06:11:08		一個人跑來這裡喝酒
01:06:13:05		我聽你們阿霞說
01:06:15:01		力香不是在什麼世界出名的
01:06:17:19		馬沙...
01:06:19:12		拜託
01:06:20:26		那叫做瑪莎葛蘭姆
01:06:23:26		沒用啦
01:06:25:06		筱芸霞供不起她這尊大菩薩
01:06:29:00		年輕人有年輕人的想法啦
01:06:31:21		想當初我兒子要把船賣掉
01:06:34:19		改開海產攤
01:06:36:03		我也是不諒解
01:06:38:00		但是現在想起來
01:06:39:24	01:06:42:18	他的決定是對的
01:06:43:22		你是你, 我是我
01:06:46:03	01:06:50:11	我是不可能將筱芸霞解散的
01:06:51:13		現在十幾條船出去
01:06:53:21		看有沒有一條船是滿載回來
01:06:56:15	01:06:58:19	環境在逼人啊
01:07:07:04		來, 阿元叔
01:07:08:01	01:07:09:26	我敬你
01:07:15:13		阿元叔
01:07:16:17		我是後輩比較多話啦
01:07:18:15		人家三點叔敢衝敢做
01:07:21:11	01:07:24:28	家裡的黑頭車已經兩三台了
01:07:25:20		我筱芸霞堅持高尚的藝術
01:07:29:13		像是那種脫衣跳脫衣舞的
01:07:32:05		丟人現眼
01:07:34:02		筱芸霞這種錢
01:07:35:26		骯髒錢筱芸霞不屑賺
01:07:39:10		叔仔, 那不是脫衣舞啦
01:07:41:10		那是鋼管清涼秀
01:07:43:23		都一樣啦
01:07:45:22		你這個死孩子
01:07:47:07		難怪你一天到晚眼睛長針眼
01:07:50:05		秋元
01:07:51:15		我們這個鄉下地方
01:07:53:08		不識字的一堆
01:07:55:00		字都不認識了
01:07:55:26		還認識什麼藝術
01:07:57:15		你的堅持沒人要看啦
01:08:00:05		戲棚下站久了
01:08:01:20	01:08:03:24	也不一定是你的
01:08:07:00		現在是怎樣
01:08:07:29		才中午酒就喝成這樣
01:08:10:24		今天是開工破土的好日子
01:08:12:13		今晚沒出團嗎
01:08:14:11		阿元叔
01:08:15:17		聽說力香從台北回來了
01:08:18:06		對啦...
01:08:19:01		還是回來賺比較實在啦
01:08:21:06		在台北跟人家跳什麼芭蕾舞
01:08:24:01		轉圓圈還要踮腳尖
01:08:26:04		也不知道有沒有人看
01:08:27:19		是在跳心酸的嗎
01:08:29:10		我跟你說
01:08:30:23		我女兒跳的是一種藝術啦
01:08:33:20	01:08:35:28	不是像你這個不學無術啦
01:08:37:15		什麼叫做不學無術
01:08:39:04		你看不起我
01:08:40:13		以為我們什麼都不會
01:08:41:15		只會跳鋼管嗎
01:08:43:19		豔紅
01:08:44:21		今晚跳個「天鵝湖」給他看
01:08:47:09	01:08:49:04	讓他知道什麼叫做藝術
01:08:49:19	01:08:51:14	「天鵝湖」呢
01:08:53:18		陳仔
01:08:55:01		你的店有狗在吠
01:08:57:17		太吵了
01:08:58:14		我不爽
01:08:59:05		我要走了
01:09:00:09		不會啦, 秋元
01:09:02:00		大家都是師兄弟
01:09:03:09		坐啦
01:09:04:14		喝一杯師兄弟...
01:09:06:24		我看有的人
01:09:07:29	01:09:10:23	連自己的師父姓啥都不知道了
01:09:11:23		你講這樣就太超過了
01:09:13:26		當年我們當學徒時
01:09:15:20		師父什麼好康的都留給你
01:09:18:18		連去日本學畫景也是你
01:09:21:05		我學到了什麼
01:09:22:23		簡直跟當長工沒兩樣
01:09:24:15		到現在我想到還很生氣
01:09:27:00		這沒辦法啊
01:09:28:14		我知道你現在還是很不服
01:09:31:04		手藝就是這樣
01:09:33:06		靠本事啊
01:09:34:19	01:09:36:13	這點你就輸我了
01:09:38:05		現在就靠那「奧步」贏我而已
01:09:41:10		我跟你說
01:09:42:15		師父在天上若是有知
01:09:44:28		一定很後悔當初收你當學徒
01:09:48:02		我知道啦
01:09:49:22		你就是看不起我這做鋼管秀的
01:09:53:05		但是現實點好不好
01:09:54:26		現在市場就是有人看最重要
01:09:58:00		稍微去打聽一下好不好
01:09:59:23		整個屏東的歌舞團
01:10:01:16		排第一名的就是我三點
01:10:04:02		你這筱芸霞是要算什麼
01:10:05:24	01:10:06:28	笑死人
01:10:08:10		靠女孩脫光光出名
01:10:10:12		這種不要臉的事情
01:10:11:24		我不稀罕
01:10:13:13		阿元叔, 你說誰不要臉
01:10:16:16		我哪有脫光光
01:10:18:04		最少還有一件內衣啊
01:10:20:08		好啦, 說這麼多沒用啦
01:10:22:20		有本事我們來拼場看看
01:10:27:03		三戰兩勝就好
01:10:28:24		輸的人退出江湖
01:10:31:02		永遠別再回來東港
01:10:33:11		好啊
01:10:34:24		一言為定
01:10:36:02	01:10:37:17	怎麼比
01:11:11:15		這只畫箱
01:11:13:25		是師父傳下來留給我的
01:11:16:14		這次拼場
01:11:17:26		我一定要贏
01:11:18:28	01:11:20:20	絕對不能輸
01:11:25:28		這邊請
01:11:27:05	01:11:28:26	我們位置在這邊喔
01:11:31:15		雖然我們老大去土城進修
01:11:34:27		但是我們主席青出於藍勝於藍
01:11:38:20		代父出征
01:11:40:00		我們東港以後的發展
01:11:42:07		都要看你了
01:11:44:07		沒有啦
01:11:45:04		大家太過客氣了
01:11:47:00		我在這裡
01:11:48:07		代替我爸爸向大家道謝
01:11:50:10		我先乾為敬謝謝啦
01:11:51:17	01:11:54:09	以後東港的發展都要看你了
01:11:58:17		各位叔叔, 阿姨
01:11:59:20		這杯小蘭代替光大敬大家
01:12:02:04		如果以後我們光大
01:12:03:20		有做不好的地方
01:12:04:19		還請各位地方政壇的前輩
01:12:06:22		多多指點
01:12:08:22		別客氣
01:12:09:17		會啦...
01:12:10:06	01:12:11:03	別客氣
01:12:13:01	01:12:15:01	不用那麼客氣啦
01:12:18:07		多謝
01:12:18:23	01:12:20:05	多謝大家
01:12:24:11		小蘭
01:12:25:13		我看你越來越有主席夫人的樣子了
01:12:28:10	01:12:31:21	什麼時候可以喝你和主席的喜酒呢
01:12:31:22		對啊, 很速配
01:12:33:14		可以趕快結婚了
01:12:34:28		對嘛
01:12:35:28		等著吃喜酒等很久了
01:12:38:13		你們太愛說笑了
01:12:39:23	01:12:41:11	來, 這杯跟你們乾
01:12:41:28	01:12:43:18	郎才女貌
01:12:43:24		趕快結婚啊
01:12:44:25		趕快吃...
01:12:45:17	01:12:46:28	你們大家太...
01:12:49:28		這幾年筱芸霞的台前
01:12:52:25	01:12:54:23	永遠都是這樣冷冷清清
01:13:05:29		我知道你在想什麼
01:13:07:24		筱芸霞是你爸的夢
01:13:10:06		他不可能收起來的
01:13:12:20		他想要繼承他老師的心願
01:13:16:29		可是現在時代不同了
01:13:18:28		這種舊東西都不時興了
01:13:21:13	01:13:24:04	怎麼拼得過清涼的鋼管秀
01:13:25:01		力香啊
01:13:26:26		你在台北有前途
01:13:28:20		就千萬別回來
01:13:30:12		東港不是一個作夢的好地方
01:13:34:07		像你爸
01:13:36:07		已經夢了好多年了
01:13:38:23	01:13:42:17	現在都還沒清醒
01:13:42:23	01:13:44:17	媽
01:13:47:13		沒事啦
01:13:50:05		我只是捨不得你爸
01:13:53:16		他明明知道穩輸的
01:13:55:29		還跟你三點叔打賭說要拼台
01:14:01:15	01:14:04:19	輸的人要離開東港呢
01:14:06:06		拼
01:14:07:28	01:14:10:04	是要拼什麼啦
01:14:11:25	01:14:14:26	你爸就說要拼歌中劇
01:14:16:02		他們兩個都說好了
01:14:18:00		第一場用我們的舞台拼歌中劇
01:14:22:11		第二場用他們的舞台
01:14:25:01		要跳鋼管秀
01:14:27:11		第三場就自由發揮啦
01:14:31:15	01:14:34:17	爸, 筱芸霞收起來好嗎
01:14:36:12		你...
01:14:37:02		你是說什麼瘋話啦
01:14:38:22		只要我杜秋元還能夠呼吸
01:14:40:17	01:14:43:02	筱芸霞就絕對不可能收起來
01:15:08:27	01:15:10:02	杜力香
01:15:13:26	01:15:15:08	老師
01:15:16:07		什麼時候回來的
01:15:17:18	01:15:19:14	也不來找老師
01:15:20:02		才剛回來兩三天而已
01:15:22:02		正想找時間找老師說
01:15:23:26	01:15:24:26	是喔
01:15:26:04		你啊
01:15:26:26		明知道老師最想念你了
01:15:28:26		幾年都不回來
01:15:30:06	01:15:32:01	最沒良心了你
01:15:32:25		怎麼樣
