01:01:33:02	01:01:34:04	成績單呢
01:01:42:28	01:01:44:13	怎麼考這種成績
01:01:44:26	01:01:45:28	你看你哥
01:01:47:05		你要是有你哥一半用心啊
01:01:49:05		我就不相信成績會考這麼差
01:01:51:17		好了啦
01:01:52:19	01:01:54:08	弟弟, 去放東西吃飯了
01:02:05:12		剛才你們看到的
01:02:07:00	01:02:08:18	就是小時候的我
01:02:09:03	01:02:11:08	我叫史考特
01:02:18:16	01:02:20:12	這是高中時期的我
01:02:22:17	01:02:24:14	我很乖的聽了我爸的話
01:02:24:28		相信只要有我哥一半的用心
01:02:27:22	01:02:29:22	我的成績一定不會差
01:02:34:21	01:02:36:03	不意外的
01:02:36:24	01:02:38:01	我落榜了
01:02:38:22	01:02:41:02	真實人生沒有那麼容易
01:02:41:15		努力
01:02:42:26		也不一定會有回報
01:02:45:01		還有
01:02:46:05	01:02:47:13	你們一定在想
01:02:48:09		誰會叫史特龍這麼蠢的名字啊
01:02:51:08	01:02:52:14	有
01:02:52:26	01:02:53:26	就是我哥
01:03:04:11	01:03:06:09	你到底要睡到什麼時候啊
01:03:06:19		今天幫你介紹的工作
01:03:07:29		記得去面試喔
01:03:09:23	01:03:10:25	聽到沒
01:03:14:25	01:03:16:13	你聽到沒啊
01:03:18:23		拜託你對自己
01:03:19:10	01:03:21:01	負責任一點好不好
01:04:05:11		玩遊戲比真實人生
01:04:06:20		有趣的地方在於
01:04:08:24		就算死掉也不用負責任
01:04:11:09	01:04:13:09	隨時都可以重來一次
01:04:28:22		那剛剛講到市佔率
01:04:29:27		就是說我們的市佔率...
01:04:31:05		那其實這半年來
01:04:32:08		是一直在節節下降的
01:04:34:17		所以在這邊
01:04:35:05		你們表現得真的滿差的
01:04:37:11	01:04:39:13	那我的報告也就只有這樣子
01:04:46:14		先生, 你好
01:04:47:06		這是最新的科技咖啡機
01:04:48:29		有省電裝置
01:04:49:19		一台只要六千塊而已
01:04:50:23		拜託你參考一下, 拜託
01:04:52:16		那...
01:04:53:03		那不然五千塊
01:04:54:06		拜託你
01:04:55:08		那不然四千塊
01:04:56:03	01:04:57:05	三千塊, 兩千塊
01:04:58:22		拜託你參考一下
01:04:59:27	01:05:00:29	拜託你...
01:05:22:24	01:05:26:08	參考一下...
01:05:47:22		大概我天生就有
01:05:49:22	01:05:52:01	把事情搞砸的特異功能吧
01:05:57:18		這是我退伍以後
01:05:58:10		換了十一份工作
