01:00:00:16	01:00:01:24	這什麼鬼地方啊
01:00:03:09		附近的樹林
01:00:04:03	01:00:05:25	會不會有東西跳出來啊
01:00:07:22		你白癡喔
01:00:08:08	01:00:10:03	你嚇到我了啦
01:00:11:15	01:00:13:09	這棄屍的好地點耶
01:00:13:17	01:00:14:18	這什麼啊
01:00:17:02	01:00:18:15	這裡蚊子一定很多耶
01:00:20:13	01:00:21:26	你確定真的是這裡嗎
01:00:23:15	01:00:24:20	地址是寫這兒啊
01:00:25:18		才晚上六點而已
01:00:26:23	01:00:28:04	連個人影都沒有
01:00:28:17	01:00:30:15	這也太陰森, 太恐怖了吧
01:00:30:28		子閎, 你沒有搞錯嗎
01:00:33:11		再這樣下去
01:00:34:03		手機快沒電了耶
01:00:35:14		你們很吵耶
01:00:36:18		安靜點行不行
01:00:38:10		子閎, 你真的要去嗎
01:00:39:28		對啊
01:00:40:11	01:00:41:23	為什麼一定要找到那個人啊
01:00:48:25		還不是因為我媽啦
01:00:50:13		就怕那個老頭有什麼後遺症
01:00:52:21	01:00:54:00	要我去陪他
01:00:55:17		反正就這樣啦
01:00:56:27	01:00:58:02	趕快走啦
01:01:02:17	01:01:03:15	你們看
01:01:05:01		這台名車已經不成車型了
01:01:07:00		還長草
01:01:07:21		也太誇張了吧
01:01:09:10	01:01:10:15	裡面有沒有人啊
01:01:11:04		完全就不能開了啊
01:01:12:09		都爆開了耶
01:01:13:18	01:01:14:22	也太可怕了吧
01:01:16:25	01:01:18:07	根本是一堆廢鐵
01:01:18:28	01:01:20:08	好誇張喔
01:01:21:01	01:01:22:01	你們看
01:01:22:25	01:01:24:20	應該是這裡吧
01:01:26:13		鬼屋啊
01:01:27:21		太陰森了吧
01:01:28:29	01:01:30:15	這也太可怕了吧
01:01:32:20		真的有人住這裡嗎
01:01:34:08	01:01:36:00	什麼鬼地方啊
01:01:40:00	01:01:41:05	好像都沒有人耶
01:01:57:05	01:01:58:03	什麼聲音啊
01:01:59:13	01:02:01:09	誰家電鈴聲是這樣啊
01:02:02:04		你不要進去好不好
01:02:03:13		什麼東西啊
01:02:04:20		子閎, 不要去了啦
01:02:05:25		那個怪怪的
01:02:07:06	01:02:08:22	子閎, 你考慮一下
01:02:12:28	01:02:14:07	我們真的要進去嗎
01:02:15:07	01:02:16:11	很可怕耶
01:02:33:17		只有林子閎能夠進入
01:02:35:20	01:02:39:07	並且未來一個月不開放探親
01:02:40:08		這算什麼啊
01:02:41:06		這算是綁架嗎
01:02:42:16		吵死了
01:02:43:11	01:02:44:25	安靜點好不好
01:02:46:09		來都來了
01:02:47:06		反正才一個月
01:02:48:25	01:02:50:06	你就忍耐一點嘛
01:02:52:05		你瘋了是不是啊
01:02:53:11	01:02:55:00	你沒看到這裡面多可怕
01:02:57:01		出來...
01:02:57:18		你自己小心喔
01:02:58:20		走了啦
01:02:59:15		我們走了
01:03:00:16		快點出來啊
01:03:01:21		還是別去吧
01:03:02:19		別去了啦
01:03:03:23	01:03:05:26	子閎, 你在裡面要小心點啊
01:03:07:23		保重啊
01:03:08:16		子閎, 你要保重啊
01:03:09:12	01:03:10:10	子閎
01:03:12:00	01:03:13:15	你真的要去嗎
01:03:20:12	01:03:21:11	小心點喔
01:03:24:21	01:03:25:29	子閎, 小心點
01:03:26:22	01:03:28:03	要幫我準備零食喔
01:03:28:22	01:03:29:18	好
01:03:31:00		拜拜
01:03:31:08	01:03:32:15	還是別去
01:03:51:09	01:03:53:10	歡迎光臨
01:03:58:18	01:04:01:15	請問是林爺爺嗎
01:04:05:01		No...
01:04:06:17	01:04:08:01	我是傑克的爺爺
01:04:09:21	01:04:12:00	傑克的爺爺
01:04:27:07		你先等我一下
01:04:28:08	01:04:29:17	東西不要亂動
01:04:49:29		你家沒有WiFi嗎
01:04:51:26		我家沒有歪, 也沒有壞
01:04:53:18	01:04:55:05	房子好好的
01:04:57:03	01:04:59:15	死老頭, 講那什麼屁話
01:05:13:23		不是跟你講過了嗎
01:05:15:01		東西不要亂動
01:05:16:26		從現在開始
01:05:17:25		你負責洗衣服
01:05:19:06	01:05:20:27	還有整理所有家務
01:05:22:04		為什麼
01:05:23:07		我是來當助手
01:05:24:03		又不是來當瑪麗亞的
01:05:25:09		你意見很多喔
01:05:26:23		在我的地盤
01:05:27:27		照我的規矩
01:05:29:12		這就是學魔術的第一堂課
01:05:31:25	01:05:34:16	想當廚師也要先洗三年的碗
01:05:43:09		要不是一個月前
01:05:45:12		我人生最倒楣的那一天
01:05:47:07		去撞到他
01:05:48:23	01:05:50:21	我也不會來他這鬼地方
01:05:51:08		很抱歉
01:05:51:25		我們必須要通知貴團
01:05:53:10	01:05:55:08	沒有通過海洋音樂祭初選
01:05:55:24	01:05:57:03	這什麼爛評審
01:05:57:12		明明台下觀眾愛得要死
01:05:58:26	01:06:00:04	卻連入圍都沒有
01:06:00:22		這次的比賽
01:06:01:22		練習室的租金
01:06:02:28		不少錢耶
01:06:04:06		本來還想用贏來的獎金去付清
01:06:06:03	01:06:08:11	現在全泡湯啦
01:06:09:27		我沒辦法囉
01:06:10:29		零用錢都已經貼上了
01:06:12:12		不然小光
01:06:13:19		你的摩托車拿去賣啊
01:06:14:23		你說什麼啊
01:06:15:23	01:06:16:28	你怎麼不叫他把鼓拿去賣啊
01:06:17:16		如果我把鼓拿去賣
01:06:18:27		下學期電視台徵選怎麼表演啊
01:06:19:27	01:06:21:02	不要吵了啦
01:06:22:14		你們在吵什麼
01:06:23:21		我外面還有客人呢
01:06:25:12	01:06:26:25	要吵去後面吵
01:06:35:10		摩托車鑰匙
01:06:36:16		你要幹嘛
01:06:38:04		錢的事我會想辦法
01:06:39:26		林子閎
01:06:40:12		你幹嘛你要去哪兒
01:06:41:07	01:06:41:25	林子閎
01:06:42:11		林子閎
01:06:43:14	01:06:44:21	到底要幹嘛
01:06:45:05	01:06:46:02	你要去哪裡
01:06:47:10	01:06:48:26	不要把我機車拿去賣啊
01:07:31:08		林子閎無照駕駛
01:07:32:17		和交通違規的部分
01:07:34:15	01:07:36:07	會有刑事責任
01:07:36:17		違規肇事的罰單
01:07:37:24		到時候會寄給你們
