01:03:52:27	01:03:54:09	很辛苦喔
01:03:58:00	01:04:00:17	今天又沒有成功
01:04:03:08	01:04:05:07	我們做人工受孕
01:04:05:26	01:04:07:24	都已經是第三次了
01:04:16:08	01:04:17:04	你看
01:04:20:13	01:04:21:15	你知道嗎
01:04:23:02	01:04:25:13	你為了這個孩子挨了那麼多針
01:04:26:09		全身都僵硬了
01:04:27:08	01:04:28:12	來, 放鬆
01:04:39:13	01:04:40:14	好了
01:04:44:24	01:04:46:18	我每次看到你受那麼多...
01:04:55:20	01:04:57:17	我真的覺得我對不起你
01:05:02:19		有時候我覺得如果我們放棄
01:05:03:29	01:05:05:05	不要
01:05:09:20	01:05:10:29	你跟我說過
01:05:11:22		不管做任何事情
01:05:13:18	01:05:15:07	都要莫忘初衷
01:05:18:08	01:05:19:12	你答應我
01:05:19:28	01:05:21:14	不管有多痛苦
01:05:22:16	01:05:24:25	也都不要放棄好不好
01:05:34:25	01:05:37:02	好, 我答應你
01:05:43:25	01:05:45:01	辛苦啦
01:05:46:26	01:05:48:21	你今天自己去上班好不好
01:05:49:13	01:05:50:24	我打算請假
01:05:51:24	01:05:53:09	去找碩琪
01:06:15:05		喂, 媽
01:06:16:10		阿德, 怎麼樣
01:06:18:11		我上次給阿芳吃的秘方有用嗎
01:06:21:06		媽, 沒那麼快啦
01:06:22:17		怎麼可能
01:06:24:00		那大師明明說
01:06:25:26	01:06:28:17	七七四十九天必懷孕
01:06:29:04	01:06:32:29	我算今天剛剛好七七四十九天
01:06:33:12		媽, 那種事你聽聽就好
01:06:34:24		不要太迷信好不好
01:06:36:09		什麼迷信
01:06:37:22	01:06:40:17	隔壁王太太就是這樣懷孕的
01:06:41:02		我天天吃齋念佛
01:06:42:29		幫阿芳尋找秘方
01:06:44:26		就是希望你們改運
01:06:46:17	01:06:48:00	一舉得男
01:06:48:14		你們也要好好努力
01:06:49:28	01:06:51:11	好好做人
01:06:51:18		好, 媽, 你放心
01:06:53:05	01:06:54:29	我們一定會好好努力的
01:06:55:11		好了啦, 不囉嗦啦
01:06:57:05		晚上回來吃飯
01:06:58:21		幫你兩個補補身體
01:07:00:15	01:07:01:18	好, 晚上見
01:07:22:17	01:07:23:15	你怎麼了
01:07:24:03		你剛剛上洗手間
01:07:24:24	01:07:26:04	不是還好好的嗎
01:07:28:20	01:07:29:28	我月經來了
01:07:37:07	01:07:39:23	我覺得我快崩潰了
01:07:43:15	01:07:44:18	阿芳
01:07:48:03		拜託你不要給自己那麼大壓力
01:07:49:20	01:07:50:28	好不好
01:07:52:04	01:07:54:00	從以前念書你就這樣
01:07:54:19		念書念得超晚的
01:07:56:17	01:07:58:11	完美主義第一名
01:08:01:05	01:08:03:10	我是你最好的朋友
01:08:04:08		我看到你這樣
01:08:04:28	01:08:06:13	我多心疼啊
01:08:09:14		我們都已經有年紀了
01:08:11:02	01:08:12:06	都是老人了
01:08:12:29		身體要養好才是真的
01:08:14:28	01:08:17:08	怎麼被你講得我們好像七老八十
01:08:20:08	01:08:22:18	我的意思是說
01:08:23:00	01:08:24:29	我們已經不是十七, 八歲了
01:08:25:24	01:08:27:21	現在最重要的
01:08:28:25	01:08:30:27	就是要放寬心
01:08:32:06	01:08:34:06	不要讓自己壓力這麼大
01:08:36:11		我當然也希望你趕快生個小孩
01:08:38:02	01:08:39:21	讓我玩, 讓我疼
01:08:41:09		可是我求求你
01:08:42:13	01:08:44:21	壓力不要這麼大好不好
01:08:48:20	01:08:50:10	我剛剛看了檢查報告了
01:08:52:08	01:08:54:01	一切數據都正常
01:08:54:15	01:08:57:21	持續觀察應該是沒有問題
01:08:58:18	01:09:00:11	那為什麼我們都沒有成功
01:09:09:02	01:09:10:02	你知道嗎
01:09:10:24	01:09:12:26	我一直在質疑我自己
01:09:13:05		我覺得
01:09:14:12		生小孩好像是女人的本能
01:09:16:27	01:09:19:13	可是為什麼我不行
01:09:20:14		是不是...
