01:00:04:06	01:00:05:28	來, 走
01:00:07:00		這邊停一下...
01:00:08:07	01:00:09:01	停一下...
01:00:10:04		不好意思...
01:00:10:26		休息一下
01:00:12:03		小玲來
01:00:13:11		好
01:00:14:17	01:00:16:14	老闆...
01:00:18:09		我覺得不划算
01:00:19:13	01:00:20:06	怎麼了
01:00:22:04	01:00:23:01	要加錢啦
01:00:24:18	01:00:26:15	你現在是要加什麼錢
01:00:29:13	01:00:30:17	一開始說好是五樓耶
01:00:32:02		對啊, 這整層樓就是五樓啊
01:00:34:08		我住頂樓啊
01:00:36:21		五樓上去六樓耶
01:00:38:28	01:00:40:25	我們一開始說好是五樓, 你...
01:00:43:06		要加錢啦
01:00:43:28	01:00:44:29	不然不搬啦
01:00:48:26	01:00:50:10	那你要加多少啦
01:00:51:27		我們這趟這麼多人
01:00:53:04		最少要加一千啦
01:00:54:29		過來一點
01:00:56:23	01:00:57:19	推一下
01:01:02:04	01:01:03:17	抱歉...
01:01:06:16		不然這樣好不好
01:01:08:09	01:01:09:16	加五百啦
01:01:11:14		老闆
01:01:12:19		你當我們是乞丐跟你要錢嗎
01:01:14:16		我們都是父母生的
01:01:16:13		五百可以, 只搬半層
01:01:18:08	01:01:19:13	再上去你自己搬
01:01:21:14	01:01:22:12	爸爸
01:01:23:27		如果不把床搬上去
01:01:26:03	01:01:28:09	你晚上就要睡地上了
01:01:33:06	01:01:35:14	他們不搬, 我們自己搬
01:01:36:22	01:01:38:20	可是我搬不動啊
01:01:45:21	01:01:46:09	不然這樣啦
01:01:48:05	01:01:49:08	我就剩這樣而已
01:01:50:17	01:01:51:23	不然你就全拿去吧
01:02:02:02	01:02:03:21	你現在打同情牌啊
01:02:11:26	01:02:13:13	好啦... 做功德啦
01:02:14:16		走啦...
01:02:15:10		不好意思啊
01:02:16:19	01:02:17:14	來
01:02:18:24		慢慢來...
01:02:20:09		那裡有燈, 不要抬太高
01:02:22:02	01:02:23:04	過來...
01:02:25:22	01:02:27:04	這邊停一下...
01:02:28:22	01:02:29:06	來
01:02:30:27	01:02:31:28	翻上來
01:02:32:18		好, 等一下喔
01:02:34:10		好, 推
01:02:35:08	01:02:36:15	不要太高, 這裡不要太高
01:02:37:24	01:02:38:22	不要太高
01:03:54:15		怎麼跪在那邊吃呢
01:03:55:22		坐到床上來
01:03:57:04		沒有椅子坐啊
01:03:58:22	01:04:00:00	來, 過來這邊坐
01:04:09:04	01:04:09:26	早知道
01:04:11:16	01:04:13:06	那一組沙發就不應該把它賣掉
01:04:14:16		如果沒有把那一組沙發賣掉
01:04:17:07	01:04:19:13	我們就沒有錢搬家啦
01:04:21:28		沒關係
01:04:23:20		等我賺了錢以後
01:04:25:08	01:04:26:28	我們再買一組新的沙發
01:04:32:09		對了, 爸爸
01:04:33:26		我們家住址要怎麼寫
01:04:36:00		寫五樓上面
01:04:37:05	01:04:38:00	還是寫六樓
01:04:39:16	01:04:40:08	你問這幹嘛
