01:01:53:00	01:01:54:15	不可以喔
01:02:35:17		這溫曉生師傅在台灣無依無靠
01:02:40:16		退伍之後在餐廳裡當廚師
01:02:45:02		認識了租他屋子的房東
01:02:48:12		房東最後也大腸癌走了
01:02:52:16		臨終之前對他說
01:02:55:08		只要曉生娶了他的智障女兒
01:02:59:13		房子就歸他了
01:03:02:13		辰歸的媽媽
01:03:03:24		生下他沒幾年就死了
01:03:07:00		這可憐的孩子
01:03:08:21	01:03:11:00	又遺傳了他媽媽的病
01:03:13:02		溫師傅年紀已經這麼大了
01:03:16:01		工作也不能做
01:03:18:11		還要照顧一個老兒子
01:03:21:05	01:03:24:06	日子是越來越不好過了
01:03:32:15		回來了...
01:03:34:15		溫師傅
01:03:35:15		我跟你介紹一下
01:03:36:24		這位是我們這裡的新管區
01:03:39:18		有什麼事嗎
01:03:41:09		是這樣的
01:03:42:09		我們接到投訴
01:03:43:17		上個星期你的兒子
01:03:45:12	01:03:48:11	在公園掀女學生的裙子
01:03:49:00		這已經不是第一次了
01:03:50:21		你要看好他嘛
01:03:53:07		他又不是故意的
01:03:55:06		是這樣子的
01:03:56:10		那個女孩子從那個地方走過來
01:03:58:26		正好一陣風把她裙子吹起來了
01:04:02:18		底褲就露出來了
01:04:04:06		怎麼怪我兒子呢
01:04:05:27		你看
01:04:07:09		我兒子傻不呱唧的
01:04:09:19		他懂什麼嘛
01:04:11:12		是啊
01:04:12:25		你別看他這個年紀
01:04:15:02		辰歸實際上就是一個孩子而已
01:04:18:06		他沒惡意啦
01:04:20:08		還是盡量
01:04:21:28		不要讓他在這附近遊蕩
01:04:24:06		要不然居民抗議的話
01:04:25:28		我們也很困擾啊
01:04:28:01		是啊...
01:04:28:19		如果沒有其他事的話
01:04:29:27		我先離開了
01:04:30:27		麻煩你
01:04:31:15	01:04:33:29	慢走...
01:04:36:27		溫師傅
01:04:38:11		這份是我從社會局拿的資料
01:04:41:07		你有時間看一下
01:04:43:01		如果有不瞭解的地方
01:04:44:27	01:04:47:00	你隨時可以問我
01:05:15:05		我跟你說過多少次了
01:05:17:21		在外面
01:05:19:08		尤其是女生
01:05:20:23		你不要亂摸亂摸的
01:05:23:25		以後你再摸的話
01:05:25:26		我就把你手剁斷
01:05:27:22	01:05:29:10	不給你飯吃
01:05:37:14		爸爸不是要罵你
01:05:40:11		以後出去時候要小心點
01:05:43:08		不要亂摸亂摸
01:05:45:15		尤其是女生
01:05:47:01		你說摸出病來怎麼辦呢
01:05:49:14	01:05:50:22	知道嗎
01:05:52:27		你啊, 就會點頭
01:05:56:09	01:05:58:23	過了兩天又忘了
01:06:03:18		自己披著
01:06:04:20	01:06:06:09	我給你拿衣服去
01:06:24:18		你怎麼光著背就出來了
01:06:27:17		來
01:06:28:08		你這樣子會感冒嘛
01:06:30:09		來... 快把衣服穿上
01:06:32:16	01:06:33:19	你看
01:06:35:20		上次感冒
01:06:37:00		不是要找醫生打針嗎
01:06:39:22		好, 慢慢來
01:06:40:19		好
01:06:41:22	01:06:43:09	把褲子穿上
01:06:46:14	01:06:47:17	誰啊
01:06:50:24		溫師傅
01:06:51:24	01:06:52:24	回來啦
01:06:53:13		賴打
01:06:54:09		來... 坐...
01:06:55:13	01:06:57:01	好...
01:07:02:12		來, 這是辰歸的存摺
01:07:05:08		是...
01:07:05:23		身分證, 還有印章
01:07:08:16		辦了這個網路銀行以後
01:07:10:24		您的錢要轉到辰歸的帳戶
01:07:12:15		可方便了
01:07:13:19		還可以順便繳水費, 電費
01:07:16:10		那太好了
01:07:18:26		為了這幾千塊錢存到銀行去
01:07:21:24		銀行, 家裡面來來回回
01:07:23:15		跑來跑去
01:07:24:22		把我的腿兒都跑斷了
01:07:27:21		賴打, 你看什麼時候
01:07:29:28		教我怎麼上網
01:07:33:04	01:07:35:29	溫師傅, 那有什麼問題
01:07:36:28		辰歸啊
01:07:38:08		來... 我跟你講
01:07:39:11		這個是你最喜歡吃的香蕉
01:07:41:23	01:07:42:29	來...
01:07:45:09		你看看
01:07:45:29		新鮮的
01:07:47:16		坐下來...
01:07:49:00		溫師傅, 坐...
01:07:50:11		不... 你坐...
01:07:51:23		坐...
01:07:53:29		怎麼好意思呢
01:07:54:27		我跟你講
01:07:55:14		我買了些水果
01:07:56:14		是...
01:07:57:16		大家一塊吃
01:08:00:00		這個新鮮...
01:08:01:08		好吃
01:08:01:22	01:08:03:03	謝啦...
01:09:00:22		你們兩個看那麼久是有沒有啊
01:09:03:22	01:09:04:29	不要了
01:09:05:21		薇薇姊, 你呢
01:09:06:11	01:09:07:20	薇薇姊
01:09:11:07		我要下課了
01:09:12:24	01:09:14:00	薇薇姊
01:09:15:10	01:09:16:13	你是有還是沒有
01:09:27:11		有夠辣
01:09:28:22		怎樣
01:09:30:02		這樣夠嗎
01:09:32:05		我是不會嫌腥啦
01:09:35:21		這合我口味
01:09:38:10	01:09:40:05	快啦, 開牌...
01:10:05:27		明天下午開始上班
01:10:08:06	01:10:09:23	至於交通的問題
01:10:10:21	01:10:12:09	我會叫人來接你
01:10:15:03		休息時間我們先講清楚
01:10:17:14	01:10:20:17	你月事來了才可以休
01:10:22:00		先做看看
01:10:24:02	01:10:25:13	一天要做多久
01:10:27:04	01:10:29:15	依我剛剛試的條件
01:10:32:04		應該有八十分啦
01:10:34:20		十二個小時跑不掉
01:10:36:11		有心理準備啊
01:10:37:20		十二個小時
01:10:39:19	01:10:42:09	你叫我去死喔
01:10:43:22		你現在是在講什麼
01:10:44:22	01:10:46:03	你現在在講什麼
01:10:47:07		欠的也是你
01:10:49:06		要還的也是你
01:10:50:25		你現在是怎樣
01:10:52:13		討價還價嗎
01:10:54:01		我跟你說
01:10:55:18		你給我乖一點
01:10:57:16		不然到時候你人怎麼消失的
01:11:01:02	01:11:03:02	小弟我可不知道
01:11:05:23	01:11:07:15	認分一點啦
01:11:08:02	01:11:09:25	以為你在菜市場嗎
01:11:28:00	01:11:29:07	我要尿尿
01:11:29:26		我要尿尿
01:11:30:19		尿尿
01:11:31:12		走, 我帶你去
01:11:32:28		孩子, 忍著點
01:11:34:05		我要尿尿
01:11:34:24		忍嘛
01:11:35:15		你看這個...
01:11:36:02	01:11:37:06	尿尿
01:11:38:09		等一等...
01:11:39:21	01:11:42:20	爸爸帶你去尿尿就行了
01:11:44:02	01:11:45:07	怎麼啦
01:11:48:07		你這孩子
01:11:48:23		你怎麼尿到褲子裡面呢
01:11:51:14	01:11:52:26	你真是的
01:11:53:18		尿褲子, 羞羞臉
01:11:55:24		還笑...
01:11:57:16		丟人
01:11:58:19		還笑
01:11:59:03		走...
01:11:59:21	01:12:01:11	回家...
01:12:03:18		來... 穿
01:12:04:28	01:12:06:14	那個抬腳
01:12:07:25	01:12:09:10	對...
01:12:10:17	01:12:12:03	慢慢來
01:12:19:04		對, 對了...
01:12:21:09	01:12:22:11	好
01:12:24:06	01:12:25:06	好
01:12:27:13	01:12:28:22	誰啊
01:12:33:16	01:12:35:01	溫師傅
01:12:36:07	01:12:37:07	來了
01:12:38:03		來, 快進來
01:12:39:12		好...
01:12:39:27		進來
01:12:41:04		這一鍋是我自己燉的滷肉
01:12:43:23		照您上回教我的方法做的
01:12:46:19		您嚐嚐看
01:12:47:20	01:12:49:14	味道夠不夠道地
01:12:58:16		不錯...
01:13:01:03		燉這個滷肉
01:13:02:28		一定要用文火慢慢的燉...
01:13:07:00		把這個滷汁燉到肉裡面去
01:13:09:29	01:13:11:19	它才好吃
01:13:12:24		你燉了多久了
01:13:15:04		我可打一大早起來燉
01:13:16:27		眼睛都不敢離開爐子一秒
01:13:19:22		一大早
01:13:21:10		一大早到現在
01:13:23:05		你沒去上班啊
01:13:25:13		我那上個什麼班啊
01:13:26:20		早辭了
01:13:27:20		現在我跟朋友合夥做投資公司
01:13:30:10		自己當老闆輕鬆多了
01:13:32:11		合夥做生意
01:13:34:19		不容易啊
01:13:36:05		小心, 不要上了別人的當啦
01:13:40:17		對了
01:13:41:14		我聽何太太說
01:13:43:08	01:13:46:06	前兩天管區又來找辰歸
01:13:47:01		老毛病了
01:13:48:17		他總是隔一段時間
01:13:50:17		就想摸摸女孩子
01:13:52:15		我擋都擋不住
01:13:54:01		你也不幫他想想辦法
01:13:55:26		有什麼辦法好想呢
01:13:57:28		他這麼傻
01:13:59:09	01:14:01:11	他懂得什麼
01:14:01:29	01:14:04:23	再傻也是男人嘛
01:14:23:13		溫師傅, 我有個朋友
01:14:27:18	01:14:30:08	他的小姐不挑客人的
01:14:31:07	01:14:33:00	你考慮一下
01:15:19:29	01:15:21:09	外送的
01:15:24:12		怎麼稱呼啊
01:15:26:11		叫我薇薇就可以了
01:15:27:27		您呢
01:15:29:03		叫我老溫吧
01:15:30:11		老溫
01:15:30:26		是... 請
01:15:31:29	01:15:33:23	請裡邊坐
01:15:39:21		跟你先收錢
01:15:40:19	01:15:42:20	是, 有...
01:15:44:24	01:15:46:19	都準備好了
01:15:52:21	01:15:53:25	我上來了
01:15:57:06	01:15:58:19	洗過澡沒
01:15:59:08	01:16:00:23	在哪做
01:16:03:28		怎麼了
01:16:05:05		不知道在哪做
01:16:07:03		那就隨便囉
01:16:07:25		不...
01:16:08:19		等等...
01:16:10:08		我問你
01:16:12:29		你挑不挑客人的
01:16:15:23		挑是不挑啦
01:16:17:28		但是如果你不行
01:16:19:06		我可不退錢喔
01:16:20:23		不是我
01:16:22:05		是我兒子
01:16:24:05		你兒子
01:16:26:10		不是說就你一個人嗎
01:16:27:29		幹嘛要多一個兒子
01:16:30:25		要搞3P是要加錢的
01:16:33:09		阿伯, 你這種身體
01:16:36:03		你受得了嗎
01:16:38:20		不, 不是我
01:16:40:20	01:16:43:16	是只有我兒子一個人
01:16:44:28	01:16:46:12	笑死人
01:16:47:12		我生平也沒聽說過
