01:00:22:06	01:00:23:03	休息了啦
01:00:23:21	01:00:24:11	睡著了啦
01:00:30:16		還不是你害的, 你看
01:00:32:10		你把全部選擇題寫成是非題
01:00:34:08		你真的很誇張耶
01:00:35:24	01:00:36:21	害我跟著照抄
01:00:37:13		我根本連看都沒看就寫了
01:00:38:21		好不好
01:00:39:21		傻子
01:00:40:10		講一下嘛
01:00:41:05	01:00:42:00	你很賤耶
01:00:44:02		還有這一題
01:00:45:05	01:00:46:05	你硬扯, 你怎麼會...
01:00:50:05	01:00:50:26	看什麼
01:00:57:04		又是那個學姊
01:00:58:03	01:00:59:15	你喜歡就去追嘛
01:01:00:29		我哪有啊
01:01:01:28		你少來
01:01:02:20	01:01:03:15	當我第一天認識你啊
01:01:06:29	01:01:07:23	你看那一群人
01:01:08:16	01:01:09:09	她們要幹嘛
01:01:12:01	01:01:13:15	你學姊完蛋了
01:01:14:23		不然這樣子
01:01:15:28	01:01:16:22	要不要英雄救美
01:01:17:17		神經病
01:01:18:26	01:01:19:21	認真啦, 要不要
01:01:21:27	01:01:22:24	不要就不要啊
01:01:37:11		明明就知道
01:01:37:28	01:01:39:14	陳俊志是我男朋友耶
01:01:41:29	01:01:43:02	你知道他說什麼嗎
01:01:44:27	01:01:46:02	要不是你被你爸打
01:01:47:21	01:01:49:17	他是看你可憐才跟你在一起
01:01:59:09	01:02:00:04	外套借我
01:02:02:17		趕快啦
01:02:03:21	01:02:04:29	嘴硬耶你
01:02:09:07	01:02:09:29	拿去啦
01:02:13:11	01:02:14:09	外套記得還我耶
01:02:16:08	01:02:17:12	你瞪什麼啊
01:02:19:02		我是他女朋友
01:02:20:00	01:02:21:09	現在受害者是誰啊
01:02:47:00	01:02:48:03	你來頂樓幹嘛
01:02:49:25		我上去看一下
01:02:51:01		看什麼
01:02:52:00	01:02:52:27	不要多管閒事
01:03:28:28	01:03:29:27	這外套借你
01:03:37:18	01:03:38:18	你要去保健室嗎
01:03:47:00		那個
01:03:48:13		外套是我朋友的
01:03:50:04	01:03:51:15	你洗完再給我們就可以了
01:04:00:08	01:04:01:02	你...
01:04:06:10	01:04:07:25	你可以再陪我一下嗎
01:04:52:09	01:04:53:11	老闆, 雞沒了
01:05:09:06		你蔥都還沒用喔
01:05:10:24		辣椒是要切多久啦
01:05:12:13	01:05:13:21	快了, 等一下就好
01:05:15:03		你在哭喔
01:05:16:11		怎麼切辣椒在哭, 笑死人喔
01:05:18:04	01:05:18:29	菜你拿出去
01:05:19:27	01:05:20:16	好
01:05:23:25		這拿去哪裡放
01:05:24:29	01:05:25:29	外面, 拿去哪裡
01:05:27:08	01:05:27:27	等一下
01:05:28:29	01:05:30:02	你是都沒睡覺, 是不是
01:05:31:01		有
01:05:31:25		有
01:05:32:10	01:05:33:09	有精神一點啦
01:05:34:14		好
01:05:35:02		好什麼
01:05:36:00		好
01:05:37:04	01:05:37:22	趕快去
01:05:39:20		你們老闆又在吼什麼啊
01:05:41:19		新來的阿弟啦
01:05:42:29	01:05:44:19	誰不知道老闆在給他震撼教育
01:05:45:14		阿琴姊, 不好意思, 這個
01:05:47:01		放這裡就好了
01:05:47:27		好, 謝謝
01:05:49:02	01:05:50:20	阿弟, 你新來的啊
01:05:52:08	01:05:53:07	怎麼沒唸書
01:05:54:15	01:05:55:16	我不喜歡讀書
01:05:59:19		你不要看他這樣子
01:06:00:29	01:06:02:27	人家十六歲就已經當爸爸了
01:06:04:27		來, 找你錢
01:06:06:28		謝謝啊
01:06:07:18	01:06:08:07	謝謝
01:06:19:29	01:06:20:21	好舒服喔
01:06:23:12	01:06:24:05	怎麼啦
01:06:30:14	01:06:32:08	你在想什麼
01:06:43:16	01:06:44:10	你知道
01:06:46:23	01:06:48:01	你對我來說很重要
01:06:51:05		為什麼很重要
01:06:52:16	01:06:53:20	為什麼很重要
01:06:55:17	01:06:57:06	因為你跟我在一起的時候
01:06:59:03	01:07:00:06	我很開心啊
01:07:02:01	01:07:03:09	最開心
01:07:06:29	01:07:08:06	那以後怎麼辦
01:07:14:19	01:07:16:15	你想不想跟我一起生活
01:07:21:15	01:07:22:19	你愛我嗎
01:07:23:21	01:07:24:18	當然
01:07:53:16		就真的很正, 我沒有騙你
01:07:55:07		學姊都這樣
01:07:56:07		你看女生都先看哪
01:07:57:29		腿
01:07:58:20		跟我一樣
01:07:59:12	01:08:00:02	腿
01:08:00:25		那你先看哪
01:08:02:04		胸部我都不看
01:08:03:03		我不看胸部
01:08:04:04		你看男生
01:08:05:02		看臉...
01:08:06:12	01:08:07:07	嚇死人
01:08:08:11		沒有, 要先看她眼睛
01:08:09:29		然後看她眼睛有沒有看我
01:08:11:07	01:08:12:08	我再看她胸部
01:08:13:12		我去繳個費
01:08:14:13		你需要我幫你買什麼嗎
01:08:15:18		沒關係
01:08:16:12		好, 那我馬上回來
