01:00:03:02	01:00:04:05	我喔
01:00:05:08		我比較喜歡那種尺寸好的人啦
01:00:08:06		腿越長越好
01:00:10:23	01:00:12:14	皮膚越白越好啦
01:00:13:07	01:00:15:02	這樣生的小孩才會比較漂亮
01:00:16:29	01:00:19:01	外國人也沒關係
01:00:19:19	01:00:22:28	最主要是會照顧我的家人就好
01:00:24:22		我是希望我的對象
01:00:27:09		是這樣的
01:00:29:10		要像明星
01:00:31:02	01:00:32:22	要強壯一點
01:00:47:01		張先生
01:00:48:08	01:00:50:03	可以開始說了嗎
01:00:54:04		我就從年齡開始說了
01:00:56:21		要四十歲以下
01:00:58:19		沒有離過婚, 沒有小孩
01:01:00:12		沒有不良嗜好
01:01:01:23		最好能夠在大公司上班
01:01:03:25		至於房子, 車子, 存款
01:01:06:15		那是一定的, 我就不多說了
01:01:08:16		最好能夠幫忙買個
01:01:10:22		保險, 基金, 股票
01:01:13:17		畢竟人都不知道
01:01:14:07		隨時會發生什麼事嘛
01:01:16:02	01:01:18:13	有保障比較好, 對不對
01:01:24:25	01:01:27:00	可不可以再點一份啊
01:01:29:07		沒問題
01:01:30:16	01:01:32:12	這家奶昔真好喝
01:01:35:17		要是對方父母可以雙亡的話
01:01:39:07	01:01:40:29	那就更好了, 是不是
01:01:44:17		差不多就這樣啦
01:01:46:04	01:01:48:00	應該不會太難找吧
01:01:52:09		我是國小老師, 退休一年
01:01:55:01		我之前找過很多的婚友社
01:01:56:28		都覺得不太滿意
01:01:58:21		最後才找到你們緣起不滅
01:02:01:09	01:02:02:13	我要的不多
01:02:03:16		外表看起來整齊清潔
01:02:05:11	01:02:07:13	不菸不酒, 品行端正
01:02:08:07	01:02:10:05	感情專一, 這樣就好了
01:02:11:19	01:02:12:29	不會太過分嘛
01:02:14:08		我最不喜歡的就是那種
01:02:15:15		一見面就問年終, 薪水
01:02:19:02		房子, 車子
01:02:20:01		房貸付完了沒啊
01:02:21:21	01:02:23:19	這種人結婚之後還得了
01:02:25:18	01:02:27:22	我說這麼多, 你記得住嗎
01:02:29:14		機器會當機
01:02:30:21		寫下來
01:02:32:21	01:02:34:04	好, 寫下來...
01:02:37:12		字錯了
01:02:38:19	01:02:40:26	品行的行是行為的行
01:02:49:28		張先生, 您好
01:02:51:02		我是緣起不滅的林木榮
01:02:53:01		還記得我嗎
01:02:54:13		這次打來是要告訴您一個好消息
01:02:57:19		您要的人選
01:02:58:22		我們終於幫您找到了
01:03:00:18		這次的條件
01:03:01:25		絕對會讓您非常的滿意
01:03:04:15		您放心好啦
