01:00:14:02	01:00:15:10	老闆, 多少錢
01:00:16:02	01:00:16:28	我來
01:00:21:16		牛肉麵一碗四十五
01:00:23:10		兩碗九十
01:00:24:28	01:00:28:08	連滷菜總共一百一十五元
01:00:29:02		不對啦...
01:00:30:16		抱歉...
01:00:31:15	01:00:32:22	我才是老闆啦
01:00:33:06		一碗牛肉麵九十
01:00:35:03		兩碗一百八
01:00:36:02		滷菜這樣五十
01:00:37:06	01:00:38:13	剛好兩百三
01:00:39:18	01:00:44:07	一碗就四十五...
01:00:44:20		不好意思, 抱歉喔
01:00:45:21	01:00:47:03	謝謝...
01:00:47:19		歐巴桑, 你如果來了
01:00:49:08		我很高興
01:00:50:03		你要吃什麼跟我講
01:00:51:07		我再煮給你吃
01:00:52:14	01:00:53:25	來, 我們到那邊坐
01:00:54:05		來...
01:00:55:00		來, 你這邊坐...
01:00:58:01	01:00:59:11	來這邊坐
01:01:17:22		現在怎麼樣了
01:01:18:18		已經開四指了
01:01:19:19		血壓一百四十, Over一百
01:01:21:06		耳溫三十七點七度輕微發燒
01:01:23:02	01:01:25:13	Amylase和Lipase指數偏高
01:01:55:03		請問一下喔
01:01:56:03		水源地不知道該怎麼走
01:01:58:03		水源地
01:01:58:26		現在沒有水源地了
01:01:59:26		改成水源路了
01:02:01:05	01:02:03:05	前面紅綠燈就是了
01:02:04:29	01:02:06:03	麻煩你了
01:02:18:28	01:02:19:22	院長
01:02:20:24		胎位不正
01:02:21:20		而且已經Full了
01:02:22:28		到底要不要CS
01:02:23:25	01:02:25:02	要趕快做決定
01:02:25:21		可是梁先生指定的
01:02:26:17	01:02:28:10	生產時間還沒到
01:02:29:03	01:02:30:23	想不到會提前陣痛
01:02:32:18	01:02:33:24	那怎麼辦
01:02:36:20		要是現在動手術的話
01:02:38:10	01:02:39:18	會得罪客戶
01:02:40:04	01:02:41:08	院長, 電話
01:02:41:27		是梁先生嗎
01:02:43:01	01:02:44:04	不是
01:02:44:23		先請他留話好了
01:02:46:05	01:02:47:03	好
01:03:00:13	01:03:01:26	走一步險棋
01:03:15:26		阿義
01:03:16:28	01:03:17:26	阿義
01:03:19:11		我跑兩千回來
01:03:20:14	01:03:21:22	你還在睡
01:03:23:19		現在是幾點了
01:03:24:18		幾點
01:03:25:09	01:03:27:18	天都黑一半了啦, 幾點
01:03:33:21		生意來了
01:03:34:21	01:03:36:06	生意來了啦
01:03:37:11		人要惜福啦
01:03:39:11		好好開車
01:03:40:06	01:03:41:15	好啦...
01:03:50:01		喂, 大嫂
01:03:51:09		你怎麼現在才接電話
01:03:53:06	01:03:54:03	媽不見了
01:04:39:18		你不要過去...
01:04:40:19		你要去哪裡
01:04:41:19		我要去水源地
01:04:42:29		水源地不是往這裡走
01:04:44:09		這裡沒有水源地
01:04:45:10		這裡車很多
01:04:46:13		你到旁邊休息一下好嗎
01:04:48:01		我以前都是這樣走
01:04:49:18		現在不行了
01:04:50:22		現在已經改了
01:04:51:12	01:04:52:10	你來這兒
01:05:20:22		這兩件款式都很好看
01:05:22:29		而且我跟你講喔
01:05:23:17		它們效果都一樣好
01:05:24:29		那個集中, 托高
01:05:26:26	01:05:28:03	要不要兩件一起試嘛
01:05:30:13		我先試這一件好了
01:05:31:15		好, 沒問題
01:05:32:19	01:05:33:14	裡面請
01:05:34:23		裡面左手邊那一間
01:05:36:00		謝謝
01:05:36:20	01:05:37:20	不會
01:06:00:05		敏鳳, 你電話
01:06:01:09	01:06:02:00	誰啊
01:06:02:26	01:06:04:00	你老公
01:06:05:24	01:06:07:12	怎麼了, 吵架喔
01:06:11:13	01:06:12:25	要什麼尺寸嗎
01:06:13:16		您的電話將轉接到語音信箱
01:06:16:04		嘟聲後開始計費
01:06:18:02	01:06:19:24	如不留言請掛斷
01:07:48:07		梁先生, 你放心
01:07:49:27		我們絕對不會耽誤到
01:07:51:06		你挑的良辰吉時的
01:07:52:19	01:07:54:26	一定會完全符合你的要求
