01:00:26:10	01:00:28:10	請問這裡是古舍古鄉嗎
01:00:51:26	01:00:55:05	請問這裡就是古舍古鄉嗎
01:01:05:20		魏艾嗎
01:01:07:00	01:01:08:09	來, 這裡
01:01:26:21		小玲姊
01:01:27:29		你這裡真的很大很漂亮耶
01:01:30:26		以前我都是聽我爺爺說
01:01:32:21		沒想到這次真的可以過來
01:01:34:18		好high喔
01:01:36:01		你還敢講啊
01:01:37:13		你約了這麼多次都沒有來
01:01:39:17		這一次真的是終於來了
01:01:42:06		沒有辦法啊
01:01:43:07		就我爸, 他管很多耶
01:01:45:04		這個不准, 那個不准的
01:01:46:25		他就希望我
01:01:47:22		好好在家裡當乖女兒
01:01:50:08		那你爸這次
01:01:51:12		怎麼會願意讓你來啊
01:01:53:15		也沒有啦
01:01:54:20		就他有事情去大陸
01:01:56:27	01:01:58:05	五天喔
01:01:58:29		所以你這次偷跑來的啊
01:02:01:07	01:02:02:06	對啊
01:02:05:01		包包先放著
01:02:06:22	01:02:07:27	謝謝
01:02:10:04		準備這麼多
01:02:11:22		你啊, 跟你爺爺真像
01:02:15:17		我記得他第一次來的時候
01:02:17:06		也是一樣
01:02:18:07		從後門進來的
01:02:21:05		他沒事都來這邊
01:02:22:15		跟大家聊天講故事
01:02:24:09		大家都聽得一愣一愣的
01:02:27:29		也不知道他說真的還是假的
01:02:29:21		真的
01:02:30:25		他真的就是這樣
01:02:32:03		沒事老愛逗著我玩
01:02:33:24	01:02:36:02	我都覺得他在吹牛耶
01:02:38:20		你跟你爺爺用一樣的相機啊
01:02:41:18		這個啊
01:02:42:22		這個是他送我的啊
01:02:44:13		我也想跟我爺爺一樣
01:02:45:22		揹著相機到處去旅遊
01:02:47:22		這樣就可以聽不同的人說故事
01:02:50:07		對
01:02:51:07		然後一樣也到處吹牛對不對
01:02:54:11	01:02:56:24	也不是這麼說的啦
01:03:01:03		小玲姊
01:03:02:08		你那個員工真的很奇怪耶
01:03:05:06		他反應超級遲鈍的
01:03:07:00		而且表情好呆喔
01:03:08:26		這樣怎麼做服務業
01:03:10:28		他啊, 他不是我員工啦
01:03:13:11		他偶爾會來這邊打工換宿
01:03:15:25		他真正的職業是個作家
01:03:18:16		作家
01:03:20:02	01:03:21:01	對啊
01:03:24:24	01:03:27:02	所以也是一個愛吹牛的囉
01:03:39:08		魏艾啊
01:03:40:07		你等一下要不要到處去看一看
01:03:42:00		然後順便想想看晚上要吃什麼
01:03:44:19	01:03:45:13	好啊
01:03:49:19	01:03:51:18	快一點啦
01:04:08:17	01:04:10:24	我不知道豬肉是這樣賣的耶
01:04:16:01	01:04:17:14	來啦, 快一點啦
01:04:43:05		只有六百塊而已
01:04:44:20	01:04:46:25	皮包漂漂亮亮的, 證件一大堆
01:04:55:24		快一點
01:04:57:00	01:04:58:26	好
01:06:47:00		我沒有想到你會做飯耶
01:06:48:15		還滿好吃的
01:06:50:00	01:06:50:24	謝謝
01:06:52:10		對了, 我叫魏艾
01:06:54:07	01:06:55:05	你呢
01:06:58:03		我叫魏艾, 你呢
01:07:01:20		我是...
01:07:02:22		那些花是你種的嗎
01:07:04:13	01:07:06:04	還滿漂亮的
01:07:07:01		謝謝你
01:07:07:21		還有那個池子裡的魚
01:07:09:11		是你養的嗎
01:07:11:09	01:07:14:11	我覺得牠們好像有一點營養不良耶
01:07:15:11		該不會這麼大的園區
01:07:17:05	01:07:19:10	只有你一個人在做事吧
01:07:20:03	01:07:22:16	如果是的話, 你也太辛苦了
01:07:24:14	01:07:25:18	謝謝喔
01:07:27:19		今天去的那個市場
01:07:29:07		很好玩耶
01:07:30:14	01:07:32:15	比一般的市場好玩多了
01:07:33:17		那個賣豬肉的
01:07:35:20	01:07:37:15	長得好像張飛喔
01:07:38:15		就是三國志的那個張飛啊
01:07:41:01		你有沒有覺得
01:07:41:19		賣豬肉的好像都會長那個樣子
01:07:44:09	01:07:45:18	好可愛喔
01:07:46:07		還有, 你有沒有發現一件事情
01:07:48:00	01:07:50:17	賣菜的一定是女生
01:07:51:18	01:07:54:08	而且她們都有賣小黃瓜喔
01:07:59:13		你有沒有準備甜點啊
01:08:01:25		你有沒有聽過
01:08:02:17	01:08:04:13	女生都有一個甜點胃啊
01:08:31:04		約定
01:08:32:16	01:08:34:18	是一段旅行的開始
01:08:36:19		可以說好何時出發
01:08:38:20	01:08:40:10	何處落腳
01:08:45:11		也可以說好今天去哪裡
01:08:48:01	01:08:49:28	晚餐吃什麼
01:08:51:18		但是始終約定不了
01:08:53:01	01:08:56:09	路上的風景跟際遇
01:08:57:18	01:08:59:16	那些所有說不準的
01:09:00:15	01:09:01:20	就叫緣分
01:09:06:29	01:09:08:25	好比我遇見你吧
01:09:10:10	01:09:12:23	從來就沒有說好了什麼
01:09:13:15	01:09:16:27	卻那麼有默契的在這裡相遇
01:09:21:24	01:09:23:19	大驚小怪
01:09:25:13		是啊, 何必大驚小怪呢
01:09:29:05	01:09:31:12	也許就只是相遇
01:09:32:17	01:09:34:02	就像曇花一現
01:09:35:21	01:09:36:27	又或許
01:09:38:10	01:09:41:02	明早我們會有各自的緣分呢
01:11:08:04	01:11:09:03	早啊
01:11:09:18	01:11:10:21	早
01:11:50:25	01:11:53:11	我發現你很容易被嚇到耶
01:11:55:20		對了
01:11:56:22	01:11:58:12	你到底叫什麼名字啊
01:12:00:02		我的名字啊, 我叫李振...
01:12:01:12	01:12:02:19	我爺爺耶
01:12:05:12		魏仁啊
01:12:06:13		我爺爺
01:12:08:01		我跟你說喔
01:12:08:21		我爺爺很會拍照喔
01:12:10:29		每次回來
01:12:11:24		都會帶很多的照片回來給我看
01:12:14:01		然後跟我講很多的故事
01:12:16:01		我超愛聽故事的
01:12:17:14		而且我也喜歡翻照片的感覺
01:12:19:26		我爺爺他還很浪漫喔
01:12:22:06		不管科技多進步
01:12:23:24		他都堅持要用底片相機耶
01:12:26:07		而且都自己沖洗喔
01:12:28:16		他說那個是一個儀式
01:12:30:26		是對按下快門那一瞬間的尊重
01:12:33:15		當你很虔誠很謙卑的
01:12:35:25		活在那個時空
