01:00:23:13	01:00:26:06	你欠鬼頭刀哥的一百萬
01:00:27:09	01:00:28:14	怎麼還啊
01:00:36:06	01:00:37:06	別擔心啦
01:00:39:22	01:00:41:00	我想到了
01:00:55:19		受刑人獄中表現良好
01:00:59:23		准予外出奔喪
01:01:02:18	01:01:05:01	期間三十六個小時
01:01:06:00	01:01:08:21	受刑人, 瞭解嗎
01:01:32:17	01:01:33:24	一百萬
01:01:36:21	01:01:38:00	否則...
01:01:41:29	01:01:43:00	付錢啦
01:01:43:22	01:01:44:25	六百八
01:01:47:14	01:01:48:21	付錢啦
01:02:03:02	01:02:04:01	謝謝
01:02:27:04	01:02:28:10	名字
01:02:31:13		幹嘛
01:02:32:01	01:02:33:07	名字啦
01:02:34:02	01:02:35:09	小伍
01:02:36:18	01:02:37:20	老宗
01:02:42:04	01:02:43:16	誰往生了
01:02:46:06	01:02:47:15	我爸
01:03:15:23	01:03:17:11	戒護你回澎湖
01:03:18:00	01:03:20:25	是我四十年刑警的最後一個任務
01:03:23:03	01:03:24:15	我不認識你
01:03:25:03	01:03:26:22	我也不想認識你
01:03:27:12		過了今天
01:03:28:02	01:03:29:16	誰都不認識誰
01:03:30:16	01:03:34:02	所以大家互相一點
01:03:40:22	01:03:42:16	你不要做傻事
01:03:43:13	01:03:45:06	我也不會虧待你
01:03:46:19	01:03:49:02	這樣日子會比較好過一點
01:03:52:03	01:03:53:18	先生, 您幾位
01:04:30:00	01:04:30:27	出來
01:04:33:11	01:04:34:12	出來
01:04:37:16	01:04:38:19	出來
01:04:47:17	01:04:49:26	出來...
01:04:56:15	01:04:57:17	抱歉...
01:05:18:02	01:05:19:08	你去哪裡啊
01:05:21:29		你最好不要做傻事
01:05:22:22		我跟你講
01:05:23:22	01:05:24:25	我沒有
01:05:26:17		我刑期也沒剩多久了
01:05:28:16	01:05:30:09	我現在逃跑划不來啊
01:06:05:14		宗哥
01:06:06:17		走啊
01:06:07:11	01:06:08:16	怎麼不走
01:06:10:25	01:06:12:06	抱歉...
01:06:47:16	01:06:48:18	宗哥
01:06:51:20	01:06:52:25	宗哥
01:06:57:11	01:06:58:10	宗哥
01:07:00:17		宗哥
01:07:02:05	01:07:05:01	我有一件事情想要拜託你
01:07:08:19	01:07:10:12	我其實不想回澎湖
01:07:11:16		至少不是像這樣被當成犯人
