01:00:08:20	01:00:10:25	阿嬤, 你叫什麼名字
01:00:11:18	01:00:13:13	我叫罔笑啦
01:00:15:21	01:00:17:07	罔笑
01:00:18:13		阿嬤, 你怎麼自己坐在路邊
01:00:21:15	01:00:24:00	我要去二兒子家
01:00:25:07		你二兒子住在哪邊
01:00:28:04		我二兒子住在我大兒子家出來右轉
01:00:34:07		看到有7的雜貨店再左轉
01:00:37:03		再過兩個紅綠燈
01:00:38:24		那邊就有公車站牌
01:00:40:07		坐39號坐十站就到了
01:00:43:04		那你大兒子家在哪裡
01:00:45:22		大兒子家喔
01:00:47:02		就是從我二兒子家出來左轉
01:00:50:02		看到郵局右轉
01:00:53:02		那邊有公車站牌
01:00:54:06		坐39號公車十站
01:00:56:01		到了下來
01:00:57:04		好...
01:00:57:27		阿嬤... 好...
01:01:00:16		還有到7-11那邊
01:01:02:25		是...
01:01:03:28	01:01:06:19	你有你兒子的電話嗎
01:01:10:07		麥克風測試
01:01:11:15		卡拉OK, 好
01:01:12:28	01:01:14:06	再見, 謝謝
01:01:16:02		可憐啊可憐
01:01:17:24		咱們台灣人實在真可憐
01:01:20:07		喝的牛奶不是奶
01:01:22:11	01:01:24:29	吃的油還是地溝油
01:01:26:02		你看看你家的鍋子
01:01:28:17		這是什麼
01:01:30:00		這就是烤漆啦
01:01:32:03		別人是吃飯配豆絲
01:01:34:05		你是吃飯配烤漆
01:01:36:10		怎麼辦
01:01:38:03		還好你今天遇到我金山
01:01:40:11		台灣最後的良心
01:01:42:00	01:01:43:10	槓
01:01:44:16	01:01:46:27	槓上開花啦
01:01:47:14		要把我嚇死喔
01:01:49:09		你是在凶什麼啦
01:01:51:20		沒有用的男人
01:01:53:20		在那邊講得口沫橫飛
01:01:55:03		還不如你老娘在這裡打一局賺得多
01:01:57:22	01:01:58:24	凶
01:02:00:08		你今天怎麼可以在這裡打麻將
01:02:02:19		你婆婆這個月不是住你家
01:02:05:11		今年就閏月
01:02:07:12		我婆婆在我家有多住一天啦
01:02:09:20		所以我今天就跟她說
01:02:11:00	01:02:13:13	她該去她二兒子家住了
01:02:14:04		笑死人
01:02:15:06		這也有在算大小月的喔
01:02:17:11		別囉唆啦
01:02:18:06		你一張快點拿來啦
01:02:19:29		接下來我要連莊了喔
01:02:22:08	01:02:24:22	電話不會接一下喔
01:02:25:06		連莊就不能起來
01:02:26:10	01:02:28:02	你是沒聽過喔
01:02:29:13		沒人接喔
01:02:30:15		對
01:02:32:03		不然打給二兒子
01:02:34:16	01:02:35:12	好
01:02:36:29		先生, 您好
01:02:37:23		我們這邊是國稅局
01:02:39:04		您有一筆五萬元的退稅
01:02:40:26		還沒領取喔
01:02:41:27		今天是辦理退稅的最後一天
01:02:44:06		請你到ATM自動提款機
01:02:46:11		辦理退稅
01:02:47:20		請輸入代碼0806449
01:02:50:28		騙誰啊
01:02:52:08		不然這樣啦
01:02:53:12	01:02:55:15	五萬拿去吃藥啦
01:02:59:01	01:03:00:22	誰的電話
01:03:01:16		詐騙集團啦
01:03:03:16		說什麼要退稅
01:03:05:10		我們店裡就不曾開發票
01:03:06:24		逃稅都來不及了
01:03:07:24	01:03:09:14	還可以退稅
01:03:10:06	01:03:12:06	他們沒有我聰明啦
01:03:25:14		喂
01:03:26:06		請問是劉金海嗎
01:03:27:23		這邊是大同分局
01:03:29:13		你媽媽現在在我們這邊
01:03:31:06		騙誰啊
01:03:32:13		我阿母現在住我大哥那裡啦
01:03:35:01	01:03:36:26	你們這些詐騙集團真的是...
01:03:38:17	01:03:40:16	你們沒有我聰明啦
01:03:43:26		阿嬤
01:03:45:07		你還有沒有別的孩子
01:03:46:22	01:03:49:06	是比較正常的
01:03:51:25		生命線小姐啊
01:03:53:16	01:03:55:01	我請問你喔
01:03:55:26		那個上吊啊
01:03:57:29		還是燒炭啊
01:03:59:22		還是吃安眠藥喔
