01:00:22:03	01:00:23:00	Magic
01:00:46:09	01:00:47:00	凱蒂
01:00:47:26	01:00:48:23	生日快樂
01:00:50:06	01:00:51:10	你變出來的喔
01:00:51:24		什麼我變出來的
01:00:53:08	01:00:54:03	當我神啊
01:00:54:23	01:00:56:12	爸爸是花錢買的
01:00:57:17		來, 戴看看
01:00:59:04	01:01:00:10	看喜不喜歡
01:01:05:26		怎麼樣
01:01:07:03	01:01:07:28	漂亮嗎
01:01:08:20		好漂亮
01:01:09:22		謝謝爸
01:01:10:22	01:01:11:14	不客氣
01:01:13:06	01:01:14:06	氣喘又犯了
01:01:16:11		吃藥啊, 趕快啊
01:01:17:25	01:01:18:19	藥呢
01:01:19:17		我...
01:01:20:26	01:01:22:05	藥用完了
01:01:22:27	01:01:23:24	用完了
01:01:26:26		要不這樣好了
01:01:27:27	01:01:29:00	我們去急診
01:01:30:19	01:01:31:12	沒事啦
01:01:32:02	01:01:33:02	我沒有事
01:01:33:12		什麼沒事
01:01:34:14		生命比較重要
01:01:35:14	01:01:36:19	走, 我帶你去醫院
01:01:37:08		不要啦, 這樣不好
01:01:39:08		觀眾他們
01:01:40:08	01:01:42:04	都是花錢買票進來的
01:01:43:06	01:01:44:17	我不能不上場啊
01:01:45:09	01:01:47:06	可是你現在這樣怎麼上場啊
01:01:49:24		你看
01:01:50:23	01:01:52:13	我現在這樣不是很好嗎
01:01:53:08		沒事啦, 我可以的
01:01:56:04	01:01:57:18	我撐一下就過去啦
01:01:58:26		真的
01:01:59:24	01:02:00:19	真的啦
01:02:01:13	01:02:02:26	好了, 該上場了
01:03:06:20		救我
01:03:08:00	01:03:08:21	凱蒂
01:03:09:11	01:03:11:29	凱蒂...
01:03:33:25		對不起
01:03:35:09	01:03:36:14	我們盡力了
01:03:45:02	01:03:47:16	我一直沒辦法從這場夢魘中醒來
01:03:49:23	01:03:51:03	不斷催眠自己
01:03:52:18	01:03:54:02	這一切都不是真的
01:04:22:18	01:04:24:03	我要一杯sex on the beach
01:05:10:03	01:05:10:26	大叔
01:05:12:04		我點的是酒耶
01:05:14:03		Sex on the beach
01:05:14:28	01:05:15:26	懂不懂啊
01:05:16:16		未滿十八歲不能喝酒
01:05:18:06	01:05:19:04	你懂不懂啊
01:05:19:28	01:05:21:09	你又知道我未滿十八歲了
01:05:31:07		大哥
01:05:32:20	01:05:33:26	請我喝一杯酒吧
01:05:36:07	01:05:37:14	你滿十八了沒啊
01:05:39:26	01:05:41:18	怎麼每個人都在講這個問題啊
01:05:42:06		請一杯酒而已
01:05:43:12	01:05:44:09	這麼小氣
01:05:46:24	01:05:47:14	嗨
01:06:02:16	01:06:03:12	你幹嘛啦
01:06:05:00		我警告你
01:06:06:15	01:06:08:00	不准在我的店裡偷東西
01:06:09:04		你怎麼知道我是偷的
01:06:10:26	01:06:11:28	這是我的皮夾耶
01:06:12:16	01:06:13:12	真的
01:06:13:27	01:06:15:15	那裡面應該有你的證件吧
01:06:17:01	01:06:18:14	我今天沒帶證件不行啊
01:06:19:22	01:06:20:19	這麼巧
01:06:25:02	01:06:27:01	這是剛剛那位客人的身分證
01:06:31:06		夜深了
01:06:32:20	01:06:33:28	自己看看幾點了
01:06:41:21	01:06:43:00	你幹嘛偷我東西啊
01:06:44:02		我只是想提醒你
01:06:45:22	01:06:47:15	偷東西, 角度很重要
