01:03:27:08	01:03:28:04	樹仔
01:03:28:21	01:03:29:22	阿樹
01:03:31:06		在裡面啦
01:03:32:13	01:03:33:13	在裡面喔
01:03:37:10	01:03:38:17	廚房喔
01:03:43:20	01:03:45:04	你已經在吃了喔
01:03:46:17		我才在想說我的孫子滿月
01:03:48:23	01:03:50:27	要拿個油飯來給你吃
01:03:52:03		不然一起吃啦
01:03:53:10		不用啦
01:03:54:22		我那邊自己就有煮了
01:03:57:24	01:03:59:13	對... 來...
01:04:01:01		這個啊
01:04:01:27		這個是我去師父那邊求的符
01:04:04:00		你讓那三個孩子帶在身邊
01:04:06:12	01:04:09:01	慢慢的那些孩子就會變得比較乖了啦
01:04:14:09		我之前不是跟你說過了
01:04:16:08		隔壁村阿泉的兒子
01:04:18:09		不是和你那些孩子一樣
01:04:20:03		就是這個師父讓他戴著這個符
01:04:22:22	01:04:25:26	過沒多久他兒子就乖乖回家了
01:04:27:29		不用啦
01:04:29:10		我又沒有在信這個
01:04:31:12		你喔, 就是死鴨子嘴硬
01:04:34:18		這符帶在身邊又沒壞處
01:04:37:10	01:04:40:09	說不定就真的回來了
01:04:47:01		小黑啊, 來...
01:04:48:14		你今天賺到了
01:04:49:26		是對不對啊
01:04:51:10		我那雞腿是要給你吃的
01:04:52:24	01:04:54:14	你怎麼拿給小黑吃
01:04:56:03		小黑跟著我這麼久了
01:04:58:16	01:05:00:05	我一個人吃得了多少
01:05:00:26	01:05:03:24	今天算是牠賺到了
01:05:04:14		小黑啊, 來...
01:05:05:29		說得也是
01:05:07:06	01:05:09:15	小黑, 你真的很有福氣
01:05:11:00		現在真的養一隻狗還比較好
01:05:14:10		每天跟著我們進進出出
01:05:16:04		勝過養孩子
01:05:17:10		養那麼大了
01:05:18:10	01:05:20:09	卻好像是別人的孩子
01:05:22:07	01:05:23:10	來, 吃
01:05:31:27		小黑
01:05:32:27		來
01:05:34:01	01:05:36:02	來...
01:07:07:15	01:07:08:20	沒關係
01:07:09:23	01:07:12:14	你們一個個都把我當白痴沒關係
01:07:19:16	01:07:20:25	你們三個都給我出來
01:07:47:26	01:07:50:00	你們三個裡面誰向阿財拿貨
01:07:59:19	01:08:00:22	不講嗎
01:08:02:09		沒關係
01:08:03:16	01:08:05:04	我就一個一個問
