01:01:11:17	01:01:14:21	媽媽, 我們到台灣了
01:02:08:06	01:02:09:26	不好意思
01:02:12:11		小姐
01:02:13:11		我們還沒營業
01:02:14:21	01:02:16:06	旁邊稍等一下
01:02:18:07	01:02:21:13	我想找陳啟文
01:02:25:20		請問你是...
01:02:27:00		我是他女兒
01:02:28:19	01:02:30:02	我從日本來的
01:02:32:14	01:02:33:10	謝謝
01:02:34:14		你叫小綠
01:02:36:07	01:02:37:05	是
01:02:38:16		你小時候我曾經抱過你
01:02:42:03	01:02:43:09	真的嗎
01:02:45:04		你跟你媽媽長得很像
01:02:46:28		我答應你媽媽會好好的照顧你
01:02:49:13		你要節哀
01:02:50:12	01:02:51:13	是
01:02:54:17		請問我爸爸在哪裡
01:02:57:20	01:02:58:21	他
01:03:01:13		我也不知道他在哪裡啊
01:03:03:27		可是我想
01:03:05:22	01:03:08:06	應該早要回來了
01:03:09:24	01:03:10:24	太好了
01:03:14:05	01:03:15:29	明天去問問看
01:03:27:25		請問一下
01:03:29:04		你們是不是有在找壽司學徒
01:03:32:17	01:03:33:18	對啊
01:03:34:24		我可以嗎
01:03:37:09	01:03:39:00	行規不能收女生
01:03:41:04		拜託你了
01:03:42:18	01:03:45:09	我在日本是做料理的
01:03:47:07		女生就是不行
01:03:48:29		我帶你去你的房間
01:03:50:17	01:03:52:29	我真的很想跟我爸爸做壽司
01:03:56:04		這是你爸房間
01:03:57:27	01:03:59:08	我就睡這裡
01:04:02:01	01:04:03:24	他很久沒有回來了
01:04:05:10	01:04:08:10	很久的意思是...
01:04:10:21	01:04:12:18	我從來都沒有看過他
01:04:14:13	01:04:16:07	從來沒有
01:04:21:01		但爺爺不是說
01:04:22:05	01:04:24:13	他今天會回來嗎
01:04:27:04		如果他今天沒有回來
01:04:29:20		我再帶你去一個地方找找看
01:04:32:15	01:04:34:06	今天先好好休息
01:04:35:25	01:04:38:00	我爸爸他怎麼了嗎
01:04:39:02		明天再說啦
01:04:39:25	01:04:40:28	我要先忙了
01:04:44:02	01:04:45:24	好, 謝謝你
01:05:51:25	01:05:53:00	到了嗎
01:05:55:16		你爸在裡面
01:05:56:27	01:06:00:19	所以他現在在這裡工作
01:06:04:00	01:06:05:16	他之前被關
01:06:07:07		應該是昨天出獄了
01:06:09:13	01:06:10:23	他犯了殺人罪
01:06:11:29	01:06:13:11	殺人
01:06:15:14	01:06:16:24	殺人
01:06:19:26	01:06:21:12	怎麼回事
01:06:23:06		你在這裡等我一下
01:06:25:20	01:06:27:04	我去問問看
01:06:36:29	01:06:38:26	他們說你爸已經出去了
01:06:41:18		是不是你們弄錯了
01:06:44:17		我爸爸一直在做壽司
01:06:46:15		他怎麼可能殺人
01:06:48:14	01:06:50:18	他不是一直在做壽司的嗎
01:06:52:06	01:06:54:24	會不會他們都叫做陳啟文
01:06:55:29		我們去問問看天主堂的神父
01:06:58:10		他曾經教導過他
01:07:00:10	01:07:02:05	一定是你們弄錯了
01:07:13:15	01:07:15:22	你打開看一看
01:07:30:25		請問神父知道
01:07:32:24		我爸爸為什麼犯罪嗎
01:07:36:02		我媽媽說我爸爸一直在做壽司
01:07:40:05	01:07:42:24	他怎麼會殺人
01:07:44:00		我想讓你爸爸親自告訴你
01:07:47:09	01:07:48:28	可能比較好
01:07:54:09		我爸爸在哪裡
01:07:56:06	01:07:58:01	神父知道嗎
01:07:59:17		我記得他跟我說過
01:08:01:21		他很想去跑船
01:08:04:18		跑船
01:08:06:11		你可以到港口去找找看
01:08:10:28	01:08:12:16	天主保佑你
01:08:35:07		為什麼爸爸跟我知道的
01:08:36:26	01:08:38:11	都不一樣呢
01:08:39:21		你媽沒有騙你
01:08:42:08		聽爺爺說
01:08:44:08		他是一個很厲害的師傅
01:08:48:15		爺爺一直在等他
01:08:50:18		只有他的手藝能撐起青田
01:08:54:28	01:08:57:05	你爸是他最得意的弟子
01:09:01:25		我爸爸做的黃花卷
01:09:04:05	01:09:06:24	是世界最好吃的壽司
01:09:08:19	01:09:09:28	那是什麼
01:09:11:26		小時候爸爸做給我吃的
01:09:15:09	01:09:18:08	我一直都很想再吃到
01:09:21:24		那是用黃色的花
01:09:24:23	01:09:27:15	捲著飯包的壽司
01:09:35:26		到底是用什麼花做的呢
01:09:39:23	01:09:42:06	我很想把它做出來
01:09:45:07		可以請你給我個機會
01:09:47:04		成為壽司師傅嗎
01:09:49:26		跟我爸爸一起做壽司
01:09:51:27	01:09:53:28	一直都是我的願望
01:09:59:28	01:10:00:27	我考慮一下
01:10:04:10		拜託你了
01:10:06:13	01:10:07:26	我會加油的
01:10:12:05	01:10:13:06	走啦
01:10:27:01		你來了
01:10:27:29		來, 我幫你推
01:10:29:09	01:10:30:00	謝謝
01:10:31:03	01:10:32:16	你先坐一下
01:10:34:16		一桌
01:10:35:05	01:10:36:03	OK
01:11:02:24		發呆喔
01:11:04:20		對不起
01:11:06:05		幫我洗一下
01:11:06:24	01:11:07:22	是
01:11:20:12	01:11:21:10	歡迎光臨
01:11:22:14	01:11:24:10	歡迎光臨
01:11:31:21		一桌
01:11:32:26	01:11:33:20	是
01:11:35:12	01:11:36:21	綜合生魚片
01:12:10:03		小綠
01:12:12:02	01:12:12:28	是
01:12:15:29		你那些花不能吃啦
01:12:17:24		你試試看這個
01:12:19:06	01:12:20:14	謝謝阿之
01:12:22:21		這你畫的喔
01:12:23:28	01:12:24:29	嗯
01:12:28:01		畫得很漂亮啊
01:12:29:24		這黃花嗎
01:12:30:23	01:12:32:15	對, 爸爸的黃花卷
01:13:38:16		高醫師
01:13:40:18		如果沒有配對者
01:13:42:16	01:13:44:10	我還剩多少時間
01:13:46:26	01:13:48:03	半年
01:15:27:28		不好意思
01:15:29:01	01:15:32:11	請問你們認識陳啟文嗎
01:15:34:22		你是誰
01:15:36:14	01:15:37:27	我是他女兒
01:15:42:01	01:15:43:14	你爸爸人在哪裡
01:15:45:16		你爸爸在哪裡啊
01:15:49:01		我...
01:15:51:16		我不知道我爸爸在哪裡
01:15:55:18		騙誰啊
01:15:57:08		你知不知道
01:15:57:24		你爸爸把我們家害得有多慘
01:16:00:15		你知道嗎
01:16:01:20	01:16:02:29	知不知道啊
