01:00:30:16	01:00:32:27	雕塑藝術家楊奉琛
01:00:34:10		是知名藝術家楊英風的第二代
01:00:38:04		從石雕
01:00:39:18	01:00:40:24	泥塑
01:00:41:07		到不鏽鋼
01:00:43:10	01:00:44:14	雷射
01:00:46:01		他追隨父親的腳步
01:00:47:29		承接了父親的理想
01:00:50:18		也學習了景觀雕塑
01:00:52:20		雷射藝術等
01:00:53:23	01:00:56:15	最前衛的概念與技法
01:00:57:10		父親楊英風
01:00:58:17		由日本所引進的雷射技術
01:01:01:19		楊奉琛有幸與科學家們
01:01:03:23	01:01:06:21	第一批接觸, 學習
01:01:08:01		全像雷射藝術
01:01:09:03		帶給他無窮的興趣與幻想
01:01:12:16	01:01:16:03	也因此他創作了無數的雷射畫
01:01:19:24		他的雕塑開始發光
01:01:21:26	01:01:24:13	燃燒著生命之火
01:01:26:03		近年來他致力於光效雕塑
01:01:29:20	01:01:30:29	雷射藝術
01:01:31:21		景觀雕塑
01:01:33:20		及庭園特殊造景等領域
01:01:37:11		結合了金屬
01:01:39:22		琉璃
01:01:41:05		及雷射科技的藝術技巧
01:01:44:16		在華人世界為台灣的立體藝術
01:01:47:24	01:01:51:07	創下發光發亮的新詮釋
01:02:00:00		我還記得我念書的時候
01:02:01:18		每到了元宵節
01:02:03:00		我就會跟我的家人
01:02:04:11		一起到中正紀念堂
01:02:06:00		去看所謂的燈會
01:02:07:15		頭幾年的時候都會覺得說
01:02:08:23		哇, 好熱鬧啊
01:02:10:09		過了幾年說哇, 人好多啊
01:02:12:06		可是那個哇的心情
01:02:13:11		我是永遠記得的
01:02:14:10		因為那些燈實在太漂亮了
01:02:17:06		而你看這麼多年來了
01:02:18:26		就算大家都知道那裡人很多
01:02:21:01		還是為了那個哇, 那聲讚嘆
01:02:23:04		所有人到了元宵節
01:02:24:11		願意擠到那裡去
01:02:25:20		而今天我們要為大家訪問到的這位來賓
01:02:28:05		特別不容易
01:02:29:09		他在這些年來從南到北
01:02:31:19		設計, 搭建了
01:02:33:10		八次燈會的主燈
01:02:35:12		堪稱是台灣的第一人
01:02:37:00		我們歡迎我們的雕塑藝術家
01:02:38:16		楊奉琛老師, 您好
01:02:40:09		主持人, 您好
01:02:41:26	01:02:43:01	觀眾大家好
01:02:44:01		十五年內
01:02:45:02		得到了七次燈會的首獎
01:02:47:13		所以這個紀錄
01:02:49:13		目前應該是沒有人超過的吧
01:02:51:13		基本上得了一半差不多的獎
01:02:54:15		我想這個要話說
01:02:56:03		一九九○年開始有燈會
01:02:58:25		用我父親的「飛龍在天」
01:03:01:22		做造型
01:03:03:01		那麼我第一次把不鏽鋼
01:03:05:28		變成發光的形式
01:03:08:12		也是我們觀光局首屆的燈會
01:03:12:10		其實我們覺得很榮幸
01:03:15:06		也就是等於父子搭檔
01:03:17:28		真正的為台灣的燈會
01:03:19:26		啟開第一幕
01:03:22:02		而且我想那一年
01:03:23:17		應該讓大家所有人都不只是哇
01:03:25:18		而且是哇... 連聲哇
01:03:27:15		以至於起了一個這麼好的頭
01:03:29:22		到現在
01:03:30:28		每一年
01:03:31:21		大家都還是對於元宵節這件事情
01:03:33:27		特別的期待
01:03:35:08		尤其我們看到冰冷的不鏽鋼
01:03:39:14		然後它用這個科技的技巧
01:03:42:23		用這個穿孔的
01:03:44:29		這種燈光的一個配合
01:03:47:22		它會呼吸了
01:03:48:23		它會有這個生命
01:03:51:25		跟音樂的結合
01:03:54:01		那麼這樣子的創意
01:03:55:26	01:03:57:06	我覺得
01:03:58:10		一直覺得現在目前
01:04:01:04		也算是我們做的是最多
01:04:03:15		還不容易有別人趕得上
01:04:05:18		對, 這也是大家會比較好奇的
01:04:07:15		你說一九九○年
01:04:08:19		因為是第一次嘛
01:04:10:02		然後所以你們第一次用了不鏽鋼
01:04:11:21		做了這個燈
01:04:13:13		大家覺得很驚豔
01:04:15:03		可是之後
01:04:16:05		大家一定會覺得說
01:04:17:11		他能, 我也能啊
01:04:18:27		我也想要競爭首獎啊
01:04:20:10		可是你們陸陸續續還得到了
01:04:21:23		你看, 七次燈會的首獎
01:04:23:16		就表示你們一定有一些技術跟技巧
01:04:25:17		是別人無法複製, 重製的對嗎
01:04:28:04		所以每一年
01:04:28:28		我們有時候是挑戰自己
01:04:31:18		希望每一年都不一樣
