01:00:30:15	01:00:31:09	你看
01:00:32:00		荒謬的事情
01:00:32:29	01:00:35:12	每天都在我們生活當中發生
01:00:38:05		海倫, 演戲本來就是假的
01:00:41:29		那些走進劇場的觀眾啊
01:00:43:24		都是自願被欺騙的人嘛
01:00:46:20	01:00:47:24	好的演技
01:00:49:28	01:00:52:02	就像是高明的騙術
01:00:52:28		原本幻想中的情節
01:00:55:07		卻在現實中一一發生
01:00:58:10		你是選擇相信
01:00:59:27		不放棄追逐夢想的
01:01:01:19	01:01:03:18	現代唐吉訶德嗎
01:01:08:19		這是故事工廠的創團作
01:01:11:03		「白日夢騎士」
01:01:13:02	01:01:16:08	甫推出便造成旋風秒殺的盛況
01:01:17:13		本劇的編導黃致凱
01:01:19:23		是戲劇大師李國修的嫡傳弟子
01:01:23:11		曾經發表過現代武俠劇
01:01:26:02		「王國密碼」
01:01:27:23		結合3D水墨及旋轉舞台
01:01:30:28		打造台灣劇場版的達文西密碼
01:01:34:06	01:01:35:08	創意十足
01:01:44:05		二○一○年由黃致凱編導的
01:01:47:02		花博魔幻歌舞劇「百合戀」
01:01:50:07		連演一百九十六場
01:01:52:11		締造全台
01:01:53:09		三十萬人次觀賞的空前記錄
01:01:56:18	01:01:58:24	是花博最夯的定目劇
01:02:00:13		二○一三年年底
01:02:02:06		屏風表演班宣告無限期停演
01:02:05:24		黃致凱與一群屏風老班底
01:02:08:05		決定重新組成故事工廠
01:02:11:14		秉持屏風的精神
01:02:13:09		繼續在劇場打拼
01:02:15:17	01:02:18:26	與觀眾分享更多動人的好故事
01:02:28:03		在二○一三的年底
01:02:29:21		大家非常熟悉的屏風表演班
01:02:32:25		正式告一段落了
01:02:34:02		而同一時間也促成了故事工廠
01:02:36:27		跟大家見面
01:02:38:15		故事工廠的老班底
01:02:40:08		都是承接著屏風表演班的
01:02:43:16		我想很多人對故事工廠
01:02:45:03		有很多的期許
01:02:46:10		故事工廠當然壓力也非常大
01:02:48:04		他們希望能夠承接著屏風的
01:02:51:10		不管是精神也好, 資源也好
01:02:53:13		繼續在舞台上
01:02:54:20		帶給大家更多更好的作品
01:02:56:17		而今天我為大家訪問到的
01:02:58:12		第一位為大家介紹的
01:02:59:10		就是故事工廠的編導
01:03:00:28		暨藝術總監
01:03:02:11		黃致凱先生, 你好
01:03:03:16	01:03:04:29	寶儀好, 學姐好
01:03:05:19	01:03:06:12	學弟乖
01:03:07:09		接下來是執行長林佳鋒先生
01:03:10:01		寶儀好
01:03:10:18		你好
01:03:11:06		大家好
01:03:11:21		還有看到她
01:03:12:08		就不知道為什麼就會開心起來
01:03:14:17		算是基本班底了吧
01:03:15:29		杜詩梅
01:03:16:22		對
01:03:17:09		哈囉
01:03:17:25		嗨, 阿寶好
01:03:18:23		好, 這個劇團的名字
01:03:20:05		叫做故事工廠
01:03:22:02		兩位分別的頭銜是廠長跟工頭
01:03:25:05		廠長是誰
01:03:26:05		廠長是鋒哥
01:03:27:04		OK, 你是工頭
01:03:28:17		我是工頭
01:03:29:07		帶大家上工的
01:03:30:09		就是苦差事都是你來做就對
01:03:32:08	01:03:33:04	帶領著大家
01:03:34:18		其實要不要說一說
01:03:35:07		因為據大家我們外界所知道的
01:03:37:24		等於就是屏風跟故事工廠
01:03:39:21		我們剛說無縫接軌了
01:03:41:16		那這個當中
01:03:42:27		其實一定有非常多的考量
01:03:46:05		然後一定也有一些故事
01:03:48:23		可以跟大家分享
01:03:49:22		我覺得也是從一直...
01:03:51:16		過去一直以來關心屏風到現在
01:03:53:12		想要繼續關心故事工廠的人
01:03:54:23		想要知道的
01:03:55:26		更多的幕後的故事
01:03:57:00		這個是不是廠長跟我們說一下
01:03:58:26	01:03:59:11	好
01:04:00:17	01:04:01:17	怎麼cue到我了
01:04:02:08	01:04:02:25	想不到吧
01:04:03:17		因為在去年十二月底
01:04:06:03		我們知道屏風即將結束
01:04:09:04		那同一個時間
01:04:10:01		其實我們就開始在運作
01:04:11:25		希望讓好的行政的人才
01:04:15:03		以及編導黃致凱
01:04:17:01		能夠有一個繼續發揮的舞台
01:04:19:28		所以同時間
01:04:21:23		我們就覺得是不是
01:04:23:02		那我再搭建一個平台
01:04:24:26		讓所有的人在這個舞台上
01:04:27:10		能夠繼續的發光
01:04:29:14		所以故事工廠
01:04:30:09		才在那個過程當中產生
01:04:33:19		那當我們正式
01:04:35:07		在一月一號上線之後
01:04:36:29		其實整個年度
01:04:39:21		如果就表演藝術界來說
01:04:41:22		要有檔期這件事也是很難的
01:04:43:29		都... 對
01:04:44:28		你所有的檔期
01:04:45:17		都是一年前就已經申請了
01:04:47:14		你怎麼能夠在這短短的時間
01:04:49:27		又能夠踏上國家劇院實驗劇場
01:04:53:01		演出「白日夢騎士」
01:04:54:21		然後下半年裡
01:04:55:24		又有這麼多的檔期
01:04:57:09		是可以到台南, 台中
01:05:00:09		高雄, 金門
01:05:03:01		到東吳大學
01:05:04:01		真的
01:05:04:16		如果不是有一個很好的廠長
01:05:06:05		怎麼能夠做出這樣的成績
01:05:07:28		是這意思嗎
01:05:08:19		我開玩笑說我是負責喬事情的
01:05:11:03		喬啊...
01:05:12:13		讓他們能夠有一個
01:05:14:15		比較專心的運作的方式
01:05:17:18		那我們負責去外面找資源回來
01:05:19:13		讓我們的戲能夠在不同的地方
01:05:22:07		被更多的人看到
01:05:23:26		那他們只要專心的
01:05:24:29		把戲演好, 把戲做好就好了
01:05:28:14		所以致凱, 當那個廠長跟你說
01:05:30:22		我們一起來做一件
01:05:31:29		這樣子的事情的時候
01:05:33:13		你那時候心裡是想什麼
01:05:34:29		還是其實
01:05:35:20		因為國修老師離開的時候
01:05:36:22		我想大家
01:05:37:24		我覺得屏風會有一個很大的
01:05:39:16		也問自己的問題
01:05:40:13		就是我們接下來
01:05:41:23		然後該怎麼辦呢
01:05:43:11		那個時候
01:05:43:22		你一定也是遇到這樣的問題
01:05:45:07		對, 因為心裡當然很多的不捨
01:05:49:04		因為這麼多人
01:05:50:20		然後在這裡這麼多年
01:05:52:07		這麼長一段時間
01:05:53:19		一起耕耘
01:05:54:28		然後投入你的心血
01:05:56:18		那當然屏風決定要收掉
01:05:58:21		其實掉了很多的眼淚
01:06:00:25		然後
01:06:02:13		但是我們必須面對這個事情
01:06:04:05	01:06:04:27	因為
01:06:05:25		當一個劇團主其事的創作者
01:06:07:24		他離開之後
01:06:09:13		那你接下來的創作
01:06:10:18		其實這個劇團
01:06:12:01		它換了一個人來炒這盤菜
01:06:14:15		那你一定口味有可能會改變
01:06:16:17		對不對
01:06:17:08		那這個質變跟量變是不是
01:06:19:03		當時屏風所能夠接受
01:06:20:29		跟觀眾所能夠去理解的
01:06:24:18		所以後來跟月姐
01:06:26:13		我們有很多的討論
01:06:27:29		然後後來做了這個決定
01:06:29:18		我們也非常的尊重
01:06:31:28		所以後來在接到鋒哥的電話說
01:06:35:01		我們是不是應該
01:06:36:07		把故事繼續說下去
01:06:38:09	01:06:40:25	我二話不說當然點頭說好
01:06:42:15	01:06:43:06	那...
01:06:44:19	01:06:46:03	我心裡面有個想法是說
01:06:47:00		如果屏風像一棵大樹
01:06:50:17		那麼屏風人就像是樹上的枝葉
01:06:53:27		我們終將往不同的方向開展
01:06:56:25		但是我們的根永遠在一起
01:07:00:07		有了這樣一個信念之後
01:07:01:18		我覺得其實就可以很勇敢的
01:07:04:04		跟過去屏風的時代做一個
01:07:07:16		算是告別
01:07:08:14		等於說畢業了, 我們畢業了
01:07:12:07		我們應該要到達
01:07:13:22		另外一個人生的舞台
01:07:14:29		另外一個階段
01:07:15:20		然後面對自己的這個挑戰
01:07:19:07		然後對觀眾負責
01:07:21:05		因為成立了故事工廠之後
01:07:24:03		我們沒有老師了
01:07:26:10		再也沒有人告訴我
01:07:27:28		你做得對或做得錯
01:07:30:15		當你選擇了
01:07:32:05		這樣的導演的手法呈現的方式
01:07:34:23		你寫了這句台詞
01:07:36:02		那就出去囉
01:07:37:23		就是到觀眾眼前囉
01:07:39:23		所以對我來說在這段時間
01:07:42:18		我必須要快速讓自己成長
01:07:44:17	01:07:46:19	然後還要很謙虛的去...
01:07:48:23		去找老師
01:07:50:09		這老師有可能是
01:07:51:05		我們很資深的演員
01:07:53:07		也有可能是好朋友
01:07:55:06		甚至我每天在看新聞
01:07:57:08		以社會為師
01:07:59:10		我覺得這樣從各個不同方向
01:08:01:05		就是讓我學會怎麼去成長
01:08:03:25		然後怎麼去做出更準確的判斷
01:08:07:21		其實杜詩梅在屏風那時候
01:08:09:25	01:08:12:04	就一直有參與演出, 然後
01:08:14:03		這個時候突然看到故事工廠
01:08:15:20		我覺得
01:08:16:02		因為你可以用一個演員的角度
01:08:18:03		因為屏風其實真的有一班
01:08:19:25		老班底
01:08:20:25		不只是幕後工作人員
01:08:22:21		大量的演員
01:08:24:05		那些演員不見得
01:08:25:04		就是演完屏風的戲
01:08:25:29		出去演別的電視劇
01:08:26:29		還是偶爾會回來
01:08:28:05		再繼續演舞台劇
01:08:30:04		還有觀眾其實也是一樣的
01:08:32:15		我覺得以你的角度
01:08:33:17		你看待故事工廠
01:08:34:22		是什麼樣的心情呢
01:08:36:22		其實這從去年七月開始說起
01:08:40:01		就整個從七月老師走
01:08:42:21		那個時候就覺得完了
01:08:44:18		就覺得天快垮下來
01:08:46:11		真的天要塌下來了
01:08:47:27		然後就已經接受了這麼大
01:08:50:09		這麼震驚的一個
01:08:51:08		當然
01:08:52:02		而且那時候我們還在巡迴
01:08:53:24		那時候還有一齣
01:08:55:05		「三人行不行」
01:08:56:09		對, 還在巡迴
01:08:58:06		還在巡迴
01:08:58:28		然後那時候
01:09:00:01		我記得那時候是在百貨公司
01:09:01:17		是每天的
01:09:03:00		然後一走進去就是
01:09:04:06		每天起來都覺得好不真實
01:09:05:20		從老師離開那件事情
01:09:07:03		但我一直沒辦法接受
01:09:08:04		就是因為在開場的時候
01:09:10:14		還有老師的他的
01:09:12:06		他錄的OS什麼的到結束
01:09:14:10		到演出當中都還有他的聲音
01:09:17:00		那個真的好難接受
01:09:18:09		真的很難接受
01:09:19:17		所以七月, 八月
01:09:20:23		然後一直到演出結束之後
01:09:22:24		我才慢慢意識跟自己講說
01:09:25:04		這真的是事實了
01:09:26:07		是真的, 你要接受
01:09:27:21		可是在這個剛結束沒有多久
01:09:29:24		馬上又看到新聞是
01:09:31:26		知道說好像月姐決定要把屏風
01:09:35:10		在年底也收起來了
01:09:37:07		那時候就覺得這怎麼可能
01:09:39:16		這... 這家都沒了
01:09:40:26		就真的
01:09:41:29		就本來只是覺得失去一位親人
01:09:43:21		然後現在是連家都要沒了
01:09:45:21		那是二度真的很重大的打擊
01:09:47:27		然後又是還有一齣
01:09:49:11		「莎姆雷特」要接著巡迴
01:09:51:09		就大家其實心情上或是各方面
01:09:54:16		真的很難轉換跟調適
01:09:56:17		然後那時候
01:09:58:21		不曉得, 反正大家見面
01:10:00:03		是沒有到抱頭痛哭啦
01:10:01:13		但是都很難受
01:10:02:08		就不知道
01:10:03:09		就是覺得家沒有了
01:10:04:22		然後何去何從那種感覺
01:10:06:07		然後一直到
01:10:07:21		一直到後來
01:10:08:16		十月, 十一月吧
01:10:10:06		大概十一月才有聽到耳聞說
01:10:13:00		鋒哥跟致凱決定
01:10:14:26		我們再接軌這個東西
01:10:16:17		然後那時候大家才覺得
01:10:18:16		好像有一點被安慰
01:10:20:02		有一點定下來那個心
01:10:22:20		然後有一點知道什麼叫
01:10:24:20		要所謂化悲憤為力量那種感覺
01:10:27:07		對
01:10:27:24		然後到故事工廠真的成立了
01:10:30:00		就有一種安心了
01:10:31:11		至少還知道
01:10:32:24		就我們不是孤苦無依
01:10:33:27		無家可歸那種感覺
01:10:35:28		你一定要講得這麼悲情就對了
01:10:37:04		真的, 我跟你講
01:10:38:01		我現在可以笑著講
01:10:39:10	01:10:40:24	在去年我是沒辦法的
01:10:42:12		可是我可以理解
01:10:43:26		因為真的
01:10:45:15		屏風帶給很多劇場人很多養分
01:10:48:01		其實也孕育了很多喜歡戲的人
01:10:51:04		不管是真的在做的或是在看的
01:10:53:22		大家都有一份很難割捨的感情
01:10:55:26		本來我今天是想要說
01:10:57:02		我們可以多集中在故事工廠
01:10:58:28		因為畢竟你們是一個新的團體
01:11:00:08		可以多講一些
01:11:00:26		可是不講這些過去
01:11:02:17		因為沒有過去
01:11:03:08		就沒有現在的我們
01:11:04:15		那個基礎
01:11:05:09		是你們沒有辦法抹滅的
01:11:06:23		而我們必須要正視這個過去
01:11:08:23		我們才能好好的繼續往前走
01:11:11:02		所以
01:11:12:11		你看在這個過程當中
01:11:13:19		一定也有很多人
01:11:14:13		給你們鼓勵跟指教
01:11:15:28		就好像你們的創團大作
01:11:18:23		「白日夢騎士」
01:11:19:18		據我所知像那個曾國城
01:11:22:23	01:11:23:16	師兄
01:11:24:26		師兄
01:11:25:19		好像也有給你們
01:11:26:16		就因為一定會有一些長輩
01:11:29:08		這對你來說就是長輩了
01:11:30:25		會說致凱, 這個做得怎麼樣啊
01:11:33:13		看完戲
01:11:34:02		還給了我們四十分鐘的筆記
01:11:36:21		把所有演員都集合
01:11:37:22	01:11:38:19	他話比較多啦
01:11:39:26		他就副導嘛
01:11:40:20		對
01:11:41:18		副導演, 地下副導演
01:11:43:04		所以他
01:11:43:25		其實很多人都關注著你們
01:11:45:19		對不對
01:11:46:08		對
01:11:47:03		這對你們來說其實是助力
01:11:48:24		也是一種壓力耶
01:11:50:22	01:11:52:04	對, 那而且
01:11:52:27		就是其實關注我們
01:11:54:01		不只是這些演員
01:11:55:12	01:11:58:07	包括我們過去的屏風小匠義工
01:11:59:16		這些小匠他們很可愛
01:12:02:00		他們在屏風結束之後
01:12:03:22		就有人在社群網站上問說
01:12:05:20		致凱你們會不會再成立新劇團
