01:00:27:28	01:00:30:19	忠於自己心裡喜歡的那個東西
01:00:31:13		I don't teach, 我不教你
01:00:33:08		剛剛我有教嗎, 我沒有教
01:00:34:26		I facilitate
01:00:36:05		追尋夢想其實是找到
01:00:38:24		自己參與這個世界的方法
01:00:41:18		我要用的就是唱歌這個
01:00:44:01		這麼有力量的語言
01:00:45:05		來跟這世界
01:00:45:26		傳達我想要傳達的話
01:00:47:19		當我們懷抱著奉獻社會的理想
01:00:52:01		不管多還是少
01:00:53:25		只要每個人能夠累積
01:00:55:06	01:00:56:16	一點點自我的力量
01:00:58:09		團隊合作
01:01:00:03		做就對了
01:01:01:04		你用愛去做出發點
01:01:03:14		什麼事都會水到渠成
01:01:05:08		有時候你要堅持
01:01:06:21		你的理想是寂寞的
01:01:08:14		你如果沒有道德勇氣
01:01:09:26	01:01:11:04	你就不知道怎麼去實現它
01:01:31:13		TED創立於一九八四年
01:01:33:22		原本是美國的一家非營利機構
01:01:36:27		二○○九年開放品牌授權
01:01:39:21		鼓勵全球各地
01:01:40:25		自發性的組織TED風格的活動
01:01:44:16		近年在台灣
01:01:45:28		陸續有近二十間TEDx
01:01:48:07		申請成立
01:01:49:17	01:01:52:06	向世界發聲, 講自己的故事
01:02:25:12		普普藝術大師Andy Warhol
01:02:26:21		曾經說過一句話
01:02:27:19		他說在未來
01:02:28:21		每個人都有十五分鐘
01:02:29:27		成名的機會
01:02:30:24		而他的未來就是我們的現在
01:02:33:01		在這個網路發達的時代
01:02:34:10		如果給你十八分鐘
01:02:36:18		你要對這個世界說什麼
01:02:38:09		你有什麼方法讓別人看見呢
01:02:40:07		今天要為大家介紹
01:02:41:13		就是這個說故事的平台
01:02:43:02		為大家訪問到的是
01:02:45:00		TEDxTaipei的許毓仁
01:02:46:15		Jason, 你好
01:02:47:12		寶儀好
01:02:47:29		你好
01:02:48:15		還有TEDxTainan的何諺錡
01:02:50:22		Michael, 你好
01:02:51:20		寶儀, 你好
01:02:52:27		台北, 台南
01:02:53:29		我們還有高雄, 台東
01:02:55:26		或是什麼嗎
01:02:56:29		都有嗎
01:02:58:06		但先是台北開始嘛
01:02:59:08		對...
01:02:59:28		OK, 因為你一看
01:03:01:00		就是資深學長的感覺
01:03:02:22		是...
01:03:04:17		其實是二○○九年
01:03:06:08		就開放了這個品牌授權
01:03:07:29		對
01:03:08:15		我想, 兩位先為大家介紹一下
01:03:10:29		什麼是TED
01:03:12:10		因為可能如果常常上網的朋友
01:03:15:12		可能已經從TED這邊
01:03:16:19		接受過非常多的訊息
01:03:18:17		看到很多很棒的演講
01:03:20:05		時間不長
01:03:21:04		可是我們得到了很多新的資訊
01:03:22:27		我們知道這個世界上
01:03:24:02		有不同的人, 有不同的想法
01:03:25:26		也很樂於跟大家分享
01:03:27:01		但是可能還有人不知道
01:03:28:20		What is TED
01:03:29:15		什麼是TED
01:03:30:05		不要講太多英文
01:03:30:25		什麼是TED呢, 來
01:03:32:27		我覺得TED就是一個
01:03:34:11		十八分鐘的Idea馬戲團
01:03:37:02		它在一九八四年
01:03:38:13		由一個建築師和一個哲學家
01:03:40:13		所創立
01:03:41:12		那一開始只是
01:03:42:02		他和他一群好朋友的晚餐
01:03:44:09		然後每個人丟一個
01:03:45:02		瘋狂的點子出來說
01:03:46:16		我們怎麼樣
01:03:47:19		用十八分鐘可以改變世界
01:03:49:20		然後所以從一九八四年
01:03:52:01		譬如說賈伯斯的第一台電腦
01:03:54:12		在TED上面發表的
01:03:55:23		科技公司的第一張光碟片
01:03:57:08		也是在TED上面發表的
01:03:58:25		第一個人工3D列印的腎臟
01:04:01:28		也是在TED上面發表的
01:04:03:15		所以從一九八四到二○一四
01:04:06:11		世界上所有很酷, 很棒
01:04:08:21		很好玩, 很有趣的Idea
01:04:10:17		都在TED上面可以看得到
01:04:12:10		所以到現在
01:04:12:26		它已經是全世界一個
01:04:14:21		思想匯流的平台
01:04:16:24		那如果有人說
01:04:17:25		你十八分鐘你想做什麼
01:04:19:13		去看一場TED會改變你的一生
01:04:21:19		一九八四年那個時候
01:04:23:02		網路其實還沒有很發達
01:04:24:20		我覺得其實我們
01:04:26:26		Michael可能沒有
01:04:28:07		我們這麼深的體...
01:04:29:06		等一下, 我確定你是幾歲
01:04:31:28		我滿深的體認, 有滿深的體認
01:04:34:02		因為我們活生生的見證了
01:04:36:02		網路對這個世界的改變
01:04:37:28		對
01:04:38:19		因為當年
01:04:39:09		我記得當年我高中的時候
01:04:41:13		我現在在透露我的年齡
01:04:42:18		真的好糗
01:04:43:26		我高中的時候
01:04:44:25		我們那台電腦
01:04:45:24		說有多大就有多大
01:04:47:11		我們還在學DOS
01:04:49:05		那個時候還沒有電腦作業系統
01:04:50:22		然後我們在學DOS
01:04:51:19		還要寫什麼ACD什麼之類那種
01:04:54:24		然後覺得說這什麼鬼啊
01:04:56:26		不知不覺我們走到了現在
01:04:59:24		隨時隨地你跟...
01:05:01:23		你用一個手機
01:05:02:29		就可以跟這個世界連結
01:05:04:13		但是在一九八四年的時候
01:05:05:23		那個時候他們設立這個東西
01:05:08:11		並沒有想要跟全世界人分享
01:05:10:06		只是跟身邊的人分享是這樣嗎
01:05:12:06		對, 其實一開始的時候
01:05:13:18		只是這一個建築師
01:05:15:07		叫Richard Wurman
01:05:16:21		他邀了一群朋友
01:05:17:29		然後可能一兩百個吧, 頂多
01:05:20:05		然後
01:05:20:16		他朋友好多, 他朋友真多
01:05:22:21		對, 然後大家一起來聚會
01:05:24:03		然後來分享一些想法這樣而已
01:05:26:28		那時候也沒有手機
01:05:29:02		甚至於
01:05:30:13		電腦都還是一種大型的機房
01:05:32:25		然後個人電腦才剛問世
01:05:34:25		所以那個時候可以說
01:05:36:03		非常非常的封閉
01:05:37:07		而且只有一小撮的人才知道
01:05:40:05		跟現在這種全世界風行的這種
01:05:43:18		完全是不一樣的
01:05:44:23		那時候有點像是一個秘密組織
01:05:46:26		可以這樣說
01:05:47:25		好, 現在我們全部人都有機會
01:05:49:09		可以加入這個秘密組織了
01:05:50:20		Michael你覺得什麼是TED呢
01:05:52:17		其實在我的想法裡面
01:05:53:19		它是有點像是
01:05:54:16		萬國博覽會的這種形式
01:05:57:02		它是在一個地方
01:05:58:00		你可以每個人
01:05:59:09		在全世界的任何地方
01:06:00:17		都把你最好的Idea
01:06:02:04		帶到這個地方來
01:06:03:03		告訴全世界說
01:06:04:23		我們在這個地方
01:06:05:19		做著這些很酷的事情
01:06:07:09		你們要不要一起來
01:06:08:19		那它更多的東西
01:06:09:18		其實是在分享一個Action
01:06:11:14		是一個行動
01:06:12:19		它在告訴你
01:06:13:16		你先有想法
01:06:14:15		你就要站出來跟大家講
01:06:16:08		講完了之後帶著一群
01:06:17:18		跟著你一起
01:06:18:27		認同這樣子理念的人
01:06:20:04		上來跟他講說
01:06:21:16		我們就來做這件事情
01:06:22:29		然後我們一直做... 做到最好
01:06:25:10		做到讓全世界的人都覺得
01:06:27:19		這是一件該做的事情
01:06:29:08		那在我的理念裡面我覺得
01:06:31:26		TED這個東西給了我們
01:06:33:04		很多很多的空間去想像
01:06:34:29		去看到這個未來
01:06:37:19		會有什麼樣的東西
01:06:38:20		我們可以增添什麼樣的色彩
01:06:40:13		它就像是一個畫布一樣
01:06:41:29		這個博覽會每個人添了一筆
01:06:43:23		所以這個畫就呈現了
01:06:46:12		對, 我覺得TED真的是
01:06:47:14		因應這個世界的趨勢潮流
01:06:49:25		而延伸出來的一個
01:06:51:02		新的分享的方法
01:06:52:11		以前我們要分享知識
01:06:54:17		靠的就是閱讀
01:06:56:02		教育, 先從教育開始
01:06:57:18		再來是閱讀
01:06:58:12		但教育其實是還挺直線性的
01:07:01:00		然後閱讀有時候也挺孤單的
01:07:03:27		對, 滿單向的
01:07:04:23		滿單向的
01:07:06:05		TED的確
01:07:07:15		為什麼說因應了現在人的需求
01:07:09:02		是因為現代人其實沒什麼耐性
01:07:11:22		以前的人其實還挺有耐性的
01:07:13:20		我們可以鑽研一件事情
01:07:14:29		很長很長的時間
01:07:16:17		現在我們很多知識說實在的
01:07:18:13		如果你在十八分鐘之內
01:07:19:18		沒有辦法讓我懂得一件事情
01:07:21:08		不好意思
01:07:21:19		因為我的注意力
01:07:22:14		就轉到下一個地方去
01:07:23:16		因為有太多的事情
01:07:24:21		讓我們知道了
01:07:26:07		好, TED其實在這個世界上
01:07:28:05		做了非常多的事情
01:07:29:07		但今天我們要著眼點的是
01:07:30:22		它為台灣做了什麼
01:07:32:02		而台灣又能為這個世界做什麼
01:07:34:08		二○○九年的時候
01:07:35:08		TED開放了品牌授權
01:07:37:13		然後○九年的時候
01:07:38:20		其實Jason非常有遠見的
01:07:40:29		就先得頭籌的
01:07:43:05		你那個時候就設立了
01:07:44:02		TEDxTaipei, 對不對
01:07:45:21		對, 其實我大概
01:07:47:12		在二○○六年的時候
01:07:48:19		開始看TED
01:07:49:25		TED大概放第一支影片的時候
01:07:52:15		我就覺得這個怎麼那麼有趣
01:07:54:26		你看的第一支影片是什麼
01:07:56:11		是Ken Robinson
01:07:57:15		就是一個講教育的
01:07:59:00		一個英國的教育大師
01:08:01:09		然後我就想說
01:08:02:07		以前我們小時候去補習的時候
01:08:04:19		如果曠課
01:08:05:16		就會被叫回去看影片
01:08:07:13		然後我想說
01:08:08:08		為什麼以前那種演講的影片
01:08:10:06		那麼無聊
01:08:11:04		可是看TED
01:08:11:24		卻讓我整個被吸進去了
01:08:14:03		那所以從○六年, ○七年
01:08:16:00		就是一直都在看
01:08:17:11		然後後來到○八年
01:08:18:12		那時候我離開工作職場的時候
01:08:20:13		我就想說
01:08:21:25		有機會到美國去晃一晃
01:08:24:13		然後看看有沒有機會
01:08:25:15		看看這個平台在做什麼這樣子
01:08:28:15		所以就在那個時候
01:08:29:10		就接觸了TED
01:08:31:00		然後那個時候開始跟他們聊說
01:08:32:21		你們有沒有機會授權
01:08:34:11		他們說他們暫時沒有這個想法
01:08:37:02		那個時候我就想說好吧
01:08:38:09		那如果他們沒有授權
01:08:40:15		那我就自己來搞一個
01:08:42:03		那我就搞了一個台灣版的TED
01:08:44:04		就是山寨版的TED
01:08:45:09		叫The Big Question
01:08:47:11		叫做大哉問這樣子
01:08:48:29		那也是做這個TED的模式
01:08:51:02		十八分鐘...
01:08:52:13		然後把它錄影起來
01:08:53:23		然後放到網路上
01:08:55:02		然後隔年二○○九年
01:08:56:19		TED就說我們要授權了
01:08:58:25		我看到你做的東西很有意思
01:09:00:26		你要不要跟我們一起來玩
01:09:02:16		那就大概是這樣子
01:09:03:15		就一路慢慢的展開
01:09:05:12		所以其實嚴格來講
01:09:07:26		可以說是你啟發了
01:09:09:08		TEDx的這個脈絡, 開頭
01:09:12:29		我不敢這樣說, 但是...
01:09:14:05		你很厲害耶
01:09:15:14		我真的完全不敢這樣說
01:09:17:01		好啦, 沒關係
01:09:18:10		但是我覺得這讓他們思考到說
01:09:22:06		如果他們要做一個
01:09:23:21		全球的平台的話
01:09:25:19		那應該讓當地有Passion
01:09:28:16		有熱情的人
01:09:29:16		而且是對這個
01:09:31:00		有信念, 有想法的人
01:09:32:19		可以加入他們一起去經營
01:09:35:04		對, 所以我覺得對他們來說
01:09:37:03		在他們全球的布局的策略
01:09:38:26		是非常聰明的
01:09:40:11		大陸有句話叫接地氣
01:09:42:17		我覺得其實它這個
01:09:43:16		TEDx的這個概念
01:09:45:02		其實就很像是要接地氣
01:09:46:17		因為你不可能
01:09:47:09		總是以歐美中心主義
01:09:49:15		在看待這個世界
01:09:50:21		其實這個世界
01:09:52:17		尤其是網路開始之後
01:09:53:20		它真的就是平的了
01:09:54:29		每一個人都是可以獨立
01:09:56:15		成為自己說話的一個發聲體
01:09:59:10		可是我們要怎麼樣
01:10:00:15		才能取得美國總會的授權
01:10:02:21		就是除了...
01:10:03:19		他們是主動來找你
01:10:04:17		還是其實你要經過一些審理
01:10:06:01		其實一開始的時候
01:10:08:02		他們剛開始
01:10:08:15		發出這個邀請的時候
01:10:09:20		我也覺得很意外
01:10:10:29		我想說是不是一個詐騙集團
01:10:13:02		就是怎麼可能會
01:10:13:29		對, 這怎麼可能會發生
01:10:16:06		然後那個時候我記得
01:10:17:13		就是我們還在公寓裡面
01:10:19:16		幾個朋友在創業
01:10:21:02		我們還跟別人借了一個辦公室
01:10:23:09		電話會議這樣子
01:10:24:12		所以一開始就是他們只是說
01:10:26:16		你們為什麼想做這個
01:10:28:01		然後我只是說
01:10:29:02		我希望用這個平台
01:10:30:18		然後啟發更多年輕人
01:10:32:07		開始說在地的故事
01:10:33:24		然後順便把台灣的故事
01:10:35:02		帶到全世界
01:10:36:08		然後他們可能覺得這一個動機
01:10:38:14		這個目的是他們要的
01:10:40:28		他們認為是正確的
01:10:42:17		所以就大概
01:10:43:19		跟他們聊過幾次之後
01:10:44:25		他們就決定說
01:10:46:02		那台北變成是
01:10:47:17		亞洲第二個授權的城市
01:10:49:11		第一個是
01:10:49:29		第一個是東京, 對
01:10:51:12		然後第二個就台北
