00:00:43:25 你是否也想體驗一場藝術夜遊
00:00:47:13 台北市將於十月一日至二日的夜晚
00:00:51:02 響應法國巴黎
00:00:52:06 自二○○二年開始舉辦的
00:00:54:19 白晝之夜活動
00:00:57:03 範圍從大稻埕, 塔城街
00:01:00:07 北門, 重慶南路
00:01:02:17 到台博館, 二二八紀念公園
00:01:05:18
00:01:07:13 當晚大眾可免費欣賞到
00:01:09:29 各類當代藝術展演
00:01:12:23 穿越歷史老街
00:01:14:15 參與一場別開生面的藝術饗宴
00:01:17:28
00:01:21:24 白晝之夜誕生於二○○二年
00:01:25:05 是由貝特朗•德拉諾埃
00:01:26:13 所創立的
00:01:27:19 他是當時新上任的巴黎市長
00:01:30:09 他當時想要依據新的文化政策
00:01:33:22 來創造一個新的文化活動
00:01:36:09 他把這個任務交付給了尚•布雷茲
00:01:39:25 他是法國文化界的一位重要人物
00:01:44:08 就是他想像出了
00:01:45:12 這個全然獨特的嶄新活動
00:01:50:14 目的是為了讓當代藝術走出去
00:01:55:28 進入獨特的時間與場域當中
00:01:59:29 於是結果便是一夜
00:02:02:06 十月份第一個週末夜
00:02:05:15 就在週六與週日之間
00:02:08:29 而且是在巴黎的一些很獨特的地點
00:02:12:19 並不是平常會舉辦藝術活動的地方
00:02:15:09 在這一整夜之間
00:02:17:04 會有許多的表演活動與裝置藝術
00:02:20:16 然後這個活動
00:02:21:24 就變成了極受大眾歡迎的活動
00:02:24:06 巴黎白晝之夜有三個特色
00:02:25:18 讓它成為獨一無二的活動
00:02:28:00 第一個特色是它在夜裡發生
00:02:30:01 這個活動不像一個展覽那樣
00:02:31:12 會持續一段時間
00:02:33:23 而就是在這一整夜
00:02:36:07 所以說在夜裡發生這一點
00:02:39:07 便會讓我們走出正常的時間
00:02:40:21 這並不是一件正常的事
00:02:43:25 半夜兩點漫步在巴黎街頭
00:02:48:10 為的是要去探索藝術作品
00:02:53:24 在夜裡這麼做是相當獨特的
00:02:55:26 所以在夜間是第一個特色
00:02:58:25 還有就是免費的這個特色
00:03:00:23 這是一個藝術完全免費的時刻
00:03:02:13 所有在白晝之夜中舉辦的藝術活動
00:03:06:21 無論是在街頭還是在博物館中
00:03:08:24 或是在其他地方的藝術裝置
00:03:11:01 全部不需任何費用
00:03:13:17 然後第三個特色
00:03:15:25 就是巴黎這個城市
00:03:19:06 在白晝之夜期間
00:03:20:11 藝術完全與城市緊緊相連
00:03:23:04 白晝之夜首先是一場城市漫遊
00:03:26:16 走進一些無論是巴黎人還是觀光客
00:03:28:01 為了白晝之夜刻意進入的地區
00:03:30:00 而這些地方是平常人們不太常去
00:03:33:02 或是很少去的
00:03:34:06 人們因而得以發現這個城市的這些地方
00:03:36:14 而且還是在一個特殊的時刻去發現
00:03:39:12 連同那些藝術裝置一起
00:03:41:14 所以在夜間發生又加上城市
00:03:43:12 讓白晝之夜成為一個
00:03:44:17 讓我們改變觀點的時刻
00:03:47:10 我們會用完全不同
00:03:48:20 全然獨特的方式
00:03:49:24 去探索我們自己的城市
00:03:53:13 巴黎白晝還有另一個特色
00:03:55:09 就是它同時有正式(官方)策展的節目
00:03:57:18 也有off(非官方)的節目
00:03:59:13 有點像亞維儂藝術節那樣
00:04:01:07 所以白晝之夜
00:04:03:13 是個有正式策展人的藝術活動
00:04:06:00 具有主題與確切的藝術活動規畫
00:04:10:15 然而同時在整個城市當中
00:04:11:29 也會有巴黎人所提供的各種文化活動
00:04:17:04 藉由巴黎的一些團體機構與社團的參與
00:04:20:29 這點讓白晝之夜變得非常豐富
00:04:23:03 因為除了正式規畫藝術活動之外
00:04:24:27 同時還有一股動力
00:04:26:25 由下而上的去佔領這個城市
00:04:29:19 提出種種文化活動與藝術創作
00:04:32:12 就是這樣的交會
00:04:34:07 讓白晝之夜真的成為相當獨特的活動
00:04:36:04
00:04:42:27 從二○○二年
00:04:44:09 創始於法國巴黎的白晝之夜活動
00:04:47:06 是結合了城市創新
00:04:49:00 以及公共空間的
00:04:50:06 當代藝術展演
00:04:52:11 它是在十月的第一個週末晚上
00:04:55:10 而且是晚上通宵
00:04:57:21 舉辦的一個非常棒的活動
00:04:59:07 至今好像有一百二十個城市
00:05:01:18 都已經參與這個活動了
00:05:03:01 而今年很高興
00:05:04:16 為什麼要這麼高興
00:05:06:05 台灣是亞洲第一個舉辦的城市
00:05:10:00 光是想到
00:05:11:08 我心裡就湧起了一陣驕傲之情
00:05:13:26 而這麼開心的事情
00:05:14:25 希望大家不要錯過
00:05:16:05 今年是十月一號嘛
00:05:18:05 十月一號
00:05:18:23 就是十月的第一個週末
00:05:20:01 今天我們要好好來聊聊
00:05:21:03 白晝之夜為什麼大家都不要睡覺
00:05:23:02 首先我們邀請到的是
00:05:24:10 台北市文化局局長
00:05:25:29 謝佩霓局長
00:05:26:25 好久不見
00:05:28:11 寶儀好
00:05:30:04 你可不可以不要這麼忙
00:05:31:03 常常來我們節目
00:05:32:00 好的...
00:05:33:11 接下來是白晝之夜的藝術總監
00:05:35:16 Akibo老師, 你又來了
00:05:37:21 沒想到
00:05:38:11 對啊
