00:00:35:08 在劇場燈光下
00:00:37:00 馮翊綱, 宋少卿的相聲瓦舍
00:00:39:26 用創作的精神
00:00:41:07 為這項說唱藝術找到新的傳承
00:00:44:24
00:02:09:14 馮翊綱現任相聲瓦舍團長
00:02:12:04 暨藝術總監
00:02:13:23 在一九八八年創團之後
00:02:15:28 就被各界譽為是相聲新希望
00:02:19:22 二十五年來
00:02:20:23 每年近百場的演出
00:02:22:28 滿座的票房
00:02:24:05 長銷的影音光碟
00:02:26:03 讓相聲成為
00:02:27:11 不褪流行的藝術表演
00:02:30:06
00:02:40:23 不知不覺
00:02:41:11 我們「公視藝文大道」
00:02:42:07 已經堂堂邁入第三個年頭了
00:02:44:11 我還記得我第一年
00:02:45:09 在主持這個節目的時候
00:02:46:13 我就在想我什麼時候
00:02:47:21 我可以訪問這個團體
00:02:49:22 或者是這個團體裡面的
00:02:50:27 核心成員
00:02:51:28 如果我不能在這個節目裡面
00:02:53:24 訪問到一個
00:02:55:01 我每天晚上會看著他們的表演
00:02:56:29 入睡的團體的話
00:02:58:15 那我做這個節目
00:02:59:07 到底還有什麼意義呢
00:03:00:24 而今天, 我圓夢了
00:03:02:06 要為大家訪問到的是
00:03:03:15 相聲瓦舍的團長
00:03:04:20 還有藝術總監馮翊綱先生
00:03:06:06 你好
00:03:06:25 寶儀
00:03:07:22 介紹好像我們是那個
00:03:08:26 搖籃曲的作者
00:03:10:01 可是是真的耶
00:03:11:21 我必須要講就是
00:03:12:27 這真的是我個人本身體驗
00:03:14:08 可能是我從高中的時候
00:03:16:07 就養成的習慣
00:03:17:07 我很喜歡聽你的相聲入睡
00:03:19:01 因為你特別喜歡相聲, 我知道
00:03:21:15 我特別喜歡聽相聲
00:03:22:22 而且聽著相聲入睡
00:03:23:21 已經變成我的習慣了
00:03:25:17 然後等到當我開始有點焦慮
00:03:27:19 比方說工作壓力很大的時候
00:03:29:20 我就希望能夠聽一點輕鬆的
00:03:31:29 但又有點收穫的
00:03:33:20 然後有點節奏的
00:03:35:00 然後能夠陪伴著我
00:03:36:07 不要一直focus在
00:03:37:11 我覺得我很...
00:03:39:04 不知道該怎麼解決的問題上
00:03:41:18 我是不太曉得我有這個能力
00:03:43:07 但是你不覺得老聽宋少卿講話
00:03:45:10 也是受不了的嗎
00:03:46:14 我會關得比較小聲一點點
00:03:49:01 對, 但是我必須要說
00:03:50:07 就是這些年來其實陸陸續續
00:03:51:27 相聲瓦舍的作品
00:03:52:23 我也聽了挺多的
00:03:55:00 於是對你們兩位主要成員
00:03:57:08 也非常的熟悉了
00:03:58:22 一個你, 一個宋少卿
00:04:00:04 宋少卿還曾經是我的相聲老師
00:04:02:03 短時間...
00:04:03:10 是吧
00:04:04:06 是
00:04:05:10 那我覺得其實應該很多事情
00:04:07:11 要從人開始講起吧
00:04:09:18 因為畢竟你是團長
00:04:11:00 又是創作總監嘛
00:04:12:07 其實你的頭銜非常的多
00:04:13:18 你看喔
00:04:14:19 您是相聲演員
00:04:16:01 也是劇作家
00:04:17:12 這邊有很多您的作品
00:04:18:29 劇團的經營者
00:04:20:02 所以是團長
00:04:21:07 然後也是教授
00:04:22:15 你有在教課
00:04:23:24 在師大, 也有在北藝大
00:04:25:15 也是在很多的
00:04:27:20 就是雜誌或者是週刊
00:04:29:15 有在寫專欄
00:04:31:01 當作家
00:04:31:26 現在沒有專欄了
00:04:33:07 就寫寫
00:04:33:20 然後也很幸運
00:04:35:12 應該說這些媒體
00:04:37:28 尤其是文字平面媒體
00:04:39:07 他們願意承受我的這種
00:04:42:00 囉囉嗦嗦, 叨叨絮絮的
00:04:42:23 囉囉嗦嗦的這種創作的樂趣
00:04:45:22 那麼寫完之後也都給我登
00:04:48:06 我運氣很好, 我覺得
00:04:49:17 所以你最喜歡
00:04:50:06 自己的哪一個頭銜呢
00:04:51:22 如果比方說像...
00:04:52:23 今天我們可以好好聊天
00:04:54:02 因為我們有一個小時的時間
00:04:55:10 如果比方說
00:04:55:29 只是一篇文章在介紹你
00:04:57:19 裡面只能只有五百個字的時候
00:04:59:14 你會希望別人怎麼介紹
00:05:00:26 什麼什麼馮翊綱先生這樣呢
00:05:02:18 當前的我特別願意跟大家討論
00:05:05:05 關於劇本創作
00:05:06:11 劇本創作
00:05:07:04 我認為
00:05:07:24 在劇本創作的這條道路上面
00:05:09:29 在現下的我
00:05:11:13 我覺得差不多剛剛好掌握到
00:05:14:08 個中三昧的一點點樂趣了
00:05:16:23 我常常這樣
00:05:17:16 最近我最大的樂趣
00:05:18:28 每一次把劇本能夠寫出來
00:05:23:05 每一次我們的要用的內容
00:05:25:13 一段被寫出來
00:05:26:14 或整篇被寫出來之後
00:05:28:15 我都會非常感謝老天爺
00:05:30:12 老天爺把我生成一個
00:05:32:03 居然有寫作能力的
00:05:34:08 居然有寫作劇本能力的
00:05:35:20 這樣的一個人
00:05:36:16 我非常非常的感謝
00:05:38:14 但這個應該也是
00:05:39:10 長時間累積的吧
00:05:41:04 當然
00:05:41:28 劇本創作
00:05:43:00 在台灣是一個非常冷僻的
00:05:46:01 在全世界也都不是一個什麼
00:05:48:12 熱門的行業
