00:03:59:16 今天的「藝文大道」對我來說
00:04:01:11 是非常特別的一集
00:04:03:03 因為我要訪問到的是
00:04:04:13 我人生當中真正意義的
00:04:06:25 第一個老闆
00:04:07:27 我真正的第一份薪水
00:04:09:07 是從他手上領來的
00:04:10:27 而且他開啟了我人生的很大的
00:04:13:25 不只是一扇窗
00:04:14:25 簡直就是一個門
00:04:16:03 改變了我很多之後...
00:04:18:10 包括我覺得
00:04:19:04 我現在可以坐在這邊
00:04:19:24 其實跟他也脫不了關係
00:04:21:25 他在演藝圈
00:04:22:26 其實就扮演這樣的一個角色
00:04:24:21 以前你可能不認識他
00:04:25:25 但現在他現在是暢銷書作者
00:04:28:09 倪桑, 你好
00:04:30:02 各位觀眾大家好
00:04:31:12 阿寶, 你好
00:04:32:14 老闆
00:04:33:17 不要這樣叫我
00:04:34:16 可是是真的
00:04:35:04 有壓力真的...
00:04:35:29 我常常跟別人說
00:04:38:02 倪桑是我人生當中的第一個老闆
00:04:39:15 其實我是用很驕傲的語氣
00:04:41:10 跟大家這樣講的
00:04:42:12 謝謝
00:04:43:02 可是你是不是人生當中就...
00:04:44:20 會不會沒事就會有人在路上
00:04:46:23 跑過來跟你講說
00:04:47:29 倪桑, 我真的好謝謝你
00:04:49:08 當年你曾經做過什麼什麼事
00:04:50:22 然後你自己都不記得的
00:04:52:18 最近常常有
00:04:53:28 因為最近你成為名人嘛
00:04:55:07 不是...
00:04:55:23 常上電視
00:04:56:18 變暢銷作家因為出書
00:04:57:29 那常常就很多...
00:04:59:09 所以碰到很多狀況
00:05:00:02 那其實我都忘掉了
00:05:02:10 我這個人記性很差
00:05:04:26 雖然我只做了兩個多月
00:05:07:08 但是我做的每一件事情
00:05:09:09 其實都影響我後來很多
00:05:11:05 因為他就是給我一個可能性說
00:05:14:05 你還可以做很多事
00:05:15:21 然後還有很多的可能
00:05:17:06 我覺得這也就是在
00:05:18:10 「鏗鏘真言」這本書裡面
00:05:20:01 告訴大家
00:05:20:28 你這些年來一直在做的事情
00:05:23:11 也就是...
00:05:24:09 雖然你可能不見得
00:05:25:05 是曝光率最高的那個人
00:05:26:27 但是因為你給了大家這個機會
00:05:28:22 這個空間
00:05:29:15 讓他們成為現在的自己
00:05:32:00 我覺得最妙的是
00:05:33:00 我如果不是看這本書
00:05:34:06 我不知道原來你是攝影師出身
00:05:36:22 我沒有當到攝影師
00:05:38:10 攝影助理
00:05:39:05 攝影助理
00:05:39:27 對, 我就是從...
00:05:41:10 我最早的時候想幹一個攝影師
00:05:44:02 所以就利用這個
00:05:45:16 混進了中央電影公司
00:05:47:08 做了兩年的攝影助理
00:05:49:17 然後後來就跑去日本念書
00:05:51:25 可是那時候
00:05:52:18 日本念的也是拍照嘛
00:05:54:09 開始的時候是念攝影
00:05:55:21 後來就去念Video
00:05:57:17 開始後來念電影
00:05:58:19 因為那時候才是電影的基礎
00:06:00:16 因為那時候對所謂電子攝影
00:06:02:23 沒有什麼概念
00:06:03:21 總覺得那是一個不入流
00:06:05:16 是一個電影的替代品
00:06:09:05 那後來到日本
00:06:10:02 進了那個學校
00:06:12:07 一學期念完
00:06:14:01 就我們班上有一半的人
00:06:15:21 全部轉到Video科去
00:06:17:06 那是一九八○年代的時候
00:06:18:21 所以Video是個很新的概念
00:06:21:17 所以我也跟著就轉過去
00:06:23:23 你有覺得你其實生長在...
00:06:25:21 或者是你的成長期
00:06:27:10 是面臨在一個很大的
00:06:29:02 社會一個轉變的時期的
