00:00:29:25 劉墉
00:00:30:21 這個名字在華人世界裡
00:00:32:24 耳熟能詳
00:00:34:04
00:00:35:03 身兼多重身分的才子劉墉
00:00:37:27 從學生時代開始
00:00:39:11 就以他的畫功聞名
00:00:41:23 也當過電視主持人
00:00:43:25 記者和演說家
00:00:46:08 但他近幾十年最廣為人知的
00:00:49:03 還是他作家的身分
00:00:51:08
00:00:52:23 他出版過八十多種
00:00:54:10 不同主題的著作
00:00:56:04 從勵志, 溫情
00:00:58:09 到談論待人處世的內容
00:01:00:29 大多人都只注意到
00:01:02:15 他綿裡藏針的文筆
00:01:04:29 殊不知他還出過多本
00:01:07:10 中英文版的繪畫理論
00:01:09:11 與藝術方面的書籍
00:01:12:11 劉墉的畫
00:01:13:07 將傳統山水飽藏於胸
00:01:16:00 工筆細膩生動
00:01:18:05 此外
00:01:19:03 他更喜歡在畫上畫龍點睛
00:01:21:29 添加一些富有生命力的小東西
00:01:25:05 讓整幅靜態的圖畫
00:01:26:29 顯得更加生動
00:01:28:24
00:01:30:02 他底子紮得深
00:01:31:17 不但認真研究, 師法古人
00:01:34:11 更懂得自我創新
00:01:36:19 他利用噴染皴擦法
00:01:38:24 將現代噴墨技巧
00:01:40:16 與傳統國畫皴擦法結合
00:01:43:23 迷幻浪漫的美感
00:01:45:07 就這樣呈現在整幅畫中
00:01:48:18 而畫沒骨花鳥時更是親手解剖
00:01:52:08 以素描記錄花卉, 昆蟲
00:01:55:05 飛鳥的每個細微環節
00:01:57:17 但求忠實呈現所有的細節
00:02:01:16 劉墉不但傳統畫的底子深厚
00:02:04:12 他的現代抽象畫更是大筆揮灑
00:02:07:29 在幾何線條中
00:02:09:09 包容了和諧圓融的精神
00:02:12:01 讓人為之驚豔
00:02:14:15 不論是文筆還是墨筆
00:02:16:29 他都能讓觀賞者深深的感動
00:02:19:20 有如身歷其境
00:02:22:01 今天就請與我們一起暢遊
00:02:24:17 劉墉的文藝世界
00:02:26:14
00:02:36:10 今天我們要訪問的這位來賓
00:02:38:16 在台灣或是在大中華地區
00:02:42:05 應該是說大家都認識他
00:02:44:20 可是說實在
00:02:45:22 我覺得大家也沒有那麼認識他
00:02:47:26 為什麼
00:02:48:18 因為他實在做了太多的事情
00:02:50:03 而每一件事情
00:02:51:00 都做得這麼的到位
00:02:52:10 不到一個極致
00:02:53:08 他是不會放手的
00:02:54:07 比方說如果他當舞台劇演員
00:02:56:04 他可以拿到金鼎獎
00:02:57:14 他當電視節目主持人
00:02:58:28 他就可以拿到金鐘獎
00:03:00:13 然後他如果要出書
00:03:01:26 他就是最暢銷的作家
00:03:03:22 他如果要畫畫
00:03:05:08 他的畫是可以拿到拍賣場
00:03:07:19 去賣很高的價錢
00:03:08:26 而且被博物院收藏的
00:03:10:21 但是他就是一個人
00:03:13:23 為什麼一個人能夠
00:03:14:19 在他這樣子的人生裡面
00:03:16:06 做這麼多的事情呢
00:03:17:13 今天我們就要好好跟他聊一聊
00:03:19:11 劉墉老師
00:03:20:22 好可怕
00:03:23:03 謝謝, 幫我吹得太過頭了
00:03:25:13 可是是真的
00:03:26:06 你知道你是少數
