01:00:30:09	01:00:33:14	巨大的章魚腳攀附在建築物上
01:00:35:13		繁華商圈
01:00:36:11	01:00:39:16	出現一條飛起來的柏油道路
01:00:41:10		一隻隻鏤空的大型魚群
01:00:43:16	01:00:45:26	優游在觀眾頭頂
01:00:47:20		噴射機的雲煙被凝結在空中
01:00:50:22		令人回想起快樂的童年時光
01:00:54:14		由富邦藝術基金會所打造的
01:00:56:26		粉樂町-台北東區當代藝術展
01:01:00:12	01:01:03:15	將藝術作品帶進城市空間
01:01:06:04		你可能走在街道上
01:01:07:17		與它不期而遇
01:01:09:27	01:01:11:29	也可能在一間咖啡館
01:01:12:26		服飾店或是髮廊
01:01:15:00		欣賞到這些
01:01:16:01	01:01:18:16	繽紛有趣的藝術創作
01:01:19:26		它們為城市的生活
01:01:21:10		添增了色彩與活力
01:01:23:25		也將台北東區
01:01:25:02	01:01:27:25	變成了一座無牆美術館
01:01:39:20		每一年總有兩個月的時間
01:01:41:12		你走在東區
01:01:42:09		你會發現東區變得粉紅色了耶
01:01:45:29		你就會知道夏天又來了
01:01:47:19		這就是富邦藝術基金會
01:01:49:28		已經做了為期八年的
01:01:51:12		粉樂町活動
01:01:52:10		我們發現
01:01:52:25		藝術已經走進我們的生活
01:01:54:09		我們可以在建築物的牆上
01:01:56:02		看到伸出來的章魚爪
01:01:57:15		我們在路邊可以看到一朵
01:01:59:21		看起來有點令人害怕的
01:02:01:05		會呼吸的花
01:02:02:18		而這也就是粉樂町的宗旨
01:02:04:09		告訴大家
01:02:05:03		藝術其實就在我們的身邊
01:02:06:28		今天為大家訪問到
01:02:08:11		是一個與眾不同的...
01:02:11:15		怎麼形容她呢
01:02:13:00		美麗的富太太
01:02:14:07		但她是真的
01:02:14:25		跟別人有點不太一樣
01:02:16:05		我們歡迎的是
01:02:16:27		富邦藝術基金會的執行長
01:02:18:05		翁美慧女士, 你好
01:02:19:07		寶儀, 你好
01:02:20:19		我一定要這樣介紹你
01:02:21:29		是因為其實很多人認識你
01:02:23:15		其實很多認識你
01:02:24:15		都是從什麼財經版啦
01:02:26:15		有時候可能是時尚版
01:02:28:14	01:02:29:28	因為我們對於...
01:02:30:24		一定會有人這樣形容你嘛
01:02:32:07		就是畢竟你的身分
01:02:34:06		還是某某人的太太這樣子
01:02:36:10		但是今天沒有
01:02:37:08		你今天就是誰
01:02:38:18		翁美慧女士
01:02:39:14		對
01:02:40:00		我們就是要執行長好好聊一下
01:02:42:00		你自己在做的這個事情
01:02:43:27		好
01:02:44:15		因為其實這個事情
01:02:45:26		真的跟大家想的有點不太一樣
01:02:48:02		因為我們很多人都會覺得說
01:02:50:00		尤其是跟金融有關的
01:02:53:05		藝術基金會
01:02:54:11		其實大家都會想說
01:02:56:06		不就是有錢人要報稅
01:02:58:18		或是說他們就意思意思做一下
01:03:01:05		可是我發現
01:03:02:00		你做的跟大家有點不太一樣
01:03:03:15		因為你是挑難的去做
01:03:06:02		因為你不是說
01:03:06:18		我們就是來辦一個活動
01:03:08:01		然後大家看看表演好開心
01:03:09:29		或是說我們做一些小型...
01:03:12:00		沒有, 你就是挑難的做
01:03:13:12		比方說像我們剛剛說的粉樂町
01:03:15:15		是
01:03:16:00		一做做了八年
01:03:17:07		是
01:03:17:26		是一個很大的計畫
01:03:19:24		你當時是什麼樣一個理念
01:03:21:05		希望把這個富邦藝術基金會
01:03:23:16		做的跟其他基金會
01:03:24:12		有點不太一樣呢
01:03:25:21		OK
01:03:26:27		寶儀, 剛才你講說我挑難的做
01:03:30:00		其實我相信
01:03:31:11		在我做藝術這麼多年來
01:03:34:07		我們已經十七年了
01:03:36:01		我從來不覺得
01:03:38:02		做事情有什麼難跟簡單
01:03:40:17		那我們就是有一個理想
01:03:42:12		我們的理想就是藝術
01:03:45:01		怎麼樣用藝術來跟大家分享
01:03:47:18		尤其我們企業要回饋給社會
01:03:49:29		那我自己會想想說
01:03:52:25		我們富邦有什麼資源可以用
01:03:55:22		我們富邦有什麼東西
01:03:57:07		我們是可以跟人家分享的
01:03:59:20		如果不是因為你自己喜歡它
01:04:02:01		你相信它
01:04:03:10		你怎麼可能有東西
01:04:04:19		可以分享得出去
01:04:06:02		那就太矯情了
01:04:07:05		如果說你為了逃稅或什麼
01:04:09:04		那你可以做很多其他
01:04:10:25		而不一定要選這樣子的方式
01:04:12:13		沒錯...
01:04:13:07		甚至我覺得一個企業
01:04:14:10		它要回饋社會
01:04:15:13		它也可以直接拿錢
01:04:16:26		去贊助藝術, 音樂會或什麼的
01:04:19:09		都可以
01:04:19:17		也不需要成立一個基金會
01:04:21:06		來做這麼多事情
01:04:22:27		所以事實上我覺得基金會本身
01:04:25:29		我們是個二十個女人的團隊
01:04:27:17		我們是...
01:04:28:29		我們每一個女生
01:04:30:04		其實都是喜歡藝術
01:04:31:11		而且相信藝術是生活化
01:04:33:01		其實藝術就在我們生活當中
01:04:35:04		所以為什麼
01:04:35:25		我今天會成立藝術基金會
01:04:37:02		其實我從小我就是喜歡藝術
01:04:39:18		我一年級的時候就喜歡寫字
01:04:41:25		小學一年級
01:04:42:18		對
01:04:43:00		然後老師就說
01:04:44:12		你字怎麼...
01:04:45:08		連寫鉛筆字都像毛筆字
01:04:47:29		因為我就會這樣一頓, 一捺
01:04:50:03		你知道, 就看得到這樣
01:04:51:24		你是很有耐心的人喔
01:04:53:07		其實我媽媽對我
01:04:54:11		我媽媽就會教我寫字
01:04:56:01		可是我自己就會覺得
01:04:57:07		我就要每一筆
01:04:58:03		就要這樣工整的下來
01:04:59:21		那老師就說不可思議
01:05:00:28		一年級寫的字就像寫毛筆一樣
01:05:03:12		然後他就派我去比賽
01:05:04:11		然後我就拿到第一名
01:05:05:13		我也不知道為什麼
01:05:06:15	01:05:08:08	然後五, 六年級
01:05:09:01		我們在上音樂課
01:05:10:11		老師就說你去唱歌, 去比賽
01:05:13:16		然後我就隨便
01:05:14:28		You know
01:05:16:03		選了一個曲子
01:05:17:08		老師幫我挑
01:05:17:29		然後我練了幾次
01:05:18:24		然後就上去比
01:05:19:11		結果拿了第一名
01:05:20:07		老師就說啊
01:05:21:23		我回家
01:05:22:14		我就跟媽媽...
01:05:23:21		媽媽, 老師叫我去唱歌
01:05:25:11		居然我拿了第一名
01:05:26:17		媽媽說我不曉得你會唱歌耶
01:05:29:13		就是這樣子
01:05:30:04		所以你知道
01:05:31:01		對我來講
01:05:31:17		我覺得藝術就是生活
01:05:32:21		它不是一個需要學習
01:05:34:25		或者是...
01:05:35:16		不知怎麼的, 我覺得是...
01:05:36:25		也許是我很幸運
01:05:37:22		就是天生的
01:05:39:12		就是你天生就會做這件事情
01:05:41:24		你覺得藝術是應該要從小開始培養嗎
01:05:44:14		就是比方說味覺也是我覺得應該就在生活當中
01:05:46:23		視覺也是
01:05:47:15		你知道為什麼
01:05:48:02		因為我從小眼睛一張開
01:05:49:26		睡醒的時候
01:05:50:25		我們家就有古典音樂
01:05:53:00		就有交響樂
01:05:53:19		因為我爸爸就喜歡
01:05:54:27		然後我媽媽也是一個很會畫畫
01:05:57:01		然後對我們家裡面
01:05:58:18		我覺得畫畫是不用學
01:06:00:01		就應該拿起來就會畫的事情
01:06:02:07		就是這樣子
01:06:03:10	01:06:04:13	那我們的家
01:06:05:08		喜歡音樂, 藝術
01:06:06:08		是我自己有一個姊姊
01:06:07:21		兩個弟弟
01:06:08:23		我們家四個人
01:06:09:18		都喜歡一樣的事情
01:06:10:28		所以你覺得
01:06:11:28		所以成長的氛圍
01:06:13:10		對, 就已經是了
01:06:14:09		就已經是融入在生活裡面了
01:06:15:16		是...
01:06:16:14		但你剛剛說你的藝術基金會
01:06:18:10		成員全部都是女生
01:06:19:21		這個是你刻意安排的嗎
01:06:21:04		我沒有刻意安排
01:06:21:28		還是應徵的時候
01:06:22:26		男生一踏進去
01:06:23:15		就覺得說太粉紅了
01:06:24:25		然後就直接這樣退出來這樣嗎
01:06:26:16		沒有, 我們曾經也有一個男生
01:06:28:06		他現在也是在外面
01:06:29:13		變成他出去以後
01:06:30:20		做了很好的策展人
01:06:32:19		也是大家都知道的
01:06:34:26		當然我們希望有很多男生進來
01:06:37:06		因為你知道
01:06:37:20		辦公室有男孩子的話
01:06:39:03		就有人扛東西女生都很漂亮
01:06:40:18		不是
01:06:41:22		女人會裝扮
01:06:42:24		如果辦公室沒有男生在裡面
01:06:44:29		女生就邋遢
01:06:46:09		所以我很喜歡看到女生
01:06:47:10		上班的時候就漂漂亮亮
01:06:48:27		打扮這樣
01:06:50:27		不過話說回來
01:06:51:25		我是覺得男孩子
01:06:52:26		因為畢竟在這個社會當中
01:06:55:04		父母還是不太能夠接受說
01:06:56:24		男人是在藝術基金會做事
01:06:59:23		好像這樣會替...
01:07:01:18		丟臉的感覺
01:07:02:20		到現在都這個年代還會有嗎
01:07:04:08		是的, 還是有這樣子
01:07:05:27		所以這就是我們為什麼做藝術
01:07:07:24		就是孤獨了十七年
01:07:10:08		連家長都這麼不能夠接受說
01:07:13:14		藝術是一種正統的行業
01:07:15:23		不是, 你知道
01:07:16:18		我這樣聽你聊天的時候
01:07:18:01		我這樣覺得啊
01:07:19:19		我覺得做女生在這個年代
01:07:22:05		突然變成是一件很爽的事情
01:07:24:17		就是這麼好的
01:07:26:08		這麼好的工作機會
01:07:28:27		這麼開心的工作機會
01:07:30:19		我能夠圍繞著
01:07:31:28		我喜歡的美的東西
01:07:34:06		我還有收入
01:07:35:14		然後每天能夠
01:07:37:00		很愉悅的浸淫在這些裡面
01:07:38:29		而男生不行
01:07:40:04		我突然覺得做男生有點辛苦
01:07:42:10		在這個年代
01:07:43:06		你看, 像我先生那個年代好了
01:07:45:18		他想要讀歷史
01:07:47:03		他都覺得說不行...
01:07:48:01		讀歷史好像很丟臉
01:07:49:24		所以這種概念
01:07:51:09		到現在的父母
01:07:52:21		還是有這種概念
01:07:53:26		所以當我們在做藝術推廣的時候
01:07:56:08		通常我們都是
01:07:58:08		瞄準比較年輕的族群
01:08:00:00		包括二十歲到四十歲
01:08:01:11		我覺得父母那種老舊的觀念
01:08:03:08		我們就很難去改變他們
01:08:05:09		所以我們只能夠
01:08:07:07		針對現在的年輕人
01:08:09:01		所以我覺得現在年輕人
01:08:10:02		包括我們基金會的工作成員
01:08:12:16		其實平均大概才三十歲左右
01:08:16:01		都很年輕...
01:08:17:11		所以我覺得說
01:08:18:23		未來女性真的是很重要
01:08:22:17		是
01:08:23:14		而且...
01:08:24:02		很優秀
01:08:25:00		我在看一個訪問
01:08:26:13		因為比方您提到您先生的部分
01:08:28:23		因為我看到那個訪問裡面說
01:08:30:07		你先生是一個工作狂
01:08:31:22		是
01:08:32:07		他在那個訪問裡面說
01:08:33:16		他只有睡覺的時候
01:08:35:02		是休息的時候
01:08:36:09		但他很感謝
01:08:37:23		是
01:08:38:10		有你在他的旁邊
01:08:39:18		因為你會帶他去看展覽
01:08:41:25		對, 這個是真的帶他好好坐下來吃一頓飯
01:08:44:29		帶他去旅行
01:08:46:05		我覺得其實你們...
01:08:47:09		我覺得富邦基金會
01:08:48:21		尤其是藝術基金會
01:08:49:22		能夠這樣持續的有這麼多
01:08:52:02		不管是你家族的支持也好
01:08:54:01		或者是富邦本身的支持也好
01:08:56:02		我覺得在你潛移默化的
01:08:58:11		教育你先生的過程當中
01:09:00:24		他應該也會知道說
01:09:01:25		其實對, 沒有錯
01:09:02:22		我們活著不只是為了
01:09:05:00		在一個數字上得到累積而已
01:09:07:19		生活的品質也是很重要的
01:09:09:19		所以我也覺得做一個人
01:09:10:25		富聞自豐富你
01:09:12:03		人生很豐富嘛
01:09:13:12		那我覺得
01:09:13:29		我有很多的嗜好, 習慣
01:09:16:16		比如說你的生活
01:09:18:15		因為我喜歡畫
01:09:19:10		我喜歡看畫
01:09:20:20		去蒐藏畫
01:09:21:24		我喜歡音樂
01:09:22:12		我去聽音樂
01:09:23:13		我喜歡運動
01:09:24:07		我就去看運動
01:09:25:12		那我們的一天二十四小時
01:09:27:00		你就很豐富啦對不對
01:09:28:17		所以其實先生如果跟著我的話
01:09:30:22		譬如說我們出去
01:09:32:21		他去出差
01:09:33:09		那我就跟著他
01:09:34:11		晚上我就可以安排
01:09:35:08		一些很有趣的事情
01:09:36:19		他就會覺得
01:09:37:13		出差不是只是在做生意
01:09:38:25		他也可以同時享受到
01:09:40:15		當地的人文藝術
01:09:42:07		所以you know
01:09:43:06		這就是一個好處
01:09:44:24		那我的小孩也是
01:09:45:19		從小跟著我
01:09:46:29		我就帶他們去博物館
01:09:48:05		去看美術館
01:09:49:01		他們一開始的時候
01:09:49:23		媽媽, 我不要去...
01:09:51:05		然後我就把他拉進去
01:09:52:10		那個博物館商店, 你知道
01:09:53:29		說進去挑
01:09:55:11		對, 禮品店
01:09:56:17		他們喜歡逛嘛, 對不對
01:09:57:21		我就跟我女兒說
01:09:58:24		進去選一個你喜歡的禮物
01:10:00:08		她就挑... 挑了好久
01:10:01:21		拿到一個
01:10:02:11		你知道禮品店通常都是
01:10:03:22		這個美術館裡面最棒的東西
01:10:05:15		對...
01:10:06:02		才會變禮品店
01:10:07:00		沒錯
01:10:07:09		所以她就拿了
01:10:08:00		這個禮品店的東西以後
01:10:09:13		我就說好
01:10:10:04		我們進去找真正的東西在哪裡
01:10:12:09		她就去配對
01:10:13:04		像尋寶一樣
01:10:13:27		對...
01:10:14:27		所以她後來... 你知道
01:10:16:27		我女兒今年二十幾歲
01:10:18:12		她們去哪裡都喜歡去美術館
01:10:20:02		而且都不需要我跟她們講
01:10:21:07		她們自己都去
01:10:22:11		包括我兒子也是一樣
01:10:23:23		所以這已經變成
01:10:24:24		他們生活的一部分了
01:10:26:07		你知道
01:10:26:22		所以其實對我而言
01:10:28:08		你說藝術基金會
01:10:29:17		其實它也只不過
01:10:30:18		是我生活的延伸而已
01:10:31:24		對
01:10:32:18		然後我自己又是一個
01:10:33:23		非常愛做事的人
01:10:34:20		我是一個...
01:10:35:11		You know
01:10:36:06		你也是工作狂
01:10:37:16		我不是狂
01:10:38:15		但是我覺得...
01:10:40:04		你喜歡那種活力的感覺
01:10:41:24		我覺得事情做要做得很久
01:10:43:18		而不是只是只有一次
01:10:45:08		因為我不喜歡做一件事情
01:10:46:17		只是一個活動
01:10:47:09		完了以後就沒有了
01:10:48:21		我覺得事情一定要有一個延續
01:10:51:01		它才會累積
01:10:52:04		才會最後有一個成效出來
01:10:55:02		這就是我的想法
01:10:56:05		所以我覺得藝術基金會
01:10:57:27		今年粉樂町第八年了
01:11:00:11		雖然第一年
01:11:01:03		我們是被邀請到香港去
