01:00:29:09	01:00:31:02	非常歡迎你
01:00:36:08	01:00:38:18	最最珍貴的禮物
01:00:41:07		二○一三年
01:00:42:06		第十二屆紐約亞洲電影節
01:00:45:06		將終身成就獎頒給蔡揚名導演
01:00:49:06	01:00:51:17	表彰他對電影的貢獻
01:01:02:13	01:01:05:05	六○年代進入電影圈
01:01:06:00		蔡揚名曾以陽明為藝名
01:01:08:21		擔任過兩百多部
01:01:10:01		台語電影的男主角
01:01:11:28		紅極一時
01:01:13:18	01:01:16:26	凡是有他主演的電影都賣座
01:01:17:28		演而優則導的蔡揚名
01:01:20:07		擔任過七十部電影, 電視劇的導演
01:01:23:28		他的作品涵蓋武俠, 功夫
01:01:27:14		黑社會, 偵探
01:01:29:20		文藝, 喜劇等各種類型
01:01:31:28	01:01:33:20	廣受歡迎
01:01:43:04		一九七九年
01:01:44:03		蔡揚名以「錯誤的第一步」
01:01:46:13		開啟台灣社會寫實電影的風潮
01:01:49:26		短短五年之間
01:01:51:21		以犯罪類型送審的電影
01:01:53:18	01:01:56:12	就有一百一十七部之多
01:01:59:05		女性復仇與誤入歧途的罪犯
01:02:02:01	01:02:04:19	成為電影熱門的主題
01:02:09:22		而蔡揚名導演
01:02:10:27	01:02:13:27	也被譽為台灣黑幫電影教父
01:02:37:08		今天「公視藝文大道」
01:02:38:08		要為大家訪問到的兩位
01:02:39:24		是台灣電影圈重量級的人物
01:02:43:27		他們的電影產量
01:02:45:13		都是以百數計的
01:02:47:09		就是都是幾百幾百這樣上去的
01:02:49:10		而且都是教父級的人物
01:02:50:28		一位是台灣黑幫電影教父
01:02:53:10		一位是台灣喜劇電影教父
01:02:55:19		我們歡迎蔡揚名導演
01:02:56:22		朱延平導演, 兩位好
01:02:58:03	01:02:59:09	是, 寶儀好
01:03:00:13		兩位教父要來
01:03:02:01		真的我心裡覺得超忐忑的
01:03:03:19		可是應該很多人不知道
01:03:05:13		為什麼你們兩位
01:03:06:16		會同時坐在這裡接受訪問
01:03:09:02		對, 其實你要介紹就是
01:03:11:02		有一位是教父
01:03:12:06		還有一位是教父的徒弟
