01:00:19:02	01:00:20:13	賣竹竿
01:00:21:29		竹竿
01:00:22:18		衛生紙...
01:00:24:11	01:00:26:09	高級的衛生紙
01:00:26:25		早期的台灣
01:00:27:16		攤販們常靠著沿街叫賣
01:00:29:25		來招攬生意
01:00:31:02		甚至能見到江湖術士雜耍賣藝
01:00:34:09		而近十年
01:00:35:02		電視購物成為新的shopping生態
01:00:37:20		不用出門
01:00:38:16	01:00:41:29	只要一通電話就能買東西囉
01:00:43:29		是的
01:00:44:20		在購物頻道中
01:00:45:25		我們常看到購物專家
01:00:47:14		把無奇不有的商品
01:00:49:05		說得天花亂墜
01:00:51:00		再配合眼見為憑的驚人實驗
01:00:53:13		來展現商品的神奇效果
01:00:55:24		讓觀眾忍不住
01:00:56:21		掏出大把的鈔票來搶購
01:00:59:18		台北的郭小姐
01:01:00:17		就是看了電視購物
01:01:02:03		一口氣買了十組洗衣粉
01:01:04:18		但奇怪的是
01:01:06:02		這些洗衣粉一買到手
01:01:08:00		竟然等同失效
01:01:10:00		完全展現不出神奇效果
01:01:13:04		既不能清理廚房水槽的髒汙
01:01:15:26		也無法清除馬桶的長年頑垢
01:01:18:17		這讓郭小姐氣得退貨外
01:01:20:26		也大罵商品的廣告影片造假
01:01:23:22	01:01:27:16	認為一切都是商人的詐騙手法
01:01:29:06		除此之外新聞還曾報導
01:01:31:13		有位購物台攝影師出面踢爆
01:01:33:29		購物台是用魚目混珠的方式
01:01:36:07		來引誘購買
01:01:37:28		像販售汽車鍍膜液
01:01:40:02		居然將奶茶充當骯髒的泥巴水
01:01:43:03		甚至用粉筆來假扮刮痕
01:01:45:25		浮誇廣告效果
01:01:48:00		Oh, 我的天啊
01:01:49:10		難道這些看似神奇的商品
01:01:51:20		其實都是普通貨色
01:01:53:23		全是靠高明的廣告手法
01:01:55:23	01:01:58:12	才能成功的催眠觀眾嗎
01:01:58:29		而面對這些似真似假的實驗
01:02:01:07		小兵與邵庭就要用科學的方法
01:02:04:05	01:02:07:13	一一來破解神奇商品的秘密囉
01:02:10:01		關於電視購物的流言
01:02:11:19		找我們兩個來破解就對了
01:02:13:14		因為小兵本人就是電視購物狂
01:02:17:26		沒有錯
01:02:18:25		我超愛看電視購物的
01:02:20:13		我告訴你
01:02:21:03		我家食衣住行育樂
01:02:23:12		很多東西都跟電視購物有關
01:02:25:09		你看看我身上
01:02:26:01		我的手錶
01:02:26:21		手錶是
01:02:27:12		還有... 還有呢
01:02:28:10		我的這個項鍊
01:02:29:12		我每天在用這個皮包還有
01:02:32:22		這個鼻頭粉刺面膜
01:02:34:27		你知道嗎
01:02:35:12		這個超好用的
01:02:36:14		他們在那邊現場示範
01:02:38:11		你知道這個就一拔起來的時候
01:02:40:29		每一個粉刺都這樣
01:02:42:18		立正站好, 隨風搖曳
01:02:45:04		過癮耶好... 你開心就好
01:02:47:09		我覺得
01:02:48:12		我們要先公正的瞭解一下
01:02:50:08		到底有沒有電視購物的秘辛才對
01:02:52:28		我覺得你講這話很有道理
01:02:54:08		是不是
01:02:55:07		是啦, 找到源頭
01:02:56:18		才能得知真相嘛
01:02:58:14		在小兵試用鼻膜的同時
