01:01:04:08	01:01:05:03	曉書
01:01:06:21	01:01:08:22	我在看書, 不要吵啦
01:01:11:03		開始錄影了
01:01:13:08	01:01:14:04	不好意思
01:01:15:07		觀眾朋友大家好, 我是曉書
01:01:18:23		嗨, 我是俊松
01:01:20:26	01:01:22:28	歡迎收看「聽聽看」
01:01:24:21		曉書, 你今天也太不敬業了吧
01:01:28:18		節目都開始錄影了
01:01:30:14		還在看小說
01:01:31:29		你不怕被製作人罵啊
01:01:34:23		拜託, 你看清楚點
01:01:37:01		我不是在看小說
01:01:39:05		我看的這本書
01:01:40:14		可是一位罹患重度自閉症的孩子
01:01:43:15	01:01:44:24	所寫的書喔
01:01:49:21	01:01:52:29	「我和地球人相處的日子」
01:01:56:24		你說這本書
01:01:58:03		是一位自閉症孩子所寫的
01:02:00:27		對啊, 很厲害吧
01:02:03:05		這位小作家的名字叫做游高晏
01:02:06:29		這是他十二歲時所寫的一本書
01:02:10:21		他除了重度自閉症外
01:02:13:04		還有嚴重的口語表達障礙
01:02:16:11		所以他只能靠著用鍵盤打字的方式
01:02:20:24		來和別人溝通
01:02:22:26		但即使有這麼多的障礙
01:02:25:26		他還是在文學的世界裡
01:02:28:01		找到自己的一片天
01:02:30:11		你如果不說
01:02:31:23		還真是看不出來
01:02:34:05		我剛剛稍微翻了一下書
01:02:36:09		裡面的文字跟內容
01:02:38:23		真的很難相信
01:02:40:24	01:02:43:04	這是出自這樣一個孩子之手
01:02:44:14		你想不想多認識一下
01:02:46:15	01:02:49:07	這位來自星星的小作家呢
01:02:50:20		當然想囉
01:02:52:22		好啊
01:02:53:14		現在就一起去拜訪這位小作家
01:02:56:29	01:02:57:24	請看
01:03:10:04		游高晏是個沒有口語的自閉症孩子
01:03:13:00		從小就不能用言語或是表情動作和人互動
01:03:16:18		曾經被誤以為是智能障礙
01:03:19:08		然而他用一根手指
01:03:20:26		敲打電腦鍵盤
01:03:22:09		卻能夠寫出優美動人
01:03:24:10		情感豐富的文章字句
01:03:26:14		感動了許多人
01:03:28:00		也讓人們有機會透過他的文字
01:03:30:26		認識了自閉症
01:03:32:05	01:03:34:18	以及自閉症孩子的內心世界
01:03:36:23		晏晏就說
01:03:37:27		那時的我沉浸在無言的痛楚中
01:03:42:14		像一隻用心靈吼叫抓撓的怪獸
01:03:47:15	01:03:48:13	無人能懂
01:03:49:18		其實以前我們感動到
01:03:51:13		只要他每一句話我們都記錄下來
01:03:53:15		我們就是惜字如金了
01:03:55:10		我第一次記得最感動的
01:03:58:06		第一次就是那個
01:04:00:05		那個什麼
01:04:01:00		「焦灼的長夜」那一篇
01:04:03:06	01:04:04:11	算是贖罪文
01:04:05:29		那是他小學四年級的暑假打的
01:04:08:26		因為他放假, 生活比較不規律
01:04:10:23		然後我就很受不了就會罵他
01:04:12:23		結果那一次可能他真的是覺得說
01:04:14:28		看到媽媽這麼焦慮
01:04:16:16		他就打了那篇
01:04:17:22		我就覺得很感動, 很激動
01:04:19:28		就是有那種人家講那個成語
01:04:22:00		叫泫然欲泣的感覺
01:04:24:00	01:04:25:21	對, 很想掉眼淚的感覺
01:04:28:28		生命何必作繭自縛
01:04:31:13		其實脆弱與堅強只在一念之間
01:04:34:29		亦是一瞬之間
01:04:36:28		一定要經歷風雨
01:04:38:13		才有最美的彩虹
01:04:40:25		這是高晏的文字
01:04:43:08		在他十二歲的時候所寫的文章
01:04:45:27		就充滿了成熟精練的文采
01:04:48:20		說實在的
01:04:49:21		要介紹這位天才型的小作家
01:04:52:17		我的壓力好大喔
01:04:54:22		我總擔心手語沒辦法
01:04:56:04		完整的表達出他的文字之美
01:04:58:11		不過沒有關係
01:05:00:02		因為他和生命奮鬥的故事
01:05:02:00	01:05:03:13	一樣很精采喔
01:05:05:28		游高晏出生在桃園
01:05:07:23		今年十四歲, 是個國中生
01:05:10:13		他的爸爸是在派到大陸工作時
01:05:12:24		認識了媽媽
01:05:13:29		家裡還有一個妹妹
01:05:15:21		兩歲的時候
01:05:16:22		高晏被醫院診斷為重度自閉症和智力障礙
01:05:21:02		爸媽對他採取永不放棄的心態
01:05:23:24		帶著他到大醫院接受早期療育
01:05:26:24		不過他進入小學時
01:05:28:25		仍然被分進了特教班就讀
01:05:32:03	01:05:33:19	一前
01:05:34:23		左
01:05:36:10		那右啦
01:05:37:14		左
01:05:39:01		其實他的故事, 他自己有寫
01:05:41:23		後來今年的文薈獎
01:05:43:04		他又寫了我的故事
01:05:45:09		我的故事主要就是跟生小孩有關
01:05:48:28		因為在他之前有一個哥哥
01:05:50:25		哥哥不小心走了
01:05:53:00		然後我又因為太悲傷
01:05:55:21		然後就是整個身體比較不好
01:05:58:15		又調了三年
01:06:00:04		所以覺得很不容易才有他
01:06:02:23		甚至他在寫那個故事的時候
01:06:05:02		他都感受得到我的情緒
01:06:07:05		因為我眼淚都快掉下來
01:06:09:18		他就突然回頭抓住我的手
