01:01:04:02	01:01:05:19	爆米花
01:01:08:29	01:01:11:10	洋芋片
01:01:12:02	01:01:12:28	還有
01:01:13:11	01:01:14:26	可樂
01:01:15:24		俊松, 你這是要開同樂會嗎
01:01:20:06		不然你買這麼多零食, 飲料
01:01:23:13	01:01:25:14	來攝影棚做什麼呢
01:01:27:10		你忘了
01:01:28:16	01:01:31:21	今天是什麼重要的日子了嗎
01:01:32:25	01:01:34:27	重要的日子
01:01:35:17		清明節
01:01:37:24	01:01:39:10	不是啊
01:01:40:10	01:01:41:17	兒童節
01:01:42:00	01:01:42:26	不是
01:01:43:10	01:01:45:02	那你跟我說嘛
01:01:45:24		拜託
01:01:47:08		你都想到哪裡去了
01:01:49:18		你忘了
01:01:50:10		今天是我們「聽聽看」
01:01:53:08		八百集特別節目
01:01:55:27	01:01:59:17	「寶島好手」總決賽的日子嗎
01:02:01:12		這麼重要的日子
01:02:02:18		我怎麼會忘了呢
01:02:04:16		待會兒我就要準備舒舒服服的
01:02:07:28		來欣賞這場
01:02:08:24		精采又刺激的總決賽
01:02:12:18		那我們還等什麼
01:02:14:17		趕快來看看這場
01:02:16:02	01:02:19:09	高手間的龍爭虎鬥吧
01:02:19:25	01:02:21:04	請看...
01:02:24:11		這群來自於
01:02:25:07		建中手語社的大男孩
01:02:27:03		在複賽時
01:02:28:02		因為手語問題被淘汰
01:02:29:27		不過他們充滿活力的表演
01:02:31:24		也呈現出另類的手語歌魅力
01:02:34:05		因此我們特地派出了曉書老師
01:02:36:21		希望透過她的改造
01:02:38:04		讓大家能夠再次看到
01:02:39:16	01:02:41:24	這群大男孩的熱血表演
01:02:42:12		嗨...
01:02:43:20		練習的情形怎麼樣呢
01:02:45:06		手語不太順
01:02:47:08		手語不太順喔
01:02:49:01		沒關係
01:02:50:01		讓曉書老師我來教你們手語
01:02:53:02		好不好
01:02:53:24		好...
01:02:55:06	01:02:56:17	要有力量
01:02:59:22		你看這一句
01:03:01:02		天生毛毛又躁躁
01:03:05:29		毛毛又躁躁
01:03:08:16		然後亂沒大腦
01:03:11:20	01:03:13:11	亂沒大腦
01:03:15:16		手轉兩圈, 亂沒大腦
01:03:19:01		亂沒大腦
01:03:20:04		對
01:03:21:00		無論
01:03:22:09		無論
01:03:23:09	01:03:24:07	無論
01:03:24:21		亂糟糟
01:03:26:08		不計較
01:03:27:01		不計較
01:03:28:08		不計較
01:03:28:29		預備, 來
01:03:30:08		天生毛毛又躁躁
01:03:34:02		冒冒失失亂糟糟
01:03:37:27		果然是曉書一出手
01:03:39:14		便知有沒有
01:03:40:21		看看這群熱血的同學們
01:03:42:18		不但書讀得好
01:03:43:26		學起手語來也是舉一反三
01:03:46:09	01:03:48:11	讓曉書驚喜連連
01:03:52:12		他們真聰明
01:03:53:16		反應又快
01:03:55:00		我調整之後
01:03:56:03		不但馬上學會
01:03:57:11		而且很快的
01:03:58:01		把手語和舞蹈融合在一起
01:04:00:11		然後一邊跳舞
01:04:02:11		一邊比手語
01:04:03:29		非常的好看
01:04:05:28		果然曉書大師的徒弟
01:04:08:18	01:04:11:02	也是不同凡響的
01:04:11:26	01:04:14:12	各位拭目以待囉
01:04:16:00		建中手語
01:04:18:05		威霸全球
01:04:20:10	01:04:22:00	棒
01:08:06:09		建中手語社精采的演出
01:08:09:02		謝謝
01:08:09:12		謝謝我們幾位建中的帥哥
01:08:10:26		謝謝建中手語社
01:08:12:17		你看, 這不得了
01:08:13:27		這將來都是我們國家的棟樑
01:08:16:01		不是耶
01:08:16:23		看到他們就討厭, 你知道嗎
01:08:17:29		對啊, 怎麼那麼厲害啊
01:08:18:21		你看, 又會讀書
01:08:20:13		又會唱歌
01:08:21:16		又會跳舞
01:08:22:13		人又長得帥
01:08:23:14		你嫉妒
01:08:24:13		而且你看
01:08:25:00	01:08:27:07	裡面最矮的都還比我高
01:08:27:19		這個已經跟以前
01:08:28:20		「五燈獎」時代
01:08:29:21		那個是柔柔的那種手語歌
01:08:32:17		不一樣了
01:08:33:21		還有人這樣
01:08:34:25		從這個人後面這樣
01:08:35:26		像Breaking這樣就跳過去了
01:08:38:03		像特技一樣
01:08:39:07		再次給我們建中的同學
01:08:40:19	01:08:42:05	掌聲鼓勵
01:08:43:24		這是一個全新的節目
01:08:45:10		為什麼呢
01:08:45:28		因為我們公共電視製作的節目
01:08:48:27		是非常難得
01:08:49:24		因為我們已經創下了
01:08:50:27		八百集的記錄了
01:08:53:08		我們「聽聽看」這個節目
01:08:54:17		因為一個節目能夠說
01:08:56:01		要破一百集已經不容易
01:08:57:14		更何況我們已經破八百集了
01:08:59:24		現場朋友給自己掌聲鼓勵一下
01:09:01:20	01:09:03:06	好不好
01:09:04:16		不容易
01:09:05:05		這個「寶島好手」的比賽當中
01:09:07:17		是
01:09:08:15		八十個隊伍
01:09:09:28		比到最後
01:09:10:25		我們進到複賽只有二十個團隊
01:09:13:14		然後到今天我們進入決賽
01:09:15:08		只有八強
01:09:17:04		今天是八強競爭啊
01:09:19:00		是的
01:09:19:19		所以非常的不容易了
01:09:21:03		那麼在這個比賽當中
01:09:22:27		既然是比賽
01:09:24:00		就一定得分出個高下
01:09:25:24		那今天這樣子
01:09:26:27		也算是菁英中的菁英了啦
01:09:28:21		菁英中的菁英, 好不好
01:09:30:06		不管有沒有得到好的名次
01:09:32:01		其實大家都已經很強了
01:09:33:20		是
01:09:34:05		那名次誰決定呢
01:09:35:27		要由我們專業的評審
01:09:37:05		評審老師
01:09:38:02		我不懂手語
01:09:38:27		但是我相信
01:09:39:15		手語跟一般的語言是一樣的
01:09:42:01		它能夠達到溝通的目的
01:09:43:17		但是我希望跟我們的語言一樣
01:09:46:17		有一點點的美感
01:09:48:14		一點點的熱情
01:09:50:03	01:09:52:09	一點點的韻味
01:10:02:03		這次全國手語歌比賽
01:10:04:22		我希望參賽者
01:10:06:14		都可以抱持著平常心
01:10:08:16		無論勝敗
01:10:10:18		只要你已經盡全力
01:10:12:27		把手語歌的魅力展現
01:10:15:20		引人入勝
01:10:17:11		那就夠了
01:10:18:19	01:10:20:06	加油喔
01:10:29:00		台灣手語真的很美
01:10:31:26		藉由這次
01:10:32:21		手語歌比賽的機會推廣
01:10:36:01		讓全世界都能看到
01:10:37:23		台灣手語的美
01:10:39:13	01:10:41:09	那就太好了
01:10:51:17		一般我們看到的手語歌
01:10:53:03		都是靜態的
01:10:54:09		所以我很希望這次的手語歌
01:10:56:03		可以展現舞蹈, 活潑
01:10:57:27		豐富一點
01:10:59:00		所以我很期待你們的表演
01:11:01:00	01:11:02:14	加油
01:11:25:06		歡迎這一群來自菇盟的女人們
01:11:28:29		帶來精采的演出
01:11:30:08	01:11:31:09	掌聲
01:11:32:09		菇盟
01:11:33:06	01:11:34:21	Good job
01:11:38:05		哈囉, 大家好
01:11:39:03		我是菇盟的菇菇雞
01:11:40:22		我現在在的位置是
01:11:41:28		屏東的潮州火車站
01:11:44:11		我準備要到新竹的菇盟大本營
01:11:46:22		和菇菇寶貝們會合囉
01:11:48:15	01:11:50:24	現在跟著我一起出發吧
01:11:52:11		由六個熱愛手語的活潑姑娘
01:11:54:14		組成的菇盟
01:11:55:23		念大學時就開始學手語
01:11:57:25		畢業後
01:11:58:17		大家因為工作分散到不同城市
01:12:00:28		但只要有空
01:12:01:28		就會聚在一起
01:12:02:23		練習最愛的手語歌
01:12:04:14	01:12:06:27	菇娘, 開門...
01:12:07:17		哈囉
01:12:09:04		為了總決賽
01:12:10:09		菇盟這次可是卯足了全勁
01:12:12:14		拼命練習
01:12:13:18		因此我們當然也要派出
01:12:15:03		手語實力最堅強的濂僑老師
01:12:17:19		一路坐著小火車
01:12:19:03		前來新竹幫忙她們
01:12:20:26		究竟濂僑會如何改造
01:12:22:21	01:12:24:11	菇盟的手語歌呢
01:12:28:18		女強人是假的
01:12:32:16		然後工作很認真
01:12:35:00		然後天塌下來
01:12:36:26	01:12:37:24	再一次
01:12:39:00		假的啊
01:12:39:29		會讓人看了以為我們整天玩樂
01:12:42:09	01:12:43:22	無所事事
01:12:44:14		看似扛了責任
01:12:46:11		其實所謂的責任都是假的
01:12:49:08		只是外人看不出來罷了
01:12:52:00		落在我們肩膀要努力扛
01:12:55:04		原本應該是肩並肩
01:12:57:17		你比的是面對面
01:12:59:15	01:13:00:29	這樣就對了
01:13:02:13		人生是人生了小孩
01:13:06:15		應該是人的一生
01:13:08:25		改...
01:13:10:06		人的一生比較好
01:13:11:23		動作也大
01:13:12:27	01:13:14:02	人生
01:13:14:19		再一次, 來
01:13:15:16		一起來, 來
01:13:17:04		乾杯
01:13:19:07		有了濂僑老師的幫助之後
01:13:21:05		我們把很多手語
01:13:22:11		都又更貼近真正的劇情去呈現
01:13:26:07		然後還有這個表情的部分
01:13:28:04	01:13:29:21	也都更生動
01:13:30:24		菇盟
01:13:31:26		決戰寶島...
01:13:33:20	01:13:35:10	Good job...
01:16:41:00		真的好好看喔
01:16:42:09		不得了...
01:16:43:11		菇盟...
01:16:44:03		為什麼我們叫菇盟呢
01:16:45:15		是
01:16:46:08		因為...
01:16:47:19	01:16:48:22	Good friend
01:16:49:16		Good job
01:16:50:29		Good idea
01:16:52:11		Good luck
01:16:53:21		Good time
01:16:54:22		Good morning
01:16:57:05		她連介紹都要這樣子
01:16:59:07		我跟你講
01:17:00:03		你們平常講話有這麼開心嗎
01:17:01:28		一定要這個樣子
01:17:03:11		一定要這個樣子
01:17:05:06		菇, 香菇有很多種品種
01:17:06:24		所以其實我們每個人
01:17:08:00		都有一個自己的香菇的名字
01:17:10:05		對啊
01:17:10:26		跟大家介紹一下
01:17:11:23	01:17:13:25	香菇的名字又來了
01:17:14:08		我是巴西蘑菇菇雞
01:17:16:14		菇雞
01:17:17:00		好, 來
01:17:18:11	01:17:20:17	我是秀珍菇奶奶
01:17:22:10		我是靈芝菇娘
01:17:24:15		那你是...
01:17:27:09		我是珊瑚菇菇寶貝
01:17:29:13		是
01:17:30:03		我是金針菇寶貝
01:17:31:28		那您是...
01:17:32:22		我是精靈菇媽媽
01:17:35:01		菇媽媽
01:17:36:03		她們在我們複賽的時候
01:17:38:08	01:17:41:22	表現讓全場二十個團隊嚇到
01:17:42:14		最具冠軍相的就她們
01:17:43:22		因為她們這個打扮, 什麼道具
01:17:45:26		跟那什麼戲劇結合
01:17:47:11		感覺很完整
01:17:48:21		有戲, 有舞, 有歌
01:17:50:28		還有手語
01:17:51:25		對
01:17:52:08		對, 人又長得漂...
01:17:54:04		漂亮
01:17:54:25		漂亮
01:17:55:09		漂亮
01:17:56:25		你看
01:17:57:14		乾杯...
01:17:58:12		這樣, 你看
01:17:59:01		所以這個是非常強勁的對手
01:18:00:23		我們先聽聽看我們...
01:18:02:14		評審老師怎麼說
01:18:03:27		好不好, 來
01:18:04:28		曉書老師好了
01:18:06:06		今天則改為黑色
01:18:08:29		很能展現女人的嫵媚和自信
01:18:12:15		也讓手語襯托得更清楚了
01:18:15:18		還有, 道具也比之前更豐富
01:18:19:03		融入了戲劇表演
01:18:21:04		很有視覺效果
01:18:23:01	01:18:24:27	非常吸引人
01:18:25:22		欠缺的部分是
01:18:27:17		你們的隊形太分散
01:18:29:22		左右兩邊同時比手語
01:18:32:05		我們眼睛一下看左, 一下看右
01:18:34:23		沒有辦法聚焦
01:18:36:20		這個比較可惜
01:18:38:12		或者可以嘗試
01:18:40:02		在某一邊表演手語歌的時候
01:18:43:19		另外一邊停下動作靜止
01:18:46:23		兩邊輪流
01:18:48:00		會比較順暢
01:18:49:28		因為我不會手語
01:18:51:10		所以我沒有去看手語的部分
01:18:53:28		我是看她們表情, 服裝
01:18:56:11		她們的創意
01:18:57:15		我覺得非常的好
01:18:58:22		就是她們每一個人
01:19:00:02		都有自己的個性
01:19:01:04		這個是我比較喜歡的
01:19:02:16		你知道, 舞台就是角色嘛
01:19:04:01		對...
01:19:04:17		角色非常的清楚
01:19:05:20		我就看到
01:19:06:19		有人在安慰
01:19:07:13		有人在生氣
01:19:08:14		有人在悲傷
01:19:09:09		有人在哭泣
01:19:10:15		然後最後有一個團圓這樣
01:19:12:12		我覺得它整個結構上面
01:19:14:17	01:19:16:21	是有在花腦筋的
01:19:18:04	01:19:20:17	超興奮的, 開心
01:19:22:16		這就是心情啊
01:19:23:09		其實我們這個表演
01:19:24:12		就是在講不同職業的女人
01:19:26:26		然後其實每個人都是主角
01:19:28:22		然後我們很高興
01:19:29:18		剛剛羅老師有看到這一點
01:19:32:07		然後曉書老師也有看到這一點
01:19:34:13		然後我們覺得
01:19:35:00		我們同時滿足了
01:19:35:22		聾人跟聽人的需求
01:19:37:09		其實身為一個專業的表演者
01:19:39:16		有人欣賞
01:19:40:05		一定會有人覺得不好
01:19:41:13		所以我們還是覺得很開心
01:19:43:03		因為其實表演最主要就是
01:19:44:26		讓大家看到不同的面向
01:19:46:24		那我們今天以不同的角色
01:19:48:20		然後來呈現出手語不同的層面
01:19:51:12		我們確實在表演之前就知道
01:19:53:23	01:19:55:15	我們的焦點太多
01:19:56:05		但是三分鐘真的太短了
01:19:58:09		我們想呈現的東西又這麼滿
01:20:00:17		所以就接受菇盟滿滿的愛吧
01:20:03:27		Love
01:20:04:18		對
01:20:05:12	01:20:06:16	Love
01:20:30:11		我們經過複賽的洗禮之後
01:20:32:10	01:20:35:05	我們後面七個團隊也不見得弱
01:20:35:24		大家都是有備而來的
01:20:37:04		而且這是最後的一搏了
01:20:39:01		大家一定是要破釜沉舟的決心
01:20:41:12		是, 但你剛剛看到
01:20:42:10		我們這女人國有沒有
01:20:44:06		女人幫厲害了吧幹什麼...
01:20:46:16		三姑六婆聯盟又怎麼樣
01:20:48:05		什麼...
01:20:48:29		怎麼這樣說我告訴你
01:20:49:29		你要請六個女人
01:20:51:22		我接下來這個團隊
01:20:52:26		一個男人就搞定了
01:20:54:04		怎麼可能
01:20:55:19		哪來的
01:20:56:15		朝陽科技大學一個男同學
01:20:58:24		好不好
01:20:59:06		自己一個人來
01:21:00:01	01:21:02:03	我們單槍匹馬就好了
01:21:02:21		而且這個就一個男生
01:21:04:19		為什麼他一個男生呢
01:21:06:14		很簡單
01:21:07:08		是
01:21:07:24		找不到伴
01:21:09:06		沒朋友
01:21:09:25		不是啦...
01:21:10:28		人家一個人
01:21:11:26		就可以詮釋很多角色了
01:21:13:20		對, 他必須靠一個人
01:21:14:24		來表演很多的內容
01:21:16:22		對吧
01:21:17:10		亂說
01:21:18:17		而且他比賽的歌曲也滿特別的
01:21:20:19		很特別的喔
01:21:21:08		就是「Get Out」
01:21:23:03		吳克群的歌曲
01:21:24:17	01:21:27:25	歡迎朝陽科技大學的侯建揮
01:21:30:13	01:21:34:06	我是「默手成瑰」侯建揮
01:21:34:25		在朝陽科技大學
01:21:35:25		讀研究所的侯建揮
01:21:37:12		從大學就加入了手語社學手語
01:21:39:27		即使研究所的課業繁重
01:21:41:23		依然無法忘情於
01:21:42:22		手語的學習和表演
01:21:44:18		對建揮在複賽時的
01:21:45:28		默劇式手語歌
01:21:47:01		留下深刻印象的濂僑老師
01:21:49:04		本身對默劇同樣情有獨鍾
01:21:51:12		所以在總決賽前
01:21:52:24		特地來到建揮的學校
01:21:54:11	01:21:56:18	希望能夠助他一臂之力
01:21:57:17		厲害
01:21:58:16		你竟然可以進入總決賽的八強
01:22:00:27		你的手語雖然不錯
01:22:02:02		但還是有點缺點
01:22:03:16		讓我來為你加強
01:22:04:26		幫你調一調, 喬一喬
01:22:06:29		謝謝濂僑老師
01:22:08:26		下雨天還來教我手語
01:22:12:04	01:22:13:13	謝謝
01:22:14:10		OK啦...
01:22:15:21		謝謝
01:22:16:12	01:22:17:06	走吧
01:22:18:17		在本大師的火眼金睛下
01:22:20:16		第一眼就看出
01:22:21:08		建揮在歌詞的手語打法上
01:22:23:13		出現了嚴重的致命傷
01:22:25:08		因此本人馬上發揮手語專業
01:22:28:01	01:22:30:16	開始一一調整建揮的手語
01:22:33:28	01:22:35:04	如果
01:22:35:24		手抬起來一點
01:22:37:03		如果
01:22:38:28		Get out
01:22:40:04		我
01:22:41:09		我的愛情
01:22:42:27	01:22:44:29	非誠勿擾
01:22:46:00	01:22:47:18	愛我
01:22:48:07	01:22:49:12	沒有
01:22:50:04		你...
01:22:51:06		就是今天跟濂僑老師學完之後
01:22:53:10		然後發現
01:22:54:11		我還是有很多不會的單字
01:22:56:05		還有一些字的比法
01:22:58:17		我本來是比錯了
01:23:00:00		然後濂僑老師幫我糾正過來
01:23:01:20		像是如果
01:23:02:14		我以前都是這樣比
01:23:03:16		如果
01:23:04:17		今天他就教我這樣
01:23:06:09		右手肘要提上來
01:23:07:22	01:23:09:26	都是讓我受益良多的地方
01:23:11:20		果然在本人細心指導下
01:23:13:24		建揮的手語也出現大逆轉
01:23:16:03		究竟他在總決賽
01:23:17:18	01:23:20:02	會有什麼出人意料的表現呢
01:23:21:18		「默手成瑰」
01:23:22:19	01:23:24:15	波悠, 加油...
01:26:25:05		侯建揮
01:26:27:04		厲害...
01:26:28:06		好強喔
01:26:29:03		太精采...
01:26:30:01		看到沒有
01:26:30:21		我沒有誇張吧
01:26:32:01		一個男人
01:26:32:23		是不是可以搞定六個女人
01:26:34:27		我們沒有輸喔
01:26:36:01		現在這個氣勢真的很厲害
01:26:37:06		而且剛剛還下去
01:26:38:02		跟我們的評審互動
01:26:40:14		有沒有
01:26:40:26		感覺就是演唱會的感覺
01:26:42:14		對耶
01:26:43:20		我剛剛看到你的整個的身體
01:26:45:20		肢體動作的協調度非常好
01:26:47:26		很流暢耶
01:26:48:29		你是哪裡練的默劇
01:26:50:16		默劇就自己看影片學的
01:26:52:23		無師自通
01:26:54:18		太強
01:26:55:22		那你也有點街舞的底子對不對
01:26:58:00		都是手語比一比就會自己動了
01:27:00:03		怎麼可能
01:27:01:12		你剛剛整個人Get out這樣耶
01:27:03:23		你知道嗎
01:27:04:14		有時候過度的謙虛算是驕傲喔
01:27:06:20		沒有, 真的
01:27:07:12		你不要再謙虛
01:27:08:00		我警告你喔
01:27:08:13		沒有, 我真的沒有學
01:27:09:17		好不好, 你這太驕傲了
01:27:10:25		沒有...
01:27:11:15		這同學很可愛
01:27:12:16		真的
01:27:13:03		在複賽的時候
01:27:14:12		他的表演
01:27:15:06		讓現場的觀眾
01:27:16:04		覺得很驚豔在哪兒, 你知道
01:27:17:25		就是說怎麼有一個大學的同學
01:27:19:18		因為他是在大學的手語社的
01:27:23:06		同學界是相當有名
01:27:25:04		因為經常一個人單槍匹馬
01:27:27:03		因為他比的手語
01:27:28:07		大家覺得有時候有的大學生
01:27:29:29		因為都不是專業的
01:27:31:03		對
01:27:31:16		但是大家比手語
01:27:32:09		有時候就會卡卡的
01:27:33:25		就是這一句那個逗點
01:27:35:05		怎麼還沒逗完又下一句這樣
01:27:37:17		但是他就很順
01:27:39:15		行雲流水
01:27:40:27		那一個大學生
01:27:42:12		怎麼可以這樣呢
01:27:43:24		對
01:27:44:10		如果歌曲有三個字
01:27:45:09		就要在三個節拍裡面把它比完
01:27:46:24		要剛剛好
01:27:47:15		不能...
01:27:48:20		不能等
01:27:49:13		不能等
01:27:49:26		對, 不能等
01:27:50:13		一等然後就卡住了
01:27:52:05		他除了做手語的表演之外
01:27:56:08		為了要研習這個手語
01:27:58:21		還真的去
01:27:59:25		台中的什麼專業單位去
01:28:02:05		去跟他們聾人...
01:28:03:19		對啊, 去聾人協會
01:28:04:13		然後跟聾人互動這樣
01:28:05:29		互動
01:28:06:21		等於是從真正的專業人士上
01:28:09:01		去學他們的功夫
01:28:10:09		對啊...
01:28:10:27		你自己啊
01:28:11:23		我跟我社團的同學
01:28:14:01		難怪他的手語
01:28:15:06		比得是特別流暢的
01:28:16:27		特別流暢
01:28:18:01		相當的不容易
01:28:18:23		我覺得非常有心的一位年輕人
01:28:20:16		好不好
01:28:21:03		看完他的表演之後
01:28:22:14		是
01:28:22:28		我們聽聽看評委老師們
01:28:24:13		怎麼說呢
01:28:25:04		有什麼想法, 來
01:28:26:13		我們請林靖嵐老師
01:28:28:21		我覺得
01:28:29:11		就是因為是一個人的表演嘛
01:28:31:24		所以我希望那個服裝
01:28:33:09		就是可以再亮一點
01:28:34:25		然後就是更創新
01:28:36:26		就是不要穿一般的衣服
01:28:38:22		如果可以穿創新的衣服會更好
01:28:41:08		然後就是動作
01:28:43:13		你是有學跳舞嗎
01:28:46:12		沒有
01:28:46:26		沒有, 難怪
01:28:48:03		如果那個動作能夠可以再流暢
01:28:50:22		然後搭配手語
01:28:52:09		我覺得會更好
01:28:53:21		然後還有一個
01:28:54:23		你跟我們評審就是有點互動
01:28:56:25		我覺得很棒
01:28:58:04		表演很棒, 謝謝
01:29:00:02		好, 來
01:29:00:15		我們請王曉書老師
01:29:01:24		手語是視覺的
01:29:04:01		必須表現藝術的美
01:29:06:16		結合舞蹈, 戲劇
01:29:08:15		運用肢體來吸引目光
01:29:10:28		再加上舞台那麼大
01:29:13:22		只有你一個人站在舞台上
01:29:16:14		想吸引觀眾目光
01:29:17:24		實在是不容易
01:29:19:19		難得你想得出
01:29:21:04		一出場就忽然把黑色牌子
01:29:23:27	01:29:25:27	一個一個的踢倒
01:29:26:13		很成功的
01:29:27:06		把我們帶進你的默劇裡
01:29:29:19		對你的表演產生了好奇心
01:29:32:26		原來你是運用默劇
01:29:34:18		作為表演的開端
01:29:36:20	01:29:40:05	吸引我們進入你的手語歌
01:29:42:19		可惜的是
01:29:43:28		道具上這些字
01:29:45:11		都是關於談戀愛的期待
01:29:48:23		如果可以加上女生和你對戲
01:29:54:25		或者是你可以和旁邊, 有沒有
01:29:58:10		那些人形立牌
01:30:00:27		和人形立牌演戲
01:30:02:17		有一些互動
01:30:03:23		那就更好
01:30:05:00	01:30:06:19	曉文老師...
01:30:07:03		剛才有評審說
01:30:08:16		你的衣服顏色偏暗
01:30:10:27		我反而覺得還好
01:30:12:20		不會不好
01:30:13:21		因為比手語
01:30:14:16		本來就是適合穿素色的上衣
01:30:17:15		手語才看得清楚
01:30:19:11		和跳舞不一樣
01:30:20:22		所以我覺得服裝還好
01:30:22:29		本來就是為了
01:30:23:28		讓手語看得更清楚
01:30:26:12		不會不好
01:30:27:06	01:30:29:10	我覺得衣服是OK的
01:30:30:19		就是在比賽前
01:30:31:24		我是非常緊張的
01:30:33:09		緊張到連飯都吃不下
01:30:35:14		然後一上台的時候就是感覺到
01:30:37:25		反正這舞台是我的嘛
01:30:38:28		我就要hold住全場
01:30:40:11		讓大家能夠專注在我身上
01:30:42:03		就要把他們抓住
01:30:42:25		然後得不得名不重要
01:30:44:10		就要讓大家喜歡我的表演
01:30:45:14		這樣就好了
01:30:46:17		那個老師說過我要穿閃亮衣服
01:30:48:18		我覺得比手語的話
01:30:49:21		因為手語翻譯有一個規則
01:30:51:16		是要穿深色的衣服嘛
01:30:53:02		所以我就覺得
01:30:53:16		應該還是要深色衣服好啦
01:30:55:00		亮亮的話
01:30:55:13		就是要出去那種外面表演
01:30:56:24		再穿會比較好
01:30:58:07		然後還有一個是要跟道具互動
01:30:59:26		對, 我忘記了
01:31:03:01		對
01:31:03:12		這是比較失敗的一個小地方
01:31:05:09		其實其他都還不錯
01:31:06:24		我本來很有信心的
01:31:07:21		可是看到大家道具都那麼猛
01:31:09:18		就突然沒有什麼信心
01:31:10:19	01:31:12:10	大家喜歡我的表演就好了
01:31:14:01		接下來要進入到
01:31:14:27		今天的下一個團隊了
01:31:16:27		來自我們的古都府城
01:31:19:07		也是小吃美食之都
01:31:21:16		這是我們一群無聲天使
01:31:23:10		要把手語歌傳遍到
01:31:25:08		每一個聽障朋友的心房裡頭
01:31:27:15		所以他們的選歌也很有技巧耶
01:31:29:08		對啊
01:31:29:25	01:31:33:15	這首歌就是「讓愛飛翔」
01:31:35:03	01:31:39:11	總決賽, 我們來了...
01:31:40:18		出生在聽障家庭的蔡姈燕
01:31:42:18		從小就對手語有特殊的情感
01:31:45:00		因為想用手語歌
01:31:46:04		來傳遞聾人文化
01:31:47:17		便號召教會的弟兄姊妹
01:31:49:07	01:31:51:10	成立無聲天使
01:31:51:25		我從小就是生長在...
01:31:53:22		那個就是長大的
01:31:55:07		所以媽媽的語言就是我的母語
01:31:58:15		我就是慢慢慢慢的
01:32:00:00		然後就是...
01:32:01:16	01:32:03:08	就自然, 對
01:32:04:24		面對自我要求相當高的
01:32:06:09		無聲天使
01:32:07:12		我們特別派出
01:32:08:08		對表演以挑剔出名的湘湘老師
01:32:11:03		沒想到當老師一看到
01:32:12:15		無聲天使的彩排
01:32:14:03	01:32:17:05	就立刻嚴厲的指出嚴重的問題
01:32:21:03		選這首歌到底想要講什麼
01:32:23:06		對我來講
01:32:23:22		我看是混亂的
01:32:25:09		就每一件事情
01:32:26:04		都在裡面當主角的時候
01:32:27:26		那我們就會搞不清楚
01:32:29:04		到底我們現在這個時候
01:32:31:13		同時發生三件事情
01:32:32:22		在場上的時候
01:32:33:22	01:32:35:06	我們要看什麼
01:32:36:03		那時候會覺得有點沮喪
01:32:38:10	01:32:42:00	因為好像我們的東西都很不OK
01:32:42:24		可是後來我覺得有一個點
01:32:45:00		讓我有一點提醒
01:32:46:04		就是聽障人士
01:32:47:28		他們真的是聽不見的
01:32:49:13		所以他們要用看
01:32:51:01		我們就需要去簡化我們的東西
01:32:53:28		老師今天來
01:32:54:14		就讓我們好像有一個定心丸
01:32:56:01		原來可以這樣子改變
01:32:57:15		原來一直想要改變的
01:32:59:07		那一種跑位等等
01:33:00:27	01:33:02:17	好像又更明確
01:33:03:05		雖然湘湘老師的嚴厲
01:33:04:14		打擊了團員們的信心
01:33:06:06		但也激起了他們的求勝決心
01:33:08:12	01:33:11:07	究竟他們將如何脫胎換骨呢
01:33:13:01		無聲天使
01:33:16:05		「讓愛飛翔」
01:33:19:28		加油...
01:33:22:05	01:33:34:00	各樣恩典齊全
01:33:39:26		小姐
01:33:40:19		小姐, 你的錢包
01:33:41:16	01:33:41:26	小姐
01:36:37:05		無聲天使
01:36:38:27		請問...
01:36:39:18		因為剛剛我們看VCR
01:36:40:25		您是因為媽媽本身是聽障
01:36:44:22		媽媽今天有來嗎
01:36:45:29		媽媽...
01:36:47:24		媽媽在那邊哈囉, 媽媽
01:36:49:29		我們教會是在台南哪裡
01:36:51:22		台南安平
01:36:53:03		安平
01:36:53:18		台南聖教會
01:36:54:20		我剛剛看那個教會很大
01:36:56:07		是
01:36:56:23		幾百人的加油團
01:36:58:02		他們加油團
01:36:58:27		是我們這裡面最大的
01:37:00:16		媽媽還站在中間這樣
01:37:02:07		是喔
01:37:02:23		我看到媽媽很開心
01:37:05:02		是
01:37:05:17		那我們這首歌「讓愛飛翔」
01:37:07:09	01:37:09:13	也算是教會歌曲嗎
01:37:09:17		是, 也是一個基督教的
01:37:11:17		一個傳播的公司
01:37:14:24		但我感覺就是
01:37:15:29		充滿了正能量的歌曲
01:37:17:06		是, 就分享愛
01:37:18:27		很好
01:37:19:18	01:37:21:28	那我想這次非常的不容易
01:37:22:27		平常就是有用這樣子的一個
01:37:24:22		在生活上因為這樣的關係
01:37:27:14		來跟教會所有的弟兄姊妹們
01:37:31:02		還有進入到啟聰學校
01:37:33:05		也特別去服事那邊的孩子
01:37:35:15		因為他們需要
01:37:36:15		對
01:37:37:00		是, 然後也跟教會的弟兄姊妹
01:37:39:08		一起來做練習
01:37:40:10		變成是有...
01:37:41:00		我們說教會現在有大概多少人
01:37:42:26		會這樣子的一個手語表演
01:37:45:23		千人
01:37:47:04		我們...
01:37:47:19		我們教會有近千人
01:37:48:16		因為我們去年有一個
01:37:49:21		千人手語的一個活動慶典
