01:01:03:09	01:01:05:07	大家好, 我是曉書
01:01:05:22		大家好, 我是濂僑
01:01:08:06		歡迎收看「聽聽看」
01:01:11:24		濂僑, 爸爸節快到了
01:01:14:29		你有想好
01:01:15:19	01:01:18:20	要怎麼幫你爸爸一起慶祝了嗎
01:01:19:07		我打算爸爸節這天親自下廚
01:01:25:09		煮一桌豐盛的菜餚
01:01:27:16	01:01:29:23	請老爸享用
01:01:33:23		看你的眼神
01:01:35:19		好像不太相信的樣子
01:01:37:15		告訴你
01:01:38:09		當年要不是我爸爸阻止我
01:01:40:22		說當廚師太辛苦了
01:01:42:28	01:01:46:02	搞不好我已經是五星級大廚了
01:01:46:21	01:01:49:06	好啦... 言歸正傳
01:01:49:26		我前幾天在網路上看到一篇
01:01:52:11		關於全國最有錢的爸爸
01:01:55:00		和孩子的對話
01:01:57:03	01:01:58:29	我覺得滿有趣的耶
01:02:00:07	01:02:01:23	說來聽聽
01:02:02:12		有一個爸爸很有錢
01:02:04:26		有一天他的孩子就問他了
01:02:07:07	01:02:10:10	爸爸, 為什麼我們家這麼有錢
01:02:13:09		我記得我大學剛畢業的時候
01:02:16:17		我的爸爸也就是你的爺爺
01:02:18:26		給了我一百萬
01:02:20:25		於是我就用這一百萬
01:02:22:05		開了一家公司
01:02:23:12		然後很努力的工作
01:02:24:21	01:02:27:08	很快的我就賺了好幾千萬
01:02:28:13		爸爸, 你好厲害喔
01:02:30:26		後來我的野心更大了
01:02:33:10		我想賺更多的錢
01:02:34:29		所以我就跑到那些很窮的國家
01:02:37:26		去投資
01:02:38:29	01:02:41:11	想做獨門生意
01:02:41:28		我知道了
01:02:43:07		所以你就賺了更多的錢對不對
01:02:45:16		那我以後也要像爸爸一樣
01:02:47:20		拿一百萬去開一家
01:02:49:20		比爸爸更大的公司
01:02:51:19	01:02:54:24	還要到窮國家去做生意
01:02:55:26		笨蛋
01:02:56:24		你像爸爸一樣就慘了
01:02:58:21		因為爸爸的公司
01:02:59:25		就因為那場投資
01:03:00:28		所以倒閉了
01:03:02:07		要不是因為你爺爺
01:03:03:09		那一年剛好過世
01:03:04:17		留下幾百億的遺產
01:03:06:07	01:03:08:23	爸爸怎麼會這麼有錢呢
01:03:10:06		原來不是爸爸有錢
01:03:13:25	01:03:17:15	是爸爸的爸爸有錢啊
01:03:19:19		好啦, 以上故事純屬說笑
01:03:23:15		不管你家的是富爸爸
01:03:25:27		還是窮爸爸
01:03:27:05		都希望你們有個
01:03:28:09	01:03:30:27	很開心的爸爸節
01:03:31:08		是的
01:03:32:05		馬上來看看我們今天爸爸節
01:03:35:02	01:03:38:04	為大家準備了哪些精采的內容
01:03:38:27	01:03:39:27	請看
01:03:51:03		每到假日都會在古坑綠色隧道
01:03:53:25		擺攤做木藝品生意的李介洲
01:03:56:10		是個才華出眾的木藝高手
01:03:58:19		曾經代表國家參加國際展能節
01:04:01:25		得過木雕銅牌和木工金牌
01:04:04:23		介洲從小就聽不見
01:04:06:19		但是他學習事物
01:04:08:04		都比一般人還要認真
01:04:10:04		不但自設木藝工作室
01:04:12:02		還從事木藝教學的工作
01:04:14:10		他最希望的是推廣木工藝術
01:04:16:26	01:04:19:21	讓更多人瞭解傳統木工之美
01:04:23:22		我對木雕藝術非常有興趣
01:04:28:13		隨時會找適合的題材
01:04:32:09		譬如說像人物, 花卉
01:04:34:26		各式各樣的物品
01:04:37:09	01:04:39:08	還有佛像
01:04:39:18		總之, 所有題材我都有興趣
01:04:42:21		越雕越有趣味
01:04:44:26		可惜你現在來拍攝
01:04:47:13		我手邊剛好沒有成品給你們看
01:04:49:10	01:04:50:00	可惜
01:04:52:20		好幾年前
01:04:54:11		我就知道雲林
01:04:56:12		有一位很厲害的聽障木工師傅
01:05:00:04		李介洲
01:05:02:04		他曾經在二○○三年
01:05:04:22	01:05:08:11	國際展能節拿過木工金牌
01:05:09:02		沒想到相隔十三年之後
01:05:11:18		他的兒子
01:05:12:15		也在同樣的國際比賽中
01:05:14:11	01:05:15:23	拿下了金牌
01:05:16:07		真是一個讓人又驚又喜的消息
01:05:19:03		不知道觀眾朋友們
01:05:20:13		有沒有來過
01:05:21:01		雲林古坑的綠色隧道遊覽過
01:05:24:03		假日的時候
01:05:25:17		介洲常常在這裡做生意
01:05:28:05	01:05:31:26	賣的都是自己做的木藝作品
01:05:34:08		李介洲是雲林縣斗南鎮人
01:05:36:29		今年五十七歲
01:05:38:18		他有兩個兒子
01:05:39:28		他和太太
01:05:40:22		以及小兒子三個人都是聽障
01:05:43:15		介洲在兩歲的時候
01:05:45:04		因為發燒造成重度聽障
01:05:47:20		八歲到台北啟聰學校讀書
01:05:50:10		由於自己對畫畫很有興趣
01:05:52:28		高一, 高二選讀美工科
01:05:55:08		到了高三改念雕刻科
01:05:57:21		是因為家裡是開木工工廠的
01:06:00:15		從小就接觸木頭
01:06:02:02	01:06:04:08	也對木工產生了興趣
01:06:05:04		高一開始
01:06:07:01		我是對素描很有興趣
01:06:09:10		到了高二那一年
01:06:10:19		就開始練習雕刻
01:06:13:25		也很喜歡
01:06:15:19		有一次老師問我
01:06:19:07		要不要去參加比賽
01:06:21:13		我一聽說有比賽就想要報名
01:06:23:20		好像不知道是全國還是分區
01:06:25:22		我忘了
01:06:26:26		大家就一起去比賽
01:06:28:20		沒想到我就得了第一名
01:06:31:19	01:06:32:20	那時候就第一名
01:06:34:19		這也是你雕的
01:06:35:22	01:06:36:28	是啊
01:06:38:25		有大尊的
01:06:40:09		也有迷你版的
01:06:42:12		很不容易耶
