01:01:03:26	01:01:07:05	立育, 你在看什麼書啊
01:01:07:21		我最近想去考汽車駕照
01:01:10:29		所以正在抓緊時間
01:01:13:05	01:01:15:18	背這些筆試的題庫呢
01:01:16:04		原來如此
01:01:17:16		那你背得怎麼樣
01:01:19:00		有沒有把握啊
01:01:20:13		那還用說嗎
01:01:22:02		想當年
01:01:23:06		我考試可都是前幾名的
01:01:26:01		這種小兒科的考試
01:01:28:09	01:01:31:11	怎麼可能難得倒我呢
01:01:32:15		這麼臭屁啊
01:01:34:01		那好
01:01:34:22		我來考你一題
01:01:35:16		最簡單的題目好了
01:01:38:04	01:01:40:23	好啊, 你要考我什麼
01:01:41:16		看好了
01:01:42:22		如果你開車在路上
01:01:46:09		同時看到前面有一條狗走過來
01:01:50:16		還有一個人也走過來
01:01:53:07		你發現如果你把車往右閃
01:01:55:20		就會撞到人
01:01:56:29		但是如果你往左閃
01:01:58:26		那麼你就會撞到狗
01:02:01:07		在這種情況下
01:02:02:21	01:02:04:25	你會怎麼選擇
01:02:05:11	01:02:09:08	拜託, 你出的這是什麼題目啊
01:02:10:11		這是考你的機智反應耶
01:02:12:23		你不知道開車在路上
01:02:15:00	01:02:17:28	臨機應變的能力是很重要的
01:02:19:10	01:02:21:16	一定要做選擇嗎
01:02:22:02	01:02:23:23	當然
01:02:25:17	01:02:28:24	那我選擇撞狗好了
01:02:29:23		我看你不用去考了
01:02:33:19		就你這種臨機反應的能力
01:02:35:26		就算考過了
01:02:37:03	01:02:40:21	我看也是危險, 恐怖喔
01:02:43:11		照你這麼說
01:02:44:28	01:02:47:29	難道是要選擇撞人嗎
01:02:48:19		拜託, 當然不可能撞人啊
01:02:52:06		撞到人不但要賠償
01:02:54:11	01:02:56:17	還可能要吃官司耶
01:02:57:07		曉書, 你不會是在耍我吧
01:03:00:17		我剛剛說撞狗
01:03:02:22		你說不對
01:03:04:08		那我說撞人
01:03:06:01	01:03:07:29	你也說不對
01:03:09:25	01:03:13:05	好啊, 那你就公布答案吧
01:03:14:11		連這麼簡單的答案
01:03:16:10		你都不知道喔
01:03:18:11		好吧, 看好了
01:03:21:03	01:03:24:05	當然應該是趕快踩煞車
01:03:24:23		踩煞車
01:03:26:16		對啊
01:03:27:29		趕快來看看今天有什麼
01:03:30:06		充滿智慧的精采內容吧
01:03:33:08		請看
01:03:34:00	01:03:34:20	請看
01:03:45:29		陳思斐是一位先天視障的朋友
01:03:49:06		她的視力非常不好
01:03:50:23		卻對音樂十分喜愛
01:03:52:29		為了學樂器
01:03:54:01		她比一般人
01:03:54:25		花了更多的時間練習
01:03:57:03		學會了鋼琴, 小提琴和聲樂
01:04:00:04		不但常在音樂比賽中得獎
01:04:02:12		還以音樂專長
01:04:03:18		考上了台中教育大學音樂系
01:04:06:21		畢業後憑著實力
01:04:08:04		在國小擔任音樂老師
01:04:10:20		她的人生可說是
01:04:11:29	01:04:15:04	完全不被視覺障礙所限制
01:04:20:02		剛剛講的是你手指頭要做的事
01:04:22:26		嘟嘟嘟
01:04:23:14		是你等一下舌頭要做的事
01:04:25:24		音樂讓我覺得
01:04:26:19		我的情緒得到了抒發
01:04:28:18		而且音樂
01:04:30:06		讓我在學習的過程當中
01:04:32:17		障礙少了很多
01:04:34:08		老師, 請休息
01:04:39:01		它是很像在講話
01:04:41:11		它是有畫面的
01:04:42:18		就是有顏色
01:04:43:18		然後有各種不同的感情
01:04:46:24		有可能生氣
01:04:48:09		然後那個很激動, 很開心
01:04:50:09		就是它是一個人
01:04:52:01		然後不同的人去唱歌
01:04:54:18		你就可以感受到不同的感覺
01:04:57:24		因為音樂是一種語言
01:04:59:17	01:05:01:24	是一種可以傳遞的語言
01:05:04:09		陳思斐
01:05:06:00		因為先天性的重度視覺障礙
01:05:09:04		眼裡的世界
01:05:10:07		總是一片模糊, 看不清楚
01:05:12:19		沒有立體的視覺
01:05:14:13		她的左眼眼球顫動無法對焦
01:05:17:20		右眼只剩下
01:05:18:25		零點零一的殘存視力
01:05:21:15		儘管這樣
01:05:22:22		她仍然不願意自我放棄
01:05:25:27		在家人的支持之下
01:05:27:24		思斐努力的學習音樂
01:05:30:02		彈得一手好鋼琴
01:05:32:12	01:05:35:22	每天快快樂樂的教孩子們音樂
01:05:38:14		目前居住在新北市的思斐
01:05:40:16		是台南人
01:05:41:23		她今年二十九歲
01:05:43:10		家裡除了爸媽之外
01:05:45:05		還有一個妹妹
01:05:46:23		思斐出生後不久
01:05:48:09		家人就發現她的眼睛怪怪的
01:05:50:26		經醫院檢查
01:05:51:28		她是患有先天性視網膜病變
01:05:54:22		由於這種情形是不可逆的
01:05:56:23		也就是永遠無法改善
01:05:58:29		但是她父母依然不放棄
01:06:01:02		帶著小思斐
01:06:02:06		看遍各大小醫療院所
01:06:04:16		無奈的是對病情
01:06:05:24	01:06:08:05	似乎一點幫助也沒有
01:06:09:01		我不知道這什麼耶
01:06:10:13		我知道應該這海帶嗎
01:06:12:16		都黑黑的
01:06:13:21		都沒有綠色的
01:06:14:20		如果綠色我就知道是小黃瓜
01:06:17:18		我出生的時候就看不到了
01:06:19:12		但是我出生的時候
01:06:20:13		我還不知道我跟別人不一樣
01:06:23:13	01:06:25:19	我中午都吃很少
01:06:26:19		晚上吃比較多
01:06:28:10		我媽媽說
01:06:29:03		那時候帶我去給醫生看的時候
01:06:31:24		然後那個醫生
01:06:32:22		就是拿手電筒照我的眼睛
01:06:35:01		一般的小朋友應該都會閃開
01:06:37:06	01:06:40:07	可是我完全就是呆滯的狀態
01:06:41:00		我也是最近才聽我阿嬤講說
01:06:42:27		小時候
01:06:43:27		我小嬰兒的時候她叫我
01:06:45:21		結果我竟然就是
01:06:47:29		聽到聲音有笑
01:06:49:13		可是沒有看著
01:06:50:11	01:06:53:10	那個聲音來源的地方
01:06:54:29		我之前
01:06:55:18		住在台南的延平市場那邊
01:06:57:19		然後我們家比較暗
01:06:59:14		我常常從樓梯上滾下去
01:07:01:16		或者是從什麼五斗櫃上面
01:07:03:16		掉下來
01:07:04:03		我也不知道我自己看不清楚
01:07:06:05		只是就常常會跌倒
01:07:07:16		常常會摔倒
01:07:08:10		然後全身都是受傷這樣子
01:07:10:18		佇我一生中有多多感謝
01:07:18:13		感謝主耶穌賞賜我活命
01:07:26:06		佇我一生中
01:07:29:18		我到什麼時候
01:07:30:16		我知道我眼睛看不清楚
01:07:32:04		是到幼稚園去學校上課的時候
01:07:35:08		就是老師寫在黑板上面
01:07:36:28		然後問我們說這是什麼
01:07:38:24		我旁邊的同學都回答得出來
01:07:40:11		然後就只有我不知道那是什麼
01:07:43:08		然後因為我小時候就有戴眼鏡
01:07:45:13		所以我們班的同學
01:07:46:21		都知道我的眼睛很不好
01:07:48:04		會捉弄我
01:07:48:24		就是他可能會故意把我推倒
01:07:50:08		因為我看不到他
01:07:51:08		所以他就把我推倒
01:07:52:13		椅子拿走
01:07:53:16		把你的鉛筆盒藏起來
01:07:55:12		躲在門後面
01:07:56:13		因為我也看不清楚
01:07:58:01		其實他們不知道
01:07:59:02		我多麼的看不清楚
01:08:00:16		我也不知道他們看得多清楚
01:08:03:01		國小的時候
01:08:03:24	01:08:05:00	有一個同學就會...
01:08:05:19		瞎子...
01:08:08:11		然後就一直講...
01:08:10:27		因為我小時候就還滿凶的
01:08:13:00		我就會很生氣的罵他
01:08:15:06		其實我是那種不服輸的小孩
01:08:17:11		從小就是這樣
01:08:19:00		所以我好像很少
01:08:19:25	01:08:22:04	因為被同學欺負而哭
01:08:23:21		這裡是思斐的租屋處
01:08:26:19		眼睛看不見
01:08:28:04		生活要怎麼自理呢
01:08:31:00		你看
01:08:31:24		她正在收晾乾的衣服
01:08:34:12	01:08:37:00	她竟然做得到耶
01:08:39:07	01:08:41:21	思斐, 我幫你拿
01:08:43:18	01:08:44:22	來
01:08:45:16	01:08:48:03	自己把衣服拿下來
01:08:51:20		來參觀思斐的房間吧
01:08:54:03	01:08:55:19	來, 跟我來
01:08:58:00		為什麼會喜歡音樂
01:08:59:26		因為我念幼稚園的時候
01:09:02:19		我在我的教室裡
01:09:03:24		我聽到隔壁有很好聽的聲音
01:09:06:20		然後我就問我的老師說
01:09:07:25		老師, 隔壁的同學在做什麼
01:09:10:16		然後老師就說他們在學鋼琴
01:09:12:26		然後我就回家之後
01:09:14:06		我就跟我媽媽說
01:09:15:04		我也好想學鋼琴
01:09:17:14		然後我媽媽就...
01:09:19:10	01:09:20:23	就讓我去學了耶
01:09:24:20		雖然每天回家有時候練琴
01:09:26:04		有時候會被爸爸罵
01:09:27:05		因為有時候沒有練好
01:09:28:23		我爸爸給我的標準是
01:09:30:08		從頭到尾三遍都不能錯
01:09:32:06		錯的話就要再重來
01:09:33:19		所以要一直練到好為止
01:09:35:22		因為國三的時候
01:09:36:20		我爸媽就想說
01:09:37:22		讓我休息一年不學鋼琴
01:09:39:12		那一年我最痛苦了
01:09:40:13	01:09:41:29	因為沒有鋼琴
01:09:44:21		後來高中
01:09:45:27		我就考上一個課業為主的學校
01:09:48:14		它不是音樂班的學校
01:09:50:06		所以我們班的同學念書的時間
01:09:52:11		我也在念書
01:09:53:15		然後同學回家在休息的時間
01:09:56:03		還有可能開始在寫功課的時間
01:09:57:24		我要繼續練鋼琴
01:09:59:12		我練到九點
01:10:00:24		晚上九點才開始讀書
01:10:02:13		所以我功課都寫不完
01:10:03:28		要考試的東西也念不完
01:10:05:25		每天就一直追著考卷跟時間跑
01:10:08:28		直到高二的時候
01:10:10:21		我真的受不了了
01:10:11:28		我就跟我爸媽說
01:10:13:18		我不能過這樣的生活
01:10:15:20		然後我就說我要念音樂系
01:10:17:22		因為音樂系不用算數學
01:10:20:05		然後我媽就說
01:10:21:23		你念音樂系出來要幹嘛
01:10:23:19		你可以養活你自己嗎
01:10:25:11		她就是舉了很多前輩的例子
01:10:27:10		就是哪個學姊怎樣
01:10:28:20		哪個學長怎樣
01:10:30:02		田中的白鷺鷥無欠缺什麼
01:10:35:17		山頂的百合花春天飄香味
01:10:42:12		而且覺得學音樂是
01:10:44:02		可以讓我不需要
01:10:44:23		用到很多眼睛的一個娛樂
01:10:47:15		一個活動
01:10:48:12		然後挫折會比讀書
01:10:50:10		少很多的一個...
01:10:51:21		我覺得是一個娛樂
01:10:52:22		也是一個生活
01:10:54:19		其實我也是最近才發現
01:10:55:24	01:10:57:29	我的耳朵等於眼睛
01:11:03:01		其實我很想要
01:11:03:22		把這個延長線黏在牆壁上
01:11:06:19		可是我不會用
01:11:08:12		你現在看得到嗎
01:11:09:09		我用摸的
01:11:10:14		所以你做事情都是用摸的
01:11:12:06	01:11:13:18	對啊
01:11:14:25		我現在看到的影像
01:11:16:16		近一點
01:11:17:08		一, 兩公尺內可以看得到輪廓
01:11:19:29		然後再稍微遠一點
01:11:21:06		就會越來越不清楚
01:11:22:18		可能就只有顏色
01:11:24:05		像這個我就不知道它怎麼回事
01:11:25:28		黏住了
01:11:27:16		因為它跟地板的顏色一樣
01:11:29:23		膠布很遠就可以看得到
01:11:31:06		因為它是紅色的
01:11:32:10	01:11:34:16	然後牆壁是白色的
01:11:35:19		我需要比較亮
01:11:36:24		因為我要高對比色才看得到
01:11:38:23		譬如說
01:11:40:00		綠色的桌子跟白色的地板
01:11:43:05		然後綠色的黑板跟白色的黑板
01:11:45:14		這樣子顏色的對比
01:11:47:12		我這樣子才會看得比較清楚
01:11:49:03		如果說我的包包它是花面的
01:11:51:14		然後地板也是花紋很多
01:11:53:13	01:11:55:29	這樣我就會找不到我的錢包
01:11:57:05		然後因為我一直在換
01:11:59:01		換我的工作的環境
01:12:00:28		所以我一直在學習
01:12:02:14		怎麼樣適應環境
01:12:04:02		所以隨時隨地我的腦筋
01:12:05:27		就是不斷的建立心理地圖
01:12:08:02		腦筋一直在想我現在人在哪裡
01:12:10:08		然後我前後左右的方向是什麼
01:12:13:24		這是剛開始
01:12:14:26		來到一個新的環境
01:12:16:16		可是如果是已經熟悉了
01:12:18:01		就可能閉著眼睛
01:12:19:04		或者是我可能也會走很快
01:12:21:00		就像一般人
01:12:22:04		所以如果沒有仔細的看我的話
01:12:24:03		他們是不會發現
01:12:25:04		我的眼睛是跟別人不一樣
01:12:27:23		字嗎
01:12:28:22		我就看個大概
01:12:30:16		所以我從小在學寫字的時候
01:12:33:01		我媽媽都是拿奇異筆寫很大
01:12:35:26		不然我就隨便亂猜
01:12:37:21		可能就把那個形狀寫得很像
01:12:39:25		就以為那個字就是長這樣子
01:12:41:23		像這個臺灣的臺
01:12:43:08		我永遠都搞不清楚
01:12:44:07		這裡到底要不要點
01:12:45:20		因為一個士
01:12:47:02		然後一個口
01:12:48:23		底下一個蓋子
01:12:50:05		然後有時候像那個室內的室
01:12:52:25		這邊有一點, 一個蓋子
01:12:54:23		然後底下一個至
01:12:55:25		然後我就會以為臺灣的臺
01:12:58:02		中間這裡不是一個口
01:12:59:12		是一點
01:13:00:15		因為你看, 如果我把它縮小
01:13:03:00		像我這樣已經看不出來
01:13:04:04		它的筆畫
01:13:04:26		它就是已經變成一條一條的
01:13:07:17		再變成這樣子的時候
01:13:09:14		我只看到一坨而已
01:13:10:24		完全看不清楚那個筆畫是什麼
01:13:13:02		所以要很大
01:13:14:17	01:13:17:03	要這麼大
01:13:17:08		有好多人喔
01:13:18:18	01:13:20:19	排隊...
01:13:21:14		你買到中音笛了, 小朋友
01:13:23:19		這叫中音笛
01:13:25:12	01:13:28:10	你看, 你的size跟我不一樣
01:13:31:04	01:13:34:29	一, 二, 三, 四
01:13:42:16		我現在的位置
01:13:44:04		是新北市三重的三光國小
01:13:48:04		也就是思斐教書的地方
01:13:50:16		在一般學校裡
01:13:51:24		有視障學生不算少見
01:13:54:06		但是視障老師就比較少了
01:13:57:02		思斐說
01:13:58:00		她對學校師生和家長們的接納
01:14:00:25		很感謝, 也很感動
01:14:03:22		但我倒是覺得
01:14:05:05		能被視障老師教到的孩子
01:14:07:24		是幸福的
01:14:09:12		因為光是老師克服障礙的精神
01:14:12:11		就足夠做學生們的表率
01:14:15:17	01:14:17:27	你說對不對啊
01:14:23:15		誰在趕火車啊
01:14:25:14		一直趕...
01:14:27:01	01:14:29:01	耳朵有沒有聽到鋼琴的聲音
01:14:29:22		有對不對
01:14:30:18		那你現在要來聽鋼琴的速度
01:14:32:21		我變慢, 你就要變慢喔
01:14:34:07	01:14:35:07	再一次
01:14:38:18	01:14:42:10	一, 二, 三, 四
01:14:47:18		別以為我會吹笛子
01:14:49:22		我只是做做樣子啦
01:14:51:14		你看思斐的手指
01:14:53:12		靈活優美的彈著琴
01:14:55:17		學生們圍繞在她身邊
01:14:58:13		鋼琴和直笛互相搭配著
01:15:01:08		看著鋼琴琴鍵一個個上下跳動
01:15:04:17		也看到學生手指規律的按著孔
01:15:07:26		彷彿我也聽到這美妙的旋律
01:15:11:01		融入他們的演奏當中了
01:15:13:08	01:15:16:00	繼續看我的表演吧
01:15:17:25		因為我從小就很喜歡教別人
01:15:20:27		然後我兩歲的時候
01:15:22:24		我有很多娃娃
01:15:23:21		然後我就會把它排成一排
01:15:26:00		排成一排的時候
01:15:27:14		我就假設我是老師
01:15:29:03		然後就會用黑板
01:15:31:03		上面貼磁鐵
01:15:32:02		然後開始上數學課
01:15:33:17	01:15:35:02	然後開始上國語課
01:15:37:16		掌聲
01:15:38:01		給自己掌聲鼓勵
01:15:39:23	01:15:42:01	給自己一個鼓勵...
01:15:42:13		上課的時候
01:15:43:05		我就會很有架式
01:15:44:18		我媽說就是非常的有架式
01:15:46:06		就是完全就是一個老師的樣子
01:15:48:25		所以我就是從小立定志向
01:15:51:12		就是要當老師
01:15:52:13		而且我太愛講話了
01:15:53:23		除了睡覺以外的
01:15:54:20		所有的時間都在講話
01:15:57:03		所以我媽媽就說
01:15:57:28		你好像非常的適合當老師
01:16:00:00		然後我又不怕生
01:16:01:04	01:16:03:26	而且我也很敢站在舞台上面
01:16:05:14	01:16:07:13	你們又忘記了, 對不對
01:16:07:29		對, 很聰明
01:16:08:24		再一次, 預備
01:16:09:20	01:16:11:09	三, 走
01:16:12:10		以前我們的觀念是
01:16:15:10		在以前讀師專
01:16:16:09		都要經過身體檢查
01:16:17:24		只要你有殘障, 智障
01:16:19:18		都一律都沒有辦法當老師
01:16:21:19		可是現在社會的一個多元
01:16:23:18		這些多元的老師
01:16:25:02		反而是可以讓孩子知道
01:16:27:16		社會更多元
01:16:29:07		社會這麼多元的師資
01:16:32:03		可以從她身上學到東西
01:16:34:05		我覺得這才是一個活教材
01:16:36:13		所以她可以去激勵孩子
01:16:38:13		可以去讓孩子成為一個典範
01:16:41:03		不要因為一點點小小的錯失
01:16:43:24		或者是身上的一點缺陷
01:16:45:11	01:16:46:27	而放棄了自己
01:16:47:14		我覺得我都很幸運
01:16:48:27		就是都遇到想要讓我試試看
01:16:51:05		給我一個機會的校長跟主任
01:16:53:22		就是一個機會的門
01:16:55:08		我覺得我很幸運都有遇到
01:16:57:01	01:17:00:02	就是伯樂
01:17:00:26		其實我倒是很敬佩你爸爸媽媽
01:17:03:03		爸爸媽媽
01:17:04:01		能夠放心讓一個小孩
01:17:06:17		自己去闖
01:17:07:16		自己去看
01:17:08:18		不然有的爸媽會覺得說
01:17:10:15		我女兒這樣有視障
01:17:11:27		我會特別把她保護著, 抓著
01:17:14:11		過度的保護
01:17:15:23		反而不讓她有機會出來
01:17:17:21		所以你爸爸媽媽真的很偉大
01:17:20:01		我們常常講
01:17:20:17		面向陽光
01:17:21:15		陰影就在後面
01:17:22:21	01:17:24:24	她就是一個面向陽光的人
01:18:00:06		這是我的嗎
01:18:01:11		不是
01:18:02:16		老闆的
01:18:03:02	01:18:04:29	你的當然是最後一個
01:18:05:15		好耶
01:18:06:22		她幾乎天天來
01:18:08:13		有時候吃個麵
01:18:10:15		吃個泡麵, 吃個飯
01:18:13:26	01:18:15:09	她每天換
01:18:17:08		對, 我下班都在這裡吃飯
01:18:18:28		吃完再回家
01:18:20:18		因為我覺得在這裡吃飯
01:18:21:21		有家的感覺
01:18:23:09	01:18:25:02	很像我家的廚房
01:18:27:08		有一次我還想要吃鳳梨
01:18:29:04		然後剛好攤販經過會賣鳳梨
01:18:31:02		然後就是先幫我買
01:18:32:21		或是有一些要冰的東西
01:18:34:00		先暫時放在他的冰箱裡
01:18:36:19		就感覺很像家人的感覺
01:18:38:12		所以我會固定在這邊吃飯
01:18:40:23	01:18:42:05	我的
01:18:42:22		反正給她取很多綽號
01:18:44:25		我老婆會叫她小歸
01:18:46:28		我都叫她肥肥
01:18:49:03		沒有, 因為熟了就一種稱呼
01:18:52:13	01:18:56:02	就拉近彼此之間的距離
01:18:57:18	01:18:58:24	這個也要講喔
01:18:59:11	01:19:01:02	這是秘密
01:19:02:07		老闆都叫我陳小歸
01:19:04:19		因為我就是看到那個當歸湯
01:19:07:07		然後我就問他說
01:19:08:15		你們應該都有簡稱
01:19:09:20		譬如說速食店有小薯
01:19:11:21		就是他們會有一個術語
01:19:13:05		然後我就說
01:19:13:21		那你們當歸湯的術語是什麼
01:19:15:09		他就說小當啊
01:19:16:09		然後我說為什麼不要叫小歸
01:19:18:12		然後從此以後老闆跟老闆娘
01:19:19:28	01:19:21:26	就叫我陳小歸
01:19:22:18		就變成我的綽號
01:19:24:11		這個應該有一, 兩年吧
01:19:26:15		一, 兩年了
01:19:27:07		應該有一, 兩年的綽號
01:19:28:12	01:19:29:22	很好笑
01:19:30:06		我這樣看得到紅綠燈
01:19:31:18		因為現在是晚上
01:19:32:27		如果是白天
01:19:33:15		我就看不到紅綠燈
01:19:34:28	01:19:36:28	像現在就可以走了
01:19:37:24		我在台北
01:19:38:23		其實每天都非常的規律
01:19:40:25		就是上班, 下班
01:19:42:28		不然就是在教會
01:19:44:18		然後要不然就是在家裡做家事
01:19:47:19	01:19:49:17	就大概就這三種吧
01:19:50:04		然後剛開始來台北的前幾年
01:19:52:09		比較活躍
01:19:53:07		就想說到處亂跑
01:19:54:16		也有曾經就是
01:19:55:16		一天來回到屏東的
01:19:57:15	01:19:59:28	非常的忙碌的生活
01:20:00:07	01:20:02:16	我室友他們還沒回來
01:20:03:10		然後我覺得台北是一個
01:20:05:26		追逐夢想的地方
01:20:07:16		但是它不是一個
01:20:09:03		會讓你有歸屬感的地方
01:20:11:08		也許是因為我的工作吧
01:20:12:21		就是我每一年都一直變換學校
01:20:15:02		所以這裡好像不是
01:20:16:22		我能夠長久待下來的地方
01:20:19:09		其實我也一直在尋找
01:20:20:28		可以讓我長久待下來的地方
01:20:22:25	01:20:25:07	可以落地生根的地方
01:20:30:14		思斐在學校
01:20:31:21		除了是音樂老師之外
01:20:33:15		她還是社會科老師
01:20:35:11		你看
01:20:36:20		社會和音樂是很不同的領域
01:20:39:11		但是她勇於接受挑戰
01:20:41:13		幫學生準備了充足的學習資料
01:20:44:24		希望學生完整的學習
01:20:47:23		思斐她也親自批改
01:20:49:27		學生的作業以及考卷
01:20:53:16		她確實的掌握
01:20:54:29	01:20:59:19	各個年級以及班級的學習狀況
01:21:01:14		看起來思斐當老師
01:21:03:17		要比她當年當學生時
